ID;Donorregistation;CharacteristicsHouseholdsPersons;Periods;DonorregisterFixedChoice_1;DonorregisterFixedChoice_2
0;Total registered and non-registered;Total population;2014;14591.0;100
1;Total registered and non-registered;Total population;2015;14685.1;100
2;Total registered and non-registered;Total population;2016;14782.6;100
3;Total registered and non-registered;Total population;2017;14895.2;100
4;Total registered and non-registered;Total population;2018;15005.8;100
5;Total registered and non-registered;Total population;2019;15117.2;100
6;Total registered and non-registered;Total population;2020;15265.4;100
7;Total registered and non-registered;Sex: male;2014;7188.2;100
8;Total registered and non-registered;Sex: male;2015;7238.6;100
9;Total registered and non-registered;Sex: male;2016;7292.1;100
10;Total registered and non-registered;Sex: male;2017;7354.4;100
11;Total registered and non-registered;Sex: male;2018;7412.1;100
12;Total registered and non-registered;Sex: male;2019;7471.5;100
13;Total registered and non-registered;Sex: male;2020;7549.6;100
14;Total registered and non-registered;Sex: female;2014;7402.8;100
15;Total registered and non-registered;Sex: female;2015;7446.5;100
16;Total registered and non-registered;Sex: female;2016;7490.5;100
17;Total registered and non-registered;Sex: female;2017;7540.8;100
18;Total registered and non-registered;Sex: female;2018;7593.7;100
19;Total registered and non-registered;Sex: female;2019;7645.7;100
20;Total registered and non-registered;Sex: female;2020;7715.7;100
21;Total registered and non-registered;Age: 12 to 17 years;2014;1206.7;100
22;Total registered and non-registered;Age: 12 to 17 years;2015;1215.9;100
23;Total registered and non-registered;Age: 12 to 17 years;2016;1225.6;100
24;Total registered and non-registered;Age: 12 to 17 years;2017;1224.4;100
25;Total registered and non-registered;Age: 12 to 17 years;2018;1214.9;100
26;Total registered and non-registered;Age: 12 to 17 years;2019;1197.4;100
27;Total registered and non-registered;Age: 12 to 17 years;2020;1180.6;100
28;Total registered and non-registered;Age: 18 to 19 years;2014;403.2;100
29;Total registered and non-registered;Age: 18 to 19 years;2015;398.8;100
30;Total registered and non-registered;Age: 18 to 19 years;2016;401.8;100
31;Total registered and non-registered;Age: 18 to 19 years;2017;412.9;100
32;Total registered and non-registered;Age: 18 to 19 years;2018;424.5;100
33;Total registered and non-registered;Age: 18 to 19 years;2019;434.0;100
34;Total registered and non-registered;Age: 18 to 19 years;2020;436.7;100
35;Total registered and non-registered;Age: 20 to 29 years;2014;2098.5;100
36;Total registered and non-registered;Age: 20 to 29 years;2015;2119.0;100
37;Total registered and non-registered;Age: 20 to 29 years;2016;2134.8;100
38;Total registered and non-registered;Age: 20 to 29 years;2017;2153.8;100
39;Total registered and non-registered;Age: 20 to 29 years;2018;2173.6;100
40;Total registered and non-registered;Age: 20 to 29 years;2019;2200.1;100
41;Total registered and non-registered;Age: 20 to 29 years;2020;2231.7;100
42;Total registered and non-registered;Age: 30 to 39 years;2014;2018.1;100
43;Total registered and non-registered;Age: 30 to 39 years;2015;2014.3;100
44;Total registered and non-registered;Age: 30 to 39 years;2016;2025.4;100
45;Total registered and non-registered;Age: 30 to 39 years;2017;2048.5;100
46;Total registered and non-registered;Age: 30 to 39 years;2018;2077.1;100
47;Total registered and non-registered;Age: 30 to 39 years;2019;2107.0;100
48;Total registered and non-registered;Age: 30 to 39 years;2020;2148.9;100
49;Total registered and non-registered;Age: 40 to 49 years;2014;2517.5;100
50;Total registered and non-registered;Age: 40 to 49 years;2015;2462.5;100
51;Total registered and non-registered;Age: 40 to 49 years;2016;2405.9;100
52;Total registered and non-registered;Age: 40 to 49 years;2017;2355.6;100
53;Total registered and non-registered;Age: 40 to 49 years;2018;2306.6;100
54;Total registered and non-registered;Age: 40 to 49 years;2019;2260.5;100
55;Total registered and non-registered;Age: 40 to 49 years;2020;2202.8;100
56;Total registered and non-registered;Age: 50 to 59 years;2014;2384.4;100
57;Total registered and non-registered;Age: 50 to 59 years;2015;2421.3;100
58;Total registered and non-registered;Age: 50 to 59 years;2016;2450.7;100
59;Total registered and non-registered;Age: 50 to 59 years;2017;2472.7;100
60;Total registered and non-registered;Age: 50 to 59 years;2018;2491.0;100
61;Total registered and non-registered;Age: 50 to 59 years;2019;2508.0;100
62;Total registered and non-registered;Age: 50 to 59 years;2020;2534.6;100
63;Total registered and non-registered;Age: 60 to 69 years;2014;2029.8;100
64;Total registered and non-registered;Age: 60 to 69 years;2015;2060.4;100
65;Total registered and non-registered;Age: 60 to 69 years;2016;2100.2;100
66;Total registered and non-registered;Age: 60 to 69 years;2017;2083.7;100
67;Total registered and non-registered;Age: 60 to 69 years;2018;2079.1;100
68;Total registered and non-registered;Age: 60 to 69 years;2019;2089.7;100
69;Total registered and non-registered;Age: 60 to 69 years;2020;2117.1;100
70;Total registered and non-registered;Age: 70 to 79 years;2014;1216.1;100
71;Total registered and non-registered;Age: 70 to 79 years;2015;1258.1;100
72;Total registered and non-registered;Age: 70 to 79 years;2016;1289.7;100
73;Total registered and non-registered;Age: 70 to 79 years;2017;1379.6;100
74;Total registered and non-registered;Age: 70 to 79 years;2018;1460.5;100
75;Total registered and non-registered;Age: 70 to 79 years;2019;1522.0;100
76;Total registered and non-registered;Age: 70 to 79 years;2020;1581.8;100
77;Total registered and non-registered;Age: 80 years or older;2014;716.8;100
78;Total registered and non-registered;Age: 80 years or older;2015;734.7;100
79;Total registered and non-registered;Age: 80 years or older;2016;748.5;100
80;Total registered and non-registered;Age: 80 years or older;2017;764.0;100
81;Total registered and non-registered;Age: 80 years or older;2018;778.6;100
82;Total registered and non-registered;Age: 80 years or older;2019;798.6;100
83;Total registered and non-registered;Age: 80 years or older;2020;831.1;100
84;Total registered and non-registered;Background: Dutch;2014;11546.5;100
85;Total registered and non-registered;Background: Dutch;2015;11573.3;100
86;Total registered and non-registered;Background: Dutch;2016;11592.8;100
87;Total registered and non-registered;Background: Dutch;2017;11605.8;100
88;Total registered and non-registered;Background: Dutch;2018;11613.8;100
89;Total registered and non-registered;Background: Dutch;2019;11618.7;100
90;Total registered and non-registered;Background: Dutch;2020;11635.9;100
91;Total registered and non-registered;Background: with migration background;2014;3044.5;100
92;Total registered and non-registered;Background: with migration background;2015;3111.8;100
93;Total registered and non-registered;Background: with migration background;2016;3189.8;100
94;Total registered and non-registered;Background: with migration background;2017;3289.4;100
95;Total registered and non-registered;Background: with migration background;2018;3392.0;100
96;Total registered and non-registered;Background: with migration background;2019;3498.5;100
97;Total registered and non-registered;Background: with migration background;2020;3629.4;100
98;Total registered and non-registered;Background: Turkey;2014;330.1;100
99;Total registered and non-registered;Background: Turkey;2015;332.6;100
100;Total registered and non-registered;Background: Turkey;2016;335.6;100
101;Total registered and non-registered;Background: Turkey;2017;340.0;100
102;Total registered and non-registered;Background: Turkey;2018;345.7;100
103;Total registered and non-registered;Background: Turkey;2019;352.5;100
104;Total registered and non-registered;Background: Turkey;2020;361.1;100
105;Total registered and non-registered;Background: Morocco;2014;285.8;100
106;Total registered and non-registered;Background: Morocco;2015;292.9;100
107;Total registered and non-registered;Background: Morocco;2016;299.9;100
108;Total registered and non-registered;Background: Morocco;2017;307.3;100
109;Total registered and non-registered;Background: Morocco;2018;315.5;100
110;Total registered and non-registered;Background: Morocco;2019;323.9;100
111;Total registered and non-registered;Background: Morocco;2020;333.2;100
112;Total registered and non-registered;Background: Surinam;2014;304.7;100
113;Total registered and non-registered;Background: Surinam;2015;307.2;100
114;Total registered and non-registered;Background: Surinam;2016;309.4;100
115;Total registered and non-registered;Background: Surinam;2017;312.2;100
116;Total registered and non-registered;Background: Surinam;2018;315.7;100
117;Total registered and non-registered;Background: Surinam;2019;319.3;100
118;Total registered and non-registered;Background: Surinam;2020;323.4;100
119;Total registered and non-registered;Background: (former) Net Antilles, Aruba;2014;120.6;100
120;Total registered and non-registered;Background: (former) Net Antilles, Aruba;2015;122.7;100
121;Total registered and non-registered;Background: (former) Net Antilles, Aruba;2016;124.6;100
122;Total registered and non-registered;Background: (former) Net Antilles, Aruba;2017;126.9;100
123;Total registered and non-registered;Background: (former) Net Antilles, Aruba;2018;130.2;100
124;Total registered and non-registered;Background: (former) Net Antilles, Aruba;2019;133.9;100
125;Total registered and non-registered;Background: (former) Net Antilles, Aruba;2020;138.7;100
126;Total registered and non-registered;Background: western;2014;1426.1;100
127;Total registered and non-registered;Background: western;2015;1451.8;100
128;Total registered and non-registered;Background: western;2016;1475.7;100
129;Total registered and non-registered;Background: western;2017;1505.0;100
130;Total registered and non-registered;Background: western;2018;1542.4;100
131;Total registered and non-registered;Background: western;2019;1583.0;100
132;Total registered and non-registered;Background: western;2020;1633.8;100
133;Total registered and non-registered;Background: non-western;2014;1618.3;100
134;Total registered and non-registered;Background: non-western;2015;1660.0;100
135;Total registered and non-registered;Background: non-western;2016;1714.0;100
136;Total registered and non-registered;Background: non-western;2017;1784.4;100
137;Total registered and non-registered;Background: non-western;2018;1849.6;100
138;Total registered and non-registered;Background: non-western;2019;1915.5;100
139;Total registered and non-registered;Background: non-western;2020;1995.6;100
140;Total registered and non-registered;Background: 1st generation;2014;1759.0;100
141;Total registered and non-registered;Background: 1st generation;2015;1796.4;100
142;Total registered and non-registered;Background: 1st generation;2016;1845.4;100
143;Total registered and non-registered;Background: 1st generation;2017;1915.2;100
144;Total registered and non-registered;Background: 1st generation;2018;1987.2;100
145;Total registered and non-registered;Background: 1st generation;2019;2063.5;100
146;Total registered and non-registered;Background: 1st generation;2020;2160.8;100
147;Total registered and non-registered;Background, 2nd generation;2014;1285.5;100
148;Total registered and non-registered;Background, 2nd generation;2015;1315.4;100
149;Total registered and non-registered;Background, 2nd generation;2016;1344.3;100
150;Total registered and non-registered;Background, 2nd generation;2017;1374.2;100
151;Total registered and non-registered;Background, 2nd generation;2018;1404.8;100
152;Total registered and non-registered;Background, 2nd generation;2019;1435.0;100
153;Total registered and non-registered;Background, 2nd generation;2020;1468.7;100
154;Registered in donorregister;Total population;2014;5768.6;40
