ID;Sectors;Periods;TotalLiabilities_1;FinancialCorporations_2;TotalOtherCorporations_3;LossMaking_4;ProfitMaking_5;TotalLiabilities_6;FinancialCorporations_7;TotalOtherCorporations_8;LossMaking_9;ProfitMaking_10
0;General government sector;2012;658988;535321;123667;25507;98160;102.1;83.0;19.2;4.0;15.2
1;General government sector;2013;695191;572010;123181;65192;57989;106.5;87.6;18.9;10.0;8.9
2;General government sector;2014;725318;602922;122396;13787;108608;109.4;90.9;18.5;2.1;16.4
3;General government sector;2015;731150;610995;120155;6336;113819;107.0;89.4;17.6;0.9;16.7
4;General government sector;2016;730267;620742;109525;7315;102209;103.9;88.3;15.6;1.0;14.5
5;Central government;2012;583388;476001;107387;24835;82553;90.4;73.8;16.6;3.8;12.8
6;Central government;2013;620061;511923;108138;63894;44244;95.0;78.4;16.6;9.8;6.8
7;Central government;2014;642525;536621;105904;12636;93268;96.9;80.9;16.0;1.9;14.1
8;Central government;2015;643325;538937;104388;4693;99695;94.1;78.9;15.3;0.7;14.6
9;Central government;2016;646884;547750;99134;6673;92462;92.1;78.0;14.1;0.9;13.2
10;Local government;2012;75600;59320;16280;672;15607;11.7;9.2;2.5;0.1;2.4
11;Local government;2013;75130;60087;15043;1298;13745;11.5;9.2;2.3;0.2;2.1
12;Local government;2014;82793;66301;16492;1152;15340;12.5;10.0;2.5;0.2;2.3
13;Local government;2015;87825;72058;15767;1643;14124;12.9;10.5;2.3;0.2;2.1
14;Local government;2016;83382;72992;10390;642;9748;11.9;10.4;1.5;0.1;1.4
15;Social security funds;2012;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0
16;Social security funds;2013;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0
17;Social security funds;2014;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0
18;Social security funds;2015;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0
19;Social security funds;2016;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0
