ID;Geslacht;Leeftijd;Migratieachtergrond;Generatie;Perioden;Overledenen_1
0;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;1995;135675.0
1;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;1996;137561.0
2;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;1997;135783.0
3;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;1998;137482.0
4;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;1999;140487.0
5;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2000;140527.0
6;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2001;140377.0
7;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2002;142355.0
8;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2003;141936.0
9;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2004;136553.0
10;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2005;136402.0
11;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2006;135372.0
12;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2007;133022.0
13;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2008;135136.0
14;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2009;134235.0
15;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2010;136058.0
16;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2011;135741.0
17;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2012;140813.0
18;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2013;141245.0
19;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2014;139223.0
20;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2015;147134.0
21;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2016;148997.0
22;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2017;150214.0
23;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2018;153363.0
24;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2019;151885.0
25;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2020;168678.0
26;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2021;170972.0
27;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;1995;122598.0
28;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;1996;123701.0
29;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;1997;122178.0
30;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;1998;123703.0
31;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;1999;126232.0
