ID;Geslacht;KenmerkenVanPersonen;Perioden;MedianeKoopkrachtontwikkeling_1;PersonenMetKoopkrachtdaling_2;PersonenMetKoopkrachtstijging_3;k_20ePercentiel_4;k_40ePercentiel_5;k_60ePercentiel_6;k_80ePercentiel_7
0;Totaal mannen en vrouwen;Totaal personen;2012;-1.1;57.8;42.2;-9.4;-2.5;0.4;7.1
1;Totaal mannen en vrouwen;Totaal personen;2013;-1.1;56.0;44.0;-9.6;-2.8;0.8;7.9
2;Totaal mannen en vrouwen;Totaal personen;2014;1.9;37.6;62.4;-6.5;0.4;3.7;11.6
3;Totaal mannen en vrouwen;Totaal personen;2015;1.3;40.4;59.6;-6.8;-0.1;3.3;11.4
4;Totaal mannen en vrouwen;Totaal personen;2016;3.0;32.3;67.7;-4.6;1.2;5.4;13.9
5;Totaal mannen en vrouwen;Totaal personen;2017;0.7;43.9;56.1;-6.4;-0.5;2.6;11.5
6;Totaal mannen en vrouwen;Totaal personen;2018;0.6;45.6;54.4;-6.3;-0.5;2.7;11.6
7;Totaal mannen en vrouwen;Totaal personen;2019;1.5;35.6;64.4;-5.4;0.5;3.6;12.3
8;Totaal mannen en vrouwen;Totaal personen;2020;2.5;32.0;68.0;-5.6;1.2;4.8;13.4
9;Totaal mannen en vrouwen;Totaal personen;2021;1.4;41.8;58.2;-5.8;-0.2;3.7;13.0
10;Totaal mannen en vrouwen;Totaal personen;2022;-1.1;54.5;45.5;-8.4;-2.9;1.5;9.6
11;Totaal mannen en vrouwen;Totaal personen;2023;0.3;47.9;52.1;-7.1;-1.2;2.1;9.3
12;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;2012;-0.8;54.8;45.2;-9.1;-2.6;1.0;7.3
13;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;2013;-0.1;50.3;49.7;-8.7;-1.8;1.8;8.3
14;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;2014;2.6;36.0;64.0;-5.9;0.9;4.6;11.9
15;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;2015;2.5;36.8;63.2;-6.3;0.7;4.5;12.0
16;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;2016;4.9;28.1;71.9;-3.6;2.9;7.0;14.7
