ID;BedrijfstakkenBranchesSBI2008;Perioden;PrijsindexArbeid_1;JaarmutatiePrijsVanArbeid_2;LoonkostenPerGewerktUur_3;JaarmutatieLoonkostenPerGewerktUur_4;Structuureffect_5
0;A-U Alle economische activiteiten;2001;77.3;;71.6;;
1;A-U Alle economische activiteiten;2002;80.7;4.4;75.3;5.1;0.7
2;A-U Alle economische activiteiten;2003;83.1;2.9;78.2;3.8;0.9
3;A-U Alle economische activiteiten;2004;83.8;0.8;79.4;1.5;0.6
4;A-U Alle economische activiteiten;2005;85.5;2.0;81.6;2.8;0.8
5;A-U Alle economische activiteiten;2006;86.7;1.5;83.3;2.1;0.6
6;A-U Alle economische activiteiten;2007;89.3;3.0;85.9;3.1;0.1
7;A-U Alle economische activiteiten;2008;92.7;3.7;89.2;3.9;0.1
8;A-U Alle economische activiteiten;2009;94.2;1.6;91.7;2.8;1.2
9;A-U Alle economische activiteiten;2010;94.4;0.3;92.6;1.0;0.7
10;A-U Alle economische activiteiten;2011;96.0;1.7;94.4;2.0;0.2
11;A-U Alle economische activiteiten;2012;98.1;2.1;97.1;2.8;0.7
12;A-U Alle economische activiteiten;2013;99.1;1.0;98.9;1.8;0.8
13;A-U Alle economische activiteiten;2014;99.8;0.8;100.0;1.1;0.4
14;A-U Alle economische activiteiten;2015;100.0;0.2;100.0;0.0;-0.1
15;A-U Alle economische activiteiten;2016;101.0;1.0;100.7;0.7;-0.3
16;A-U Alle economische activiteiten;2017;102.6;1.6;101.7;1.0;-0.5
17;A-U Alle economische activiteiten;2018;104.8;2.2;103.7;1.9;-0.3
18;A-U Alle economische activiteiten;2019;107.3;2.4;106.3;2.5;0.1
19;A-U Alle economische activiteiten;2020;110.3;2.8;110.9;4.3;1.5
20;A-U Alle economische activiteiten;2021;111.3;0.9;111.7;0.8;-0.1
21;A-U Alle economische activiteiten;2022;118.7;6.7;118.5;6.1;-0.5
22;A-U Alle economische activiteiten;2023;126.3;6.4;126.6;6.8;0.4
23;A-U Alle economische activiteiten;2006 januari - 2006 december;86.7;1.5;83.3;2.1;0.6
24;A-U Alle economische activiteiten;2006 april - 2007 maart;87.5;;84.1;;
25;A-U Alle economische activiteiten;2006 juli - 2007 juni;88.1;;84.7;;
26;A-U Alle economische activiteiten;2006 oktober - 2007 september;88.6;;85.2;;
27;A-U Alle economische activiteiten;2007 januari - 2007 december;89.3;3.0;85.9;3.1;0.1
28;A-U Alle economische activiteiten;2007 april - 2008 maart;90.5;3.3;87.0;3.4;0.1
29;A-U Alle economische activiteiten;2007 juli - 2008 juni;91.4;3.7;87.9;3.8;0.1
30;A-U Alle economische activiteiten;2007 oktober - 2008 september;91.9;3.7;88.4;3.8;0.1
31;A-U Alle economische activiteiten;2008 januari - 2008 december;92.7;3.7;89.2;3.9;0.1
