ID;Geslacht;Persoonskenmerken;Perioden;Fietsbezitters_1;BromSnorfietsbezitters_2;Motorbezitters_3;Autobezitters_4;RijbewijsbezitterMotor_5;RijbewijsbezittersAuto_6
0;1;Totaal persoonskenmerken;1985;77.2;3.7;0.8;32.4;6.4;51.2
1;1;Totaal persoonskenmerken;1986;79.5;4.0;0.9;32.5;6.2;51.8
2;1;Totaal persoonskenmerken;1987;78.3;3.6;0.8;33.1;6.4;52.4
3;1;Totaal persoonskenmerken;1988;79.6;3.6;1.0;34.0;6.3;54.0
4;1;Totaal persoonskenmerken;1989;80.1;3.2;1.0;34.9;6.6;55.2
5;1;Totaal persoonskenmerken;1990;80.4;3.4;1.1;35.5;6.7;56.0
6;1;Totaal persoonskenmerken;1991;80.8;3.2;1.1;35.3;7.2;56.9
7;1;Totaal persoonskenmerken;1992;81.9;3.1;1.7;35.5;7.2;57.3
8;1;Totaal persoonskenmerken;1993;83.5;3.2;2.0;36.0;7.6;58.2
9;1;Totaal persoonskenmerken;1994;83.0;3.5;2.0;36.7;7.9;59.2
10;1;Totaal persoonskenmerken;1995;83.3;3.6;2.2;37.0;8.1;59.4
11;1;Totaal persoonskenmerken;1996;83.6;3.6;2.3;37.6;8.3;59.9
12;1;Totaal persoonskenmerken;1997;84.0;3.5;2.4;38.2;8.3;60.7
13;1;Totaal persoonskenmerken;1998;83.9;3.5;2.6;39.1;8.3;61.2
14;1;Totaal persoonskenmerken;1999;83.1;3.3;2.2;40.3;;60.4
15;1;Totaal persoonskenmerken;2000;83.0;3.4;2.2;41.3;;60.8
16;1;Totaal persoonskenmerken;2001;83.5;3.2;2.4;42.0;;61.2
17;1;Totaal persoonskenmerken;2002;82.8;3.2;2.4;42.7;;61.5
18;1;Totaal persoonskenmerken;2003;83.6;3.1;2.6;42.9;;62.1
19;1;Totaal persoonskenmerken;2004;84.2;2.7;2.4;43.0;;62.24
20;1;Totaal persoonskenmerken;2005;83.4;3.0;2.5;43.6;;61.88
21;1;Totaal persoonskenmerken;2006;83.6;3.0;2.5;44.3;;62.51
22;1;Totaal persoonskenmerken;2007;84.0;2.9;2.6;45.2;;62.78
23;1;Jaarinkomen: geen;1985;;;;;;
24;1;Jaarinkomen: geen;1986;;;;;;
25;1;Jaarinkomen: geen;1987;;;;;;
26;1;Jaarinkomen: geen;1988;;;;;;
27;1;Jaarinkomen: geen;1989;;;;;;
28;1;Jaarinkomen: geen;1990;;;;;;
29;1;Jaarinkomen: geen;1991;;;;;;
30;1;Jaarinkomen: geen;1992;;;;;;
31;1;Jaarinkomen: geen;1993;;;;;;
32;1;Jaarinkomen: geen;1994;;;;;;
