ID;TypeOfMonument;Regions;Periods;ListedMonumentsAndHistoricBuildings_1
81;Listed monuments total;Noord-Nederland (LD);1989;5519
82;Listed monuments total;Noord-Nederland (LD);1990;5539
83;Listed monuments total;Noord-Nederland (LD);1991;5596
84;Listed monuments total;Noord-Nederland (LD);1992;5617
85;Listed monuments total;Noord-Nederland (LD);1993;5640
86;Listed monuments total;Noord-Nederland (LD);1994;5979
87;Listed monuments total;Noord-Nederland (LD);1995;6337
88;Listed monuments total;Noord-Nederland (LD);1996;6394
89;Listed monuments total;Noord-Nederland (LD);1997;6579
90;Listed monuments total;Noord-Nederland (LD);1998;6860
91;Listed monuments total;Noord-Nederland (LD);1999;7263
92;Listed monuments total;Noord-Nederland (LD);2000;7490
93;Listed monuments total;Noord-Nederland (LD);2001;8162
94;Listed monuments total;Noord-Nederland (LD);2002;8240
95;Listed monuments total;Noord-Nederland (LD);2003;8366
96;Listed monuments total;Noord-Nederland (LD);2004;8450
97;Listed monuments total;Noord-Nederland (LD);2005;8555
98;Listed monuments total;Noord-Nederland (LD);2006;8579
99;Listed monuments total;Noord-Nederland (LD);2007;8589
100;Listed monuments total;Noord-Nederland (LD);2008;8588
101;Listed monuments total;Noord-Nederland (LD);2009;8586
102;Listed monuments total;Noord-Nederland (LD);2010;8592
103;Listed monuments total;Noord-Nederland (LD);2011;8598
104;Listed monuments total;Noord-Nederland (LD);2012;8595
105;Listed monuments total;Noord-Nederland (LD);2013;8509
106;Listed monuments total;Noord-Nederland (LD);2014;8503
107;Listed monuments total;Noord-Nederland (LD);2015;8494
108;Listed monuments total;Noord-Nederland (LD);2016;8492
109;Listed monuments total;Noord-Nederland (LD);2017;8487
110;Listed monuments total;Noord-Nederland (LD);2018;8481
111;Listed monuments total;Noord-Nederland (LD);2019;8474
112;Listed monuments total;Noord-Nederland (LD);2020;8464
113;Listed monuments total;Noord-Nederland (LD);2021;8460
114;Listed monuments total;Oost-Nederland (LD);1965;448
115;Listed monuments total;Oost-Nederland (LD);1966;1354
116;Listed monuments total;Oost-Nederland (LD);1967;1921
117;Listed monuments total;Oost-Nederland (LD);1968;2488
118;Listed monuments total;Oost-Nederland (LD);1969;2539
119;Listed monuments total;Oost-Nederland (LD);1970;2882
120;Listed monuments total;Oost-Nederland (LD);1971;4167
121;Listed monuments total;Oost-Nederland (LD);1972;4770
122;Listed monuments total;Oost-Nederland (LD);1973;5379
123;Listed monuments total;Oost-Nederland (LD);1974;5477
124;Listed monuments total;Oost-Nederland (LD);1975;5613
125;Listed monuments total;Oost-Nederland (LD);1976;5759
126;Listed monuments total;Oost-Nederland (LD);1977;5869
127;Listed monuments total;Oost-Nederland (LD);1978;6016
128;Listed monuments total;Oost-Nederland (LD);1979;6053
129;Listed monuments total;Oost-Nederland (LD);1980;6145
130;Listed monuments total;Oost-Nederland (LD);1981;6194
131;Listed monuments total;Oost-Nederland (LD);1982;6232
132;Listed monuments total;Oost-Nederland (LD);1983;6255
133;Listed monuments total;Oost-Nederland (LD);1984;6274
134;Listed monuments total;Oost-Nederland (LD);1985;6306
135;Listed monuments total;Oost-Nederland (LD);1986;6346
136;Listed monuments total;Oost-Nederland (LD);1987;6372
137;Listed monuments total;Oost-Nederland (LD);1988;6393
138;Listed monuments total;Oost-Nederland (LD);1989;6389
139;Listed monuments total;Oost-Nederland (LD);1990;6389
140;Listed monuments total;Oost-Nederland (LD);1991;6429
141;Listed monuments total;Oost-Nederland (LD);1992;6471
142;Listed monuments total;Oost-Nederland (LD);1993;6519
143;Listed monuments total;Oost-Nederland (LD);1994;6606
144;Listed monuments total;Oost-Nederland (LD);1995;6623
145;Listed monuments total;Oost-Nederland (LD);1996;6626
146;Listed monuments total;Oost-Nederland (LD);1997;6814
147;Listed monuments total;Oost-Nederland (LD);1998;6950
148;Listed monuments total;Oost-Nederland (LD);1999;7438
149;Listed monuments total;Oost-Nederland (LD);2000;7931
150;Listed monuments total;Oost-Nederland (LD);2001;8338
151;Listed monuments total;Oost-Nederland (LD);2002;9117
152;Listed monuments total;Oost-Nederland (LD);2003;9201
153;Listed monuments total;Oost-Nederland (LD);2004;9471
154;Listed monuments total;Oost-Nederland (LD);2005;9932
155;Listed monuments total;Oost-Nederland (LD);2006;10284
156;Listed monuments total;Oost-Nederland (LD);2007;10416
157;Listed monuments total;Oost-Nederland (LD);2008;10468
158;Listed monuments total;Oost-Nederland (LD);2009;10480
159;Listed monuments total;Oost-Nederland (LD);2010;10624
160;Listed monuments total;Oost-Nederland (LD);2011;10663
161;Listed monuments total;Oost-Nederland (LD);2012;10792
162;Listed monuments total;Oost-Nederland (LD);2013;10521
163;Listed monuments total;Oost-Nederland (LD);2014;10574
164;Listed monuments total;Oost-Nederland (LD);2015;10619
165;Listed monuments total;Oost-Nederland (LD);2016;10622
166;Listed monuments total;Oost-Nederland (LD);2017;10627
167;Listed monuments total;Oost-Nederland (LD);2018;10618
168;Listed monuments total;Oost-Nederland (LD);2019;10607
169;Listed monuments total;Oost-Nederland (LD);2020;10601
170;Listed monuments total;Oost-Nederland (LD);2021;10601
171;Listed monuments total;West-Nederland (LD);1965;487
172;Listed monuments total;West-Nederland (LD);1966;3192
173;Listed monuments total;West-Nederland (LD);1967;6018
174;Listed monuments total;West-Nederland (LD);1968;7689
175;Listed monuments total;West-Nederland (LD);1969;9332
176;Listed monuments total;West-Nederland (LD);1970;16101
177;Listed monuments total;West-Nederland (LD);1971;16741
178;Listed monuments total;West-Nederland (LD);1972;17404
179;Listed monuments total;West-Nederland (LD);1973;18761
180;Listed monuments total;West-Nederland (LD);1974;19291
181;Listed monuments total;West-Nederland (LD);1975;19656
182;Listed monuments total;West-Nederland (LD);1976;20173
183;Listed monuments total;West-Nederland (LD);1977;20375
184;Listed monuments total;West-Nederland (LD);1978;20561
185;Listed monuments total;West-Nederland (LD);1979;20651
186;Listed monuments total;West-Nederland (LD);1980;20761
187;Listed monuments total;West-Nederland (LD);1981;20838
188;Listed monuments total;West-Nederland (LD);1982;20911
189;Listed monuments total;West-Nederland (LD);1983;20962
190;Listed monuments total;West-Nederland (LD);1984;21029
191;Listed monuments total;West-Nederland (LD);1985;21183
192;Listed monuments total;West-Nederland (LD);1986;21238
193;Listed monuments total;West-Nederland (LD);1987;21281
194;Listed monuments total;West-Nederland (LD);1988;21350
195;Listed monuments total;West-Nederland (LD);1989;21380
196;Listed monuments total;West-Nederland (LD);1990;21477
197;Listed monuments total;West-Nederland (LD);1991;21601
198;Listed monuments total;West-Nederland (LD);1992;21848
199;Listed monuments total;West-Nederland (LD);1993;22166
200;Listed monuments total;West-Nederland (LD);1994;22357
201;Listed monuments total;West-Nederland (LD);1995;22404
202;Listed monuments total;West-Nederland (LD);1996;22664
203;Listed monuments total;West-Nederland (LD);1997;22884
204;Listed monuments total;West-Nederland (LD);1998;23505
205;Listed monuments total;West-Nederland (LD);1999;24258
206;Listed monuments total;West-Nederland (LD);2000;24891
207;Listed monuments total;West-Nederland (LD);2001;26296
208;Listed monuments total;West-Nederland (LD);2002;27494
209;Listed monuments total;West-Nederland (LD);2003;27781
210;Listed monuments total;West-Nederland (LD);2004;28171
211;Listed monuments total;West-Nederland (LD);2005;28372
212;Listed monuments total;West-Nederland (LD);2006;28623
213;Listed monuments total;West-Nederland (LD);2007;28722
214;Listed monuments total;West-Nederland (LD);2008;28814
215;Listed monuments total;West-Nederland (LD);2009;28876
216;Listed monuments total;West-Nederland (LD);2010;29003
217;Listed monuments total;West-Nederland (LD);2011;29164
218;Listed monuments total;West-Nederland (LD);2012;29301
219;Listed monuments total;West-Nederland (LD);2013;29007
220;Listed monuments total;West-Nederland (LD);2014;29016
221;Listed monuments total;West-Nederland (LD);2015;29034
222;Listed monuments total;West-Nederland (LD);2016;29155
223;Listed monuments total;West-Nederland (LD);2017;29174
224;Listed monuments total;West-Nederland (LD);2018;29136
225;Listed monuments total;West-Nederland (LD);2019;29118
226;Listed monuments total;West-Nederland (LD);2020;29091
227;Listed monuments total;West-Nederland (LD);2021;29100
228;Listed monuments total;Zuid-Nederland (LD);1965;492
229;Listed monuments total;Zuid-Nederland (LD);1966;4193
230;Listed monuments total;Zuid-Nederland (LD);1967;6517
231;Listed monuments total;Zuid-Nederland (LD);1968;6909
232;Listed monuments total;Zuid-Nederland (LD);1969;7018
233;Listed monuments total;Zuid-Nederland (LD);1970;7320
234;Listed monuments total;Zuid-Nederland (LD);1971;7720
235;Listed monuments total;Zuid-Nederland (LD);1972;7935
236;Listed monuments total;Zuid-Nederland (LD);1973;8424
237;Listed monuments total;Zuid-Nederland (LD);1974;8755
238;Listed monuments total;Zuid-Nederland (LD);1975;8892
239;Listed monuments total;Zuid-Nederland (LD);1976;9104
240;Listed monuments total;Zuid-Nederland (LD);1977;9170
241;Listed monuments total;Zuid-Nederland (LD);1978;9248
242;Listed monuments total;Zuid-Nederland (LD);1979;9385
243;Listed monuments total;Zuid-Nederland (LD);1980;9528
244;Listed monuments total;Zuid-Nederland (LD);1981;9564
245;Listed monuments total;Zuid-Nederland (LD);1982;9607
246;Listed monuments total;Zuid-Nederland (LD);1983;9663
247;Listed monuments total;Zuid-Nederland (LD);1984;9939
248;Listed monuments total;Zuid-Nederland (LD);1985;9976
249;Listed monuments total;Zuid-Nederland (LD);1986;10030
250;Listed monuments total;Zuid-Nederland (LD);1987;10045
251;Listed monuments total;Zuid-Nederland (LD);1988;10076
252;Listed monuments total;Zuid-Nederland (LD);1989;10092
253;Listed monuments total;Zuid-Nederland (LD);1990;10095
254;Listed monuments total;Zuid-Nederland (LD);1991;10110
255;Listed monuments total;Zuid-Nederland (LD);1992;10152
256;Listed monuments total;Zuid-Nederland (LD);1993;10206
257;Listed monuments total;Zuid-Nederland (LD);1994;10233
258;Listed monuments total;Zuid-Nederland (LD);1995;10281
259;Listed monuments total;Zuid-Nederland (LD);1996;10381
260;Listed monuments total;Zuid-Nederland (LD);1997;10907
261;Listed monuments total;Zuid-Nederland (LD);1998;11103
262;Listed monuments total;Zuid-Nederland (LD);1999;11262
263;Listed monuments total;Zuid-Nederland (LD);2000;11712
264;Listed monuments total;Zuid-Nederland (LD);2001;12636
265;Listed monuments total;Zuid-Nederland (LD);2002;14488
266;Listed monuments total;Zuid-Nederland (LD);2003;14700
267;Listed monuments total;Zuid-Nederland (LD);2004;14984
268;Listed monuments total;Zuid-Nederland (LD);2005;15034
269;Listed monuments total;Zuid-Nederland (LD);2006;15187
270;Listed monuments total;Zuid-Nederland (LD);2007;15233
271;Listed monuments total;Zuid-Nederland (LD);2008;15230
272;Listed monuments total;Zuid-Nederland (LD);2009;15241
273;Listed monuments total;Zuid-Nederland (LD);2010;15260
274;Listed monuments total;Zuid-Nederland (LD);2011;15285
275;Listed monuments total;Zuid-Nederland (LD);2012;15283
276;Listed monuments total;Zuid-Nederland (LD);2013;15124
277;Listed monuments total;Zuid-Nederland (LD);2014;15108
278;Listed monuments total;Zuid-Nederland (LD);2015;15136
279;Listed monuments total;Zuid-Nederland (LD);2016;15136
280;Listed monuments total;Zuid-Nederland (LD);2017;15135
281;Listed monuments total;Zuid-Nederland (LD);2018;15130
282;Listed monuments total;Zuid-Nederland (LD);2019;15122
283;Listed monuments total;Zuid-Nederland (LD);2020;15116
284;Listed monuments total;Zuid-Nederland (LD);2021;15114
285;Listed monuments total;Groningen (PV);1965;0
286;Listed monuments total;Groningen (PV);1966;0
287;Listed monuments total;Groningen (PV);1967;0
288;Listed monuments total;Groningen (PV);1968;84
289;Listed monuments total;Groningen (PV);1969;84
290;Listed monuments total;Groningen (PV);1970;106
291;Listed monuments total;Groningen (PV);1971;499
292;Listed monuments total;Groningen (PV);1972;642
293;Listed monuments total;Groningen (PV);1973;1051
294;Listed monuments total;Groningen (PV);1974;1059
295;Listed monuments total;Groningen (PV);1975;1151
296;Listed monuments total;Groningen (PV);1976;1266
297;Listed monuments total;Groningen (PV);1977;1299
298;Listed monuments total;Groningen (PV);1978;1349
299;Listed monuments total;Groningen (PV);1979;1360
300;Listed monuments total;Groningen (PV);1980;1384
301;Listed monuments total;Groningen (PV);1981;1411
302;Listed monuments total;Groningen (PV);1982;1431
303;Listed monuments total;Groningen (PV);1983;1442
304;Listed monuments total;Groningen (PV);1984;1456
305;Listed monuments total;Groningen (PV);1985;1464
306;Listed monuments total;Groningen (PV);1986;1473
307;Listed monuments total;Groningen (PV);1987;1478
308;Listed monuments total;Groningen (PV);1988;1482
309;Listed monuments total;Groningen (PV);1989;1503
310;Listed monuments total;Groningen (PV);1990;1502
311;Listed monuments total;Groningen (PV);1991;1506
312;Listed monuments total;Groningen (PV);1992;1508
313;Listed monuments total;Groningen (PV);1993;1512
314;Listed monuments total;Groningen (PV);1994;1513
315;Listed monuments total;Groningen (PV);1995;1800
316;Listed monuments total;Groningen (PV);1996;1801
317;Listed monuments total;Groningen (PV);1997;1809
318;Listed monuments total;Groningen (PV);1998;1913
319;Listed monuments total;Groningen (PV);1999;2098
320;Listed monuments total;Groningen (PV);2000;2195
321;Listed monuments total;Groningen (PV);2001;2618
322;Listed monuments total;Groningen (PV);2002;2647
323;Listed monuments total;Groningen (PV);2003;2689
324;Listed monuments total;Groningen (PV);2004;2720
325;Listed monuments total;Groningen (PV);2005;2775
326;Listed monuments total;Groningen (PV);2006;2783
327;Listed monuments total;Groningen (PV);2007;2784
328;Listed monuments total;Groningen (PV);2008;2784
329;Listed monuments total;Groningen (PV);2009;2784
330;Listed monuments total;Groningen (PV);2010;2791
331;Listed monuments total;Groningen (PV);2011;2799
332;Listed monuments total;Groningen (PV);2012;2799
333;Listed monuments total;Groningen (PV);2013;2770
334;Listed monuments total;Groningen (PV);2014;2769
335;Listed monuments total;Groningen (PV);2015;2770
336;Listed monuments total;Groningen (PV);2016;2771
337;Listed monuments total;Groningen (PV);2017;2770
338;Listed monuments total;Groningen (PV);2018;2770
339;Listed monuments total;Groningen (PV);2019;2767
340;Listed monuments total;Groningen (PV);2020;2764
341;Listed monuments total;Groningen (PV);2021;2764
342;Listed monuments total;Fryslân (PV);1965;85
343;Listed monuments total;Fryslân (PV);1966;594
344;Listed monuments total;Fryslân (PV);1967;1354
345;Listed monuments total;Fryslân (PV);1968;1976
346;Listed monuments total;Fryslân (PV);1969;1978
347;Listed monuments total;Fryslân (PV);1970;2259
348;Listed monuments total;Fryslân (PV);1971;2729
349;Listed monuments total;Fryslân (PV);1972;2807
350;Listed monuments total;Fryslân (PV);1973;2879
351;Listed monuments total;Fryslân (PV);1974;2931
352;Listed monuments total;Fryslân (PV);1975;3125
353;Listed monuments total;Fryslân (PV);1976;3182
354;Listed monuments total;Fryslân (PV);1977;3205
355;Listed monuments total;Fryslân (PV);1978;3225
356;Listed monuments total;Fryslân (PV);1979;3270
357;Listed monuments total;Fryslân (PV);1980;3281
358;Listed monuments total;Fryslân (PV);1981;3283
359;Listed monuments total;Fryslân (PV);1982;3292
360;Listed monuments total;Fryslân (PV);1983;3342
361;Listed monuments total;Fryslân (PV);1984;3352
362;Listed monuments total;Fryslân (PV);1985;3360
363;Listed monuments total;Fryslân (PV);1986;3369
364;Listed monuments total;Fryslân (PV);1987;3374
365;Listed monuments total;Fryslân (PV);1988;3389
366;Listed monuments total;Fryslân (PV);1989;3393
367;Listed monuments total;Fryslân (PV);1990;3398
368;Listed monuments total;Fryslân (PV);1991;3439
369;Listed monuments total;Fryslân (PV);1992;3447
370;Listed monuments total;Fryslân (PV);1993;3455
371;Listed monuments total;Fryslân (PV);1994;3490
372;Listed monuments total;Fryslân (PV);1995;3487
373;Listed monuments total;Fryslân (PV);1996;3540
374;Listed monuments total;Fryslân (PV);1997;3612
375;Listed monuments total;Fryslân (PV);1998;3670
376;Listed monuments total;Fryslân (PV);1999;3884
377;Listed monuments total;Fryslân (PV);2000;4010
378;Listed monuments total;Fryslân (PV);2001;4239
379;Listed monuments total;Fryslân (PV);2002;4285
380;Listed monuments total;Fryslân (PV);2003;4348
381;Listed monuments total;Fryslân (PV);2004;4365
382;Listed monuments total;Fryslân (PV);2005;4401
383;Listed monuments total;Fryslân (PV);2006;4417
384;Listed monuments total;Fryslân (PV);2007;4419
385;Listed monuments total;Fryslân (PV);2008;4418
386;Listed monuments total;Fryslân (PV);2009;4418
387;Listed monuments total;Fryslân (PV);2010;4417
388;Listed monuments total;Fryslân (PV);2011;4415
389;Listed monuments total;Fryslân (PV);2012;4414
390;Listed monuments total;Fryslân (PV);2013;4365
391;Listed monuments total;Fryslân (PV);2014;4353
392;Listed monuments total;Fryslân (PV);2015;4352
393;Listed monuments total;Fryslân (PV);2016;4349
394;Listed monuments total;Fryslân (PV);2017;4344
395;Listed monuments total;Fryslân (PV);2018;4339
396;Listed monuments total;Fryslân (PV);2019;4336
397;Listed monuments total;Fryslân (PV);2020;4332
398;Listed monuments total;Fryslân (PV);2021;4328
399;Listed monuments total;Drenthe (PV);1965;324
400;Listed monuments total;Drenthe (PV);1966;330
401;Listed monuments total;Drenthe (PV);1967;332
402;Listed monuments total;Drenthe (PV);1968;346
403;Listed monuments total;Drenthe (PV);1969;352
404;Listed monuments total;Drenthe (PV);1970;357
405;Listed monuments total;Drenthe (PV);1971;371
406;Listed monuments total;Drenthe (PV);1972;374
407;Listed monuments total;Drenthe (PV);1973;387
408;Listed monuments total;Drenthe (PV);1974;388
409;Listed monuments total;Drenthe (PV);1975;407
410;Listed monuments total;Drenthe (PV);1976;408
411;Listed monuments total;Drenthe (PV);1977;414
412;Listed monuments total;Drenthe (PV);1978;441
413;Listed monuments total;Drenthe (PV);1979;461
414;Listed monuments total;Drenthe (PV);1980;470
415;Listed monuments total;Drenthe (PV);1981;477
416;Listed monuments total;Drenthe (PV);1982;509
417;Listed monuments total;Drenthe (PV);1983;534
418;Listed monuments total;Drenthe (PV);1984;545
419;Listed monuments total;Drenthe (PV);1985;604
420;Listed monuments total;Drenthe (PV);1986;614
421;Listed monuments total;Drenthe (PV);1987;617
422;Listed monuments total;Drenthe (PV);1988;621
423;Listed monuments total;Drenthe (PV);1989;623
424;Listed monuments total;Drenthe (PV);1990;639
425;Listed monuments total;Drenthe (PV);1991;651
426;Listed monuments total;Drenthe (PV);1992;662
427;Listed monuments total;Drenthe (PV);1993;673
428;Listed monuments total;Drenthe (PV);1994;976
429;Listed monuments total;Drenthe (PV);1995;1050
430;Listed monuments total;Drenthe (PV);1996;1053
431;Listed monuments total;Drenthe (PV);1997;1158
432;Listed monuments total;Drenthe (PV);1998;1277
433;Listed monuments total;Drenthe (PV);1999;1281
434;Listed monuments total;Drenthe (PV);2000;1285
435;Listed monuments total;Drenthe (PV);2001;1305
436;Listed monuments total;Drenthe (PV);2002;1308
437;Listed monuments total;Drenthe (PV);2003;1329
438;Listed monuments total;Drenthe (PV);2004;1365
439;Listed monuments total;Drenthe (PV);2005;1379
440;Listed monuments total;Drenthe (PV);2006;1379
441;Listed monuments total;Drenthe (PV);2007;1386
442;Listed monuments total;Drenthe (PV);2008;1386
443;Listed monuments total;Drenthe (PV);2009;1384
444;Listed monuments total;Drenthe (PV);2010;1384
445;Listed monuments total;Drenthe (PV);2011;1384
446;Listed monuments total;Drenthe (PV);2012;1382
447;Listed monuments total;Drenthe (PV);2013;1374
448;Listed monuments total;Drenthe (PV);2014;1381
449;Listed monuments total;Drenthe (PV);2015;1372
450;Listed monuments total;Drenthe (PV);2016;1372
451;Listed monuments total;Drenthe (PV);2017;1373
452;Listed monuments total;Drenthe (PV);2018;1372
453;Listed monuments total;Drenthe (PV);2019;1371
454;Listed monuments total;Drenthe (PV);2020;1368
455;Listed monuments total;Drenthe (PV);2021;1368
456;Listed monuments total;Overijssel (PV);1965;117
457;Listed monuments total;Overijssel (PV);1966;275
458;Listed monuments total;Overijssel (PV);1967;599
459;Listed monuments total;Overijssel (PV);1968;1049
460;Listed monuments total;Overijssel (PV);1969;1059
461;Listed monuments total;Overijssel (PV);1970;1065
462;Listed monuments total;Overijssel (PV);1971;1357
463;Listed monuments total;Overijssel (PV);1972;1931
464;Listed monuments total;Overijssel (PV);1973;2360
465;Listed monuments total;Overijssel (PV);1974;2365
466;Listed monuments total;Overijssel (PV);1975;2438
467;Listed monuments total;Overijssel (PV);1976;2474
468;Listed monuments total;Overijssel (PV);1977;2522
469;Listed monuments total;Overijssel (PV);1978;2605
470;Listed monuments total;Overijssel (PV);1979;2623
471;Listed monuments total;Overijssel (PV);1980;2666
472;Listed monuments total;Overijssel (PV);1981;2681
473;Listed monuments total;Overijssel (PV);1982;2701
474;Listed monuments total;Overijssel (PV);1983;2707
475;Listed monuments total;Overijssel (PV);1984;2710
476;Listed monuments total;Overijssel (PV);1985;2731
477;Listed monuments total;Overijssel (PV);1986;2754
478;Listed monuments total;Overijssel (PV);1987;2762
479;Listed monuments total;Overijssel (PV);1988;2769
480;Listed monuments total;Overijssel (PV);1989;2768
481;Listed monuments total;Overijssel (PV);1990;2765
482;Listed monuments total;Overijssel (PV);1991;2799
483;Listed monuments total;Overijssel (PV);1992;2822
484;Listed monuments total;Overijssel (PV);1993;2824
485;Listed monuments total;Overijssel (PV);1994;2883
486;Listed monuments total;Overijssel (PV);1995;2900
487;Listed monuments total;Overijssel (PV);1996;2902
488;Listed monuments total;Overijssel (PV);1997;3083
489;Listed monuments total;Overijssel (PV);1998;3203
490;Listed monuments total;Overijssel (PV);1999;3580
491;Listed monuments total;Overijssel (PV);2000;3626
492;Listed monuments total;Overijssel (PV);2001;3653
493;Listed monuments total;Overijssel (PV);2002;3773
494;Listed monuments total;Overijssel (PV);2003;3781
495;Listed monuments total;Overijssel (PV);2004;3834
496;Listed monuments total;Overijssel (PV);2005;3981
497;Listed monuments total;Overijssel (PV);2006;4080
498;Listed monuments total;Overijssel (PV);2007;4121
499;Listed monuments total;Overijssel (PV);2008;4146
500;Listed monuments total;Overijssel (PV);2009;4153
501;Listed monuments total;Overijssel (PV);2010;4161
502;Listed monuments total;Overijssel (PV);2011;4161
503;Listed monuments total;Overijssel (PV);2012;4162
504;Listed monuments total;Overijssel (PV);2013;4061
505;Listed monuments total;Overijssel (PV);2014;4059
506;Listed monuments total;Overijssel (PV);2015;4060
507;Listed monuments total;Overijssel (PV);2016;4059
508;Listed monuments total;Overijssel (PV);2017;4055
509;Listed monuments total;Overijssel (PV);2018;4048
510;Listed monuments total;Overijssel (PV);2019;4045
511;Listed monuments total;Overijssel (PV);2020;4044
512;Listed monuments total;Overijssel (PV);2021;4044
513;Listed monuments total;Flevoland (PV);1965;2
514;Listed monuments total;Flevoland (PV);1966;2
515;Listed monuments total;Flevoland (PV);1967;2
516;Listed monuments total;Flevoland (PV);1968;2
517;Listed monuments total;Flevoland (PV);1969;3
518;Listed monuments total;Flevoland (PV);1970;3
519;Listed monuments total;Flevoland (PV);1971;3
520;Listed monuments total;Flevoland (PV);1972;3
521;Listed monuments total;Flevoland (PV);1973;27
522;Listed monuments total;Flevoland (PV);1974;27
523;Listed monuments total;Flevoland (PV);1975;27
524;Listed monuments total;Flevoland (PV);1976;27
525;Listed monuments total;Flevoland (PV);1977;27
526;Listed monuments total;Flevoland (PV);1978;27
527;Listed monuments total;Flevoland (PV);1979;27
528;Listed monuments total;Flevoland (PV);1980;32
529;Listed monuments total;Flevoland (PV);1981;33
530;Listed monuments total;Flevoland (PV);1982;33
531;Listed monuments total;Flevoland (PV);1983;34
532;Listed monuments total;Flevoland (PV);1984;34
533;Listed monuments total;Flevoland (PV);1985;34
534;Listed monuments total;Flevoland (PV);1986;36
535;Listed monuments total;Flevoland (PV);1987;38
536;Listed monuments total;Flevoland (PV);1988;40
537;Listed monuments total;Flevoland (PV);1989;40
538;Listed monuments total;Flevoland (PV);1990;40
539;Listed monuments total;Flevoland (PV);1991;40
540;Listed monuments total;Flevoland (PV);1992;40
