ID;Geslacht;Leeftijd;SoortOpname;DiagnoseIndelingICD103TekenNiveau;Perioden;Opnamen_1;OpnamenPer10000Inwoners_2;PersMet1OfMeerOpnamen_3;PersMet1OfMeerOpnPer10000Inw_4;Verpleegdagen_5;VerpleegdagenPer10000Inwoners_6;GemiddeldeVerpleegduur_7
0;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;Totaal alle diagnosen;2013;3906510.0;2280.4;2229520.0;1301.5;;;
1;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;Totaal alle diagnosen;2014;3395150.0;1973.8;2042425.0;1187.4;;;
2;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;Totaal alle diagnosen;2015;3280115.0;1897.5;2000360.0;1157.2;;;
3;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;Totaal alle diagnosen;2016;3275660.0;1883.8;1985750.0;1142.0;;;
4;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;Totaal alle diagnosen;2017;3164440.0;1809.3;1927205.0;1101.9;;;
5;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;Totaal alle diagnosen;2018;3088055.0;1754.7;1877275.0;1066.7;;;
6;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;Totaal alle diagnosen;2019;3114065.0;1757.0;1874600.0;1057.7;;;
7;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;Totaal alle diagnosen;2020;2736480.0;1537.5;1646145.0;924.9;;;
8;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;Totaal alle diagnosen;2021;2848555.0;1590.7;1716150.0;958.3;;;
9;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;Totaal alle diagnosen;2022;2921495.0;1609.1;1783430.0;982.3;;;
10;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;A00-B99 Totaal infectie-/parasitaire a..;2013;38925.0;22.7;34255.0;20.0;;;
11;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;A00-B99 Totaal infectie-/parasitaire a..;2014;36710.0;21.3;32540.0;18.9;;;
12;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;A00-B99 Totaal infectie-/parasitaire a..;2015;38200.0;22.1;34545.0;20.0;;;
13;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;A00-B99 Totaal infectie-/parasitaire a..;2016;43875.0;25.2;39715.0;22.8;;;
14;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;A00-B99 Totaal infectie-/parasitaire a..;2017;41680.0;23.8;38080.0;21.8;;;
15;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;A00-B99 Totaal infectie-/parasitaire a..;2018;41740.0;23.7;38260.0;21.7;;;
16;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;A00-B99 Totaal infectie-/parasitaire a..;2019;39315.0;22.2;35950.0;20.3;;;
17;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;A00-B99 Totaal infectie-/parasitaire a..;2020;28365.0;15.9;25935.0;14.6;;;
18;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;A00-B99 Totaal infectie-/parasitaire a..;2021;30955.0;17.3;28300.0;15.8;;;
19;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;A00-B99 Totaal infectie-/parasitaire a..;2022;33945.0;18.7;31365.0;17.3;;;
20;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;A00 Cholera;2013;40.0;0.0;40.0;0.0;;;
21;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;A00 Cholera;2014;0.0;0.0;0.0;0.0;;;
22;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;A00 Cholera;2015;0.0;0.0;0.0;0.0;;;
23;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;A00 Cholera;2016;0.0;0.0;0.0;0.0;;;
24;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;A00 Cholera;2017;5.0;0.0;5.0;0.0;;;
25;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;A00 Cholera;2018;5.0;0.0;5.0;0.0;;;
26;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;A00 Cholera;2019;0.0;0.0;0.0;0.0;;;
27;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;A00 Cholera;2020;0.0;0.0;0.0;0.0;;;
28;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;A00 Cholera;2021;0.0;0.0;0.0;0.0;;;
29;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;A00 Cholera;2022;5.0;0.0;5.0;0.0;;;
30;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;A01 Typhus abdominalis en paratyfus;2013;30.0;0.0;30.0;0.0;;;
31;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;A01 Typhus abdominalis en paratyfus;2014;25.0;0.0;25.0;0.0;;;
32;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;A01 Typhus abdominalis en paratyfus;2015;30.0;0.0;30.0;0.0;;;
33;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;A01 Typhus abdominalis en paratyfus;2016;20.0;0.0;20.0;0.0;;;
34;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;A01 Typhus abdominalis en paratyfus;2017;30.0;0.0;30.0;0.0;;;
35;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;A01 Typhus abdominalis en paratyfus;2018;35.0;0.0;25.0;0.0;;;
36;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;A01 Typhus abdominalis en paratyfus;2019;25.0;0.0;25.0;0.0;;;
37;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;A01 Typhus abdominalis en paratyfus;2020;10.0;0.0;10.0;0.0;;;
38;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;A01 Typhus abdominalis en paratyfus;2021;10.0;0.0;10.0;0.0;;;
39;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;A01 Typhus abdominalis en paratyfus;2022;25.0;0.0;25.0;0.0;;;
40;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;A02 Overige Salmonella-infecties;2013;320.0;0.2;310.0;0.2;;;
41;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;A02 Overige Salmonella-infecties;2014;375.0;0.2;355.0;0.2;;;
42;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;A02 Overige Salmonella-infecties;2015;405.0;0.2;390.0;0.2;;;
43;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;A02 Overige Salmonella-infecties;2016;440.0;0.3;425.0;0.2;;;
44;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;A02 Overige Salmonella-infecties;2017;360.0;0.2;350.0;0.2;;;
45;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;A02 Overige Salmonella-infecties;2018;365.0;0.2;350.0;0.2;;;
46;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;A02 Overige Salmonella-infecties;2019;380.0;0.2;370.0;0.2;;;
47;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;A02 Overige Salmonella-infecties;2020;235.0;0.1;225.0;0.1;;;
48;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;A02 Overige Salmonella-infecties;2021;280.0;0.2;270.0;0.2;;;
49;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;A02 Overige Salmonella-infecties;2022;260.0;0.1;250.0;0.1;;;
50;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;A03 Shigellose;2013;45.0;0.0;45.0;0.0;;;
51;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;A03 Shigellose;2014;55.0;0.0;55.0;0.0;;;
52;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;A03 Shigellose;2015;75.0;0.0;70.0;0.0;;;
53;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;A03 Shigellose;2016;65.0;0.0;65.0;0.0;;;
54;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;A03 Shigellose;2017;65.0;0.0;65.0;0.0;;;
55;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;A03 Shigellose;2018;90.0;0.1;85.0;0.0;;;
56;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;A03 Shigellose;2019;75.0;0.0;75.0;0.0;;;
57;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;A03 Shigellose;2020;45.0;0.0;45.0;0.0;;;
58;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;A03 Shigellose;2021;45.0;0.0;45.0;0.0;;;
59;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;A03 Shigellose;2022;55.0;0.0;55.0;0.0;;;
