ID;EnergySourcesTechniques;EnergyApplication;Periods;FinalConsumption_1;FinalConsumptionRelative_2;AvoidedEnergy_3;AvoidedEnergyRelative_4;AvoidedEmission_5;AvoidedEmissionRelative_6
72;Total energy sources;Heat;2002;25453.0;1.18;16049.0;0.5;920.0;0.52
73;Total energy sources;Heat;2003;25893.0;1.17;16742.0;0.5;;
74;Total energy sources;Heat;2004;28466.0;1.22;19105.0;0.56;;
75;Total energy sources;Heat;2005;30228.0;1.31;20734.0;0.62;;
76;Total energy sources;Heat;2006;33387.0;1.46;23271.0;0.71;;
77;Total energy sources;Heat;2007;34734.0;1.55;24451.0;0.74;;
78;Total energy sources;Heat;2008;36863.0;1.62;25783.0;0.79;;
79;Total energy sources;Heat;2009;39335.0;1.79;28286.0;0.87;1625.0;0.95
80;Total energy sources;Heat;2010;40649.0;1.72;29237.0;0.84;1692.0;0.93
81;Total energy sources;Heat;2011;42324.0;1.93;31253.0;0.97;1784.0;1.05
82;Total energy sources;Heat;2012;44961.0;2.04;33923.0;1.04;1916.0;1.15
83;Total energy sources;Heat;2013;48264.0;2.19;37276.0;1.17;2080.0;1.25
84;Total energy sources;Heat;2014;52266.0;2.6;40733.0;1.34;2248.0;1.42
85;Total energy sources;Heat;2015;57274.0;2.77;46218.0;1.48;2508.0;1.5
86;Total energy sources;Heat;2016;58012.0;2.77;46672.0;1.48;2545.0;1.52
87;Total energy sources;Heat;2017;64113.0;3.03;51414.0;1.62;2832.0;1.72
88;Total energy sources;Heat;2018;68218.0;3.23;53351.0;1.71;2956.0;1.84
89;Total energy sources;Heat;2019;76117.0;3.64;60680.0;1.98;3396.0;2.19
90;Total energy sources;Transport;1990;0.0;0.0;0.0;0.0;0.0;0.0
91;Total energy sources;Transport;1991;0.0;0.0;0.0;0.0;0.0;0.0
92;Total energy sources;Transport;1992;0.0;0.0;0.0;0.0;0.0;0.0
93;Total energy sources;Transport;1993;0.0;0.0;0.0;0.0;0.0;0.0
94;Total energy sources;Transport;1994;0.0;0.0;0.0;0.0;0.0;0.0
95;Total energy sources;Transport;1995;0.0;0.0;0.0;0.0;0.0;0.0
96;Total energy sources;Transport;1996;0.0;0.0;0.0;0.0;0.0;0.0
97;Total energy sources;Transport;1997;0.0;0.0;0.0;0.0;0.0;0.0
98;Total energy sources;Transport;1998;0.0;0.0;0.0;0.0;0.0;0.0
99;Total energy sources;Transport;1999;0.0;0.0;0.0;0.0;0.0;0.0
100;Total energy sources;Transport;2000;0.0;0.0;0.0;0.0;0.0;0.0
101;Total energy sources;Transport;2001;0.0;0.0;0.0;0.0;0.0;0.0
102;Total energy sources;Transport;2002;0.0;0.0;0.0;0.0;0.0;0.0
103;Total energy sources;Transport;2003;134.0;0.01;134.0;0.0;;
104;Total energy sources;Transport;2004;134.0;0.01;134.0;0.0;;
105;Total energy sources;Transport;2005;101.0;0.0;101.0;0.0;;
106;Total energy sources;Transport;2006;1766.0;0.08;1766.0;0.05;;
107;Total energy sources;Transport;2007;13031.0;0.58;13031.0;0.4;;
108;Total energy sources;Transport;2008;12048.0;0.53;12048.0;0.37;;
109;Total energy sources;Transport;2009;15606.0;0.71;15606.0;0.48;730.0;0.43
110;Total energy sources;Transport;2010;9577.0;0.41;9577.0;0.28;518.0;0.28
111;Total energy sources;Transport;2011;13785.0;0.63;13790.0;0.43;812.0;0.48
112;Total energy sources;Transport;2012;12873.0;0.58;12877.0;0.4;807.0;0.49
113;Total energy sources;Transport;2013;12428.0;0.56;12433.0;0.39;815.0;0.49
114;Total energy sources;Transport;2014;14373.0;0.72;14380.0;0.47;947.0;0.6
115;Total energy sources;Transport;2015;12571.0;0.61;12576.0;0.4;793.0;0.48
116;Total energy sources;Transport;2016;9902.0;0.47;9907.0;0.31;652.0;0.39
117;Total energy sources;Transport;2017;12691.0;0.6;12703.0;0.4;874.0;0.53
118;Total energy sources;Transport;2018;21242.0;1.0;21262.0;0.68;1482.0;0.92
119;Total energy sources;Transport;2019;26723.0;1.28;26758.0;0.87;1951.0;1.26
120;Hydro power;Total energy applications;1990;306.0;0.02;818.0;0.03;59.0;0.04
121;Hydro power;Total energy applications;1991;340.0;0.02;910.0;0.03;63.0;0.04
122;Hydro power;Total energy applications;1992;371.0;0.02;994.0;0.03;68.0;0.04
123;Hydro power;Total energy applications;1993;361.0;0.02;975.0;0.03;67.0;0.04
124;Hydro power;Total energy applications;1994;361.0;0.02;972.0;0.03;68.0;0.04
125;Hydro power;Total energy applications;1995;353.0;0.02;945.0;0.03;67.0;0.04
126;Hydro power;Total energy applications;1996;344.0;0.02;898.0;0.03;63.0;0.03
127;Hydro power;Total energy applications;1997;342.0;0.02;856.0;0.03;62.0;0.04
128;Hydro power;Total energy applications;1998;349.0;0.02;871.0;0.03;62.0;0.03
129;Hydro power;Total energy applications;1999;347.0;0.02;867.0;0.03;60.0;0.04
130;Hydro power;Total energy applications;2000;362.0;0.02;911.0;0.03;65.0;0.04
131;Hydro power;Total energy applications;2001;367.0;0.02;938.0;0.03;66.0;0.04
132;Hydro power;Total energy applications;2002;369.0;0.02;946.0;0.03;67.0;0.04
133;Hydro power;Total energy applications;2003;361.0;0.02;921.0;0.03;65.0;0.04
134;Hydro power;Total energy applications;2004;360.0;0.02;904.0;0.03;63.0;0.03
135;Hydro power;Total energy applications;2005;361.0;0.02;904.0;0.03;62.0;0.04
136;Hydro power;Total energy applications;2006;361.0;0.02;885.0;0.03;62.0;0.04
137;Hydro power;Total energy applications;2007;358.0;0.02;871.0;0.03;60.0;0.03
138;Hydro power;Total energy applications;2008;360.0;0.02;890.0;0.03;61.0;0.03
139;Hydro power;Total energy applications;2009;360.0;0.02;872.0;0.03;60.0;0.03
140;Hydro power;Total energy applications;2010;364.0;0.02;861.0;0.02;58.0;0.03
141;Hydro power;Total energy applications;2011;358.0;0.02;826.0;0.03;56.0;0.03
142;Hydro power;Total energy applications;2012;361.0;0.02;863.0;0.03;61.0;0.04
143;Hydro power;Total energy applications;2013;362.0;0.02;854.0;0.03;63.0;0.04
144;Hydro power;Total energy applications;2014;367.0;0.02;885.0;0.03;65.0;0.04
145;Hydro power;Total energy applications;2015;355.0;0.02;858.0;0.03;67.0;0.04
146;Hydro power;Total energy applications;2016;351.0;0.02;821.0;0.03;61.0;0.04
147;Hydro power;Total energy applications;2017;339.0;0.02;761.0;0.02;56.0;0.03
148;Hydro power;Total energy applications;2018;340.0;0.02;748.0;0.02;53.0;0.03
149;Hydro power;Total energy applications;2019;335.0;0.02;737.0;0.02;52.0;0.03
150;Hydro power;Electricity;1990;306.0;0.02;818.0;0.03;59.0;0.04
151;Hydro power;Electricity;1991;340.0;0.02;910.0;0.03;63.0;0.04
152;Hydro power;Electricity;1992;371.0;0.02;994.0;0.03;68.0;0.04
153;Hydro power;Electricity;1993;361.0;0.02;975.0;0.03;67.0;0.04
154;Hydro power;Electricity;1994;361.0;0.02;972.0;0.03;68.0;0.04
155;Hydro power;Electricity;1995;353.0;0.02;945.0;0.03;67.0;0.04
156;Hydro power;Electricity;1996;344.0;0.02;898.0;0.03;63.0;0.03
157;Hydro power;Electricity;1997;342.0;0.02;856.0;0.03;62.0;0.04
158;Hydro power;Electricity;1998;349.0;0.02;871.0;0.03;62.0;0.03
159;Hydro power;Electricity;1999;347.0;0.02;867.0;0.03;60.0;0.04
160;Hydro power;Electricity;2000;362.0;0.02;911.0;0.03;65.0;0.04
161;Hydro power;Electricity;2001;367.0;0.02;938.0;0.03;66.0;0.04
162;Hydro power;Electricity;2002;369.0;0.02;946.0;0.03;67.0;0.04
163;Hydro power;Electricity;2003;361.0;0.02;921.0;0.03;65.0;0.04
164;Hydro power;Electricity;2004;360.0;0.02;904.0;0.03;63.0;0.03
165;Hydro power;Electricity;2005;361.0;0.02;904.0;0.03;62.0;0.04
166;Hydro power;Electricity;2006;361.0;0.02;885.0;0.03;62.0;0.04
167;Hydro power;Electricity;2007;358.0;0.02;871.0;0.03;60.0;0.03
168;Hydro power;Electricity;2008;360.0;0.02;890.0;0.03;61.0;0.03
169;Hydro power;Electricity;2009;360.0;0.02;872.0;0.03;60.0;0.03
170;Hydro power;Electricity;2010;364.0;0.02;861.0;0.02;58.0;0.03
171;Hydro power;Electricity;2011;358.0;0.02;826.0;0.03;56.0;0.03
172;Hydro power;Electricity;2012;361.0;0.02;863.0;0.03;61.0;0.04
173;Hydro power;Electricity;2013;362.0;0.02;854.0;0.03;63.0;0.04
174;Hydro power;Electricity;2014;367.0;0.02;885.0;0.03;65.0;0.04
175;Hydro power;Electricity;2015;355.0;0.02;858.0;0.03;67.0;0.04
176;Hydro power;Electricity;2016;351.0;0.02;821.0;0.03;61.0;0.04
177;Hydro power;Electricity;2017;339.0;0.02;761.0;0.02;56.0;0.03
178;Hydro power;Electricity;2018;340.0;0.02;748.0;0.02;53.0;0.03
179;Hydro power;Electricity;2019;335.0;0.02;737.0;0.02;52.0;0.03
180;Hydro power;Heat;1990;;;;;;
181;Hydro power;Heat;1991;;;;;;
182;Hydro power;Heat;1992;;;;;;
183;Hydro power;Heat;1993;;;;;;
184;Hydro power;Heat;1994;;;;;;
185;Hydro power;Heat;1995;;;;;;
186;Hydro power;Heat;1996;;;;;;
187;Hydro power;Heat;1997;;;;;;
188;Hydro power;Heat;1998;;;;;;
189;Hydro power;Heat;1999;;;;;;
190;Hydro power;Heat;2000;;;;;;
191;Hydro power;Heat;2001;;;;;;
192;Hydro power;Heat;2002;;;;;;
193;Hydro power;Heat;2003;;;;;;
194;Hydro power;Heat;2004;;;;;;
195;Hydro power;Heat;2005;;;;;;
196;Hydro power;Heat;2006;;;;;;
197;Hydro power;Heat;2007;;;;;;
198;Hydro power;Heat;2008;;;;;;
199;Hydro power;Heat;2009;;;;;;
200;Hydro power;Heat;2010;;;;;;
201;Hydro power;Heat;2011;;;;;;
202;Hydro power;Heat;2012;;;;;;
203;Hydro power;Heat;2013;;;;;;
204;Hydro power;Heat;2014;;;;;;
205;Hydro power;Heat;2015;;;;;;
206;Hydro power;Heat;2016;;;;;;
207;Hydro power;Heat;2017;;;;;;
208;Hydro power;Heat;2018;;;;;;
209;Hydro power;Heat;2019;;;;;;
210;Hydro power;Transport;1990;;;;;;
211;Hydro power;Transport;1991;;;;;;
212;Hydro power;Transport;1992;;;;;;
213;Hydro power;Transport;1993;;;;;;
214;Hydro power;Transport;1994;;;;;;
215;Hydro power;Transport;1995;;;;;;
216;Hydro power;Transport;1996;;;;;;
217;Hydro power;Transport;1997;;;;;;
218;Hydro power;Transport;1998;;;;;;
219;Hydro power;Transport;1999;;;;;;
220;Hydro power;Transport;2000;;;;;;
221;Hydro power;Transport;2001;;;;;;
222;Hydro power;Transport;2002;;;;;;
223;Hydro power;Transport;2003;;;;;;
224;Hydro power;Transport;2004;;;;;;
225;Hydro power;Transport;2005;;;;;;
226;Hydro power;Transport;2006;;;;;;
227;Hydro power;Transport;2007;;;;;;
228;Hydro power;Transport;2008;;;;;;
229;Hydro power;Transport;2009;;;;;;
230;Hydro power;Transport;2010;;;;;;
231;Hydro power;Transport;2011;;;;;;
232;Hydro power;Transport;2012;;;;;;
233;Hydro power;Transport;2013;;;;;;
234;Hydro power;Transport;2014;;;;;;
235;Hydro power;Transport;2015;;;;;;
236;Hydro power;Transport;2016;;;;;;
237;Hydro power;Transport;2017;;;;;;
238;Hydro power;Transport;2018;;;;;;
239;Hydro power;Transport;2019;;;;;;
240;Wind energy, total;Total energy applications;1990;202.0;0.01;539.0;0.02;39.0;0.02
241;Wind energy, total;Total energy applications;1991;317.0;0.02;847.0;0.03;59.0;0.03
242;Wind energy, total;Total energy applications;1992;492.0;0.03;1319.0;0.05;90.0;0.05
243;Wind energy, total;Total energy applications;1993;624.0;0.03;1686.0;0.06;115.0;0.07
244;Wind energy, total;Total energy applications;1994;794.0;0.04;2140.0;0.07;150.0;0.09
245;Wind energy, total;Total energy applications;1995;1132.0;0.06;3025.0;0.1;215.0;0.12
246;Wind energy, total;Total energy applications;1996;1568.0;0.07;4093.0;0.13;287.0;0.16
247;Wind energy, total;Total energy applications;1997;1761.0;0.08;4403.0;0.14;318.0;0.18
248;Wind energy, total;Total energy applications;1998;2056.0;0.1;5128.0;0.16;365.0;0.21
249;Wind energy, total;Total energy applications;1999;2312.0;0.11;5780.0;0.19;401.0;0.23
250;Wind energy, total;Total energy applications;2000;2678.0;0.13;6745.0;0.22;481.0;0.28
251;Wind energy, total;Total energy applications;2001;2958.0;0.14;7565.0;0.24;536.0;0.3
252;Wind energy, total;Total energy applications;2002;3672.0;0.17;9416.0;0.29;666.0;0.38
253;Wind energy, total;Total energy applications;2003;4892.0;0.22;12479.0;0.37;877.0;0.49
254;Wind energy, total;Total energy applications;2004;6347.0;0.27;15946.0;0.47;1110.0;0.61
255;Wind energy, total;Total energy applications;2005;7321.0;0.32;18348.0;0.55;1264.0;0.71
256;Wind energy, total;Total energy applications;2006;9145.0;0.4;22414.0;0.68;1567.0;0.91
257;Wind energy, total;Total energy applications;2007;11396.0;0.51;27728.0;0.84;1913.0;1.11
258;Wind energy, total;Total energy applications;2008;14131.0;0.62;34890.0;1.07;2404.0;1.37
259;Wind energy, total;Total energy applications;2009;16131.0;0.73;39058.0;1.21;2668.0;1.57
260;Wind energy, total;Total energy applications;2010;16210.0;0.69;38320.0;1.1;2583.0;1.42
261;Wind energy, total;Total energy applications;2011;17010.0;0.78;39367.0;1.22;2653.0;1.57
262;Wind energy, total;Total energy applications;2012;17780.0;0.81;42378.0;1.3;3013.0;1.81
263;Wind energy, total;Total energy applications;2013;19324.0;0.88;45298.0;1.43;3334.0;2.01
264;Wind energy, total;Total energy applications;2014;20914.0;1.04;50020.0;1.65;3676.0;2.31
265;Wind energy, total;Total energy applications;2015;24900.0;1.2;60218.0;1.93;4691.0;2.81
266;Wind energy, total;Total energy applications;2016;30110.0;1.44;73216.0;2.32;5462.0;3.27
267;Wind energy, total;Total energy applications;2017;34710.0;1.64;82374.0;2.6;6022.0;3.65
268;Wind energy, total;Total energy applications;2018;36106.0;1.71;82553.0;2.65;5836.0;3.63
269;Wind energy, total;Total energy applications;2019;38785.0;1.85;86793.0;2.83;6136.0;3.95
270;Wind energy, total;Electricity;1990;202.0;0.01;539.0;0.02;39.0;0.02
271;Wind energy, total;Electricity;1991;317.0;0.02;847.0;0.03;59.0;0.03
272;Wind energy, total;Electricity;1992;492.0;0.03;1319.0;0.05;90.0;0.05
273;Wind energy, total;Electricity;1993;624.0;0.03;1686.0;0.06;115.0;0.07
274;Wind energy, total;Electricity;1994;794.0;0.04;2140.0;0.07;150.0;0.09
275;Wind energy, total;Electricity;1995;1132.0;0.06;3025.0;0.1;215.0;0.12
276;Wind energy, total;Electricity;1996;1568.0;0.07;4093.0;0.13;287.0;0.16
277;Wind energy, total;Electricity;1997;1761.0;0.08;4403.0;0.14;318.0;0.18
278;Wind energy, total;Electricity;1998;2056.0;0.1;5128.0;0.16;365.0;0.21
279;Wind energy, total;Electricity;1999;2312.0;0.11;5780.0;0.19;401.0;0.23
280;Wind energy, total;Electricity;2000;2678.0;0.13;6745.0;0.22;481.0;0.28
281;Wind energy, total;Electricity;2001;2958.0;0.14;7565.0;0.24;536.0;0.3
282;Wind energy, total;Electricity;2002;3672.0;0.17;9416.0;0.29;666.0;0.38
283;Wind energy, total;Electricity;2003;4892.0;0.22;12479.0;0.37;877.0;0.49
284;Wind energy, total;Electricity;2004;6347.0;0.27;15946.0;0.47;1110.0;0.61
285;Wind energy, total;Electricity;2005;7321.0;0.32;18348.0;0.55;1264.0;0.71
286;Wind energy, total;Electricity;2006;9145.0;0.4;22414.0;0.68;1567.0;0.91
287;Wind energy, total;Electricity;2007;11396.0;0.51;27728.0;0.84;1913.0;1.11
288;Wind energy, total;Electricity;2008;14131.0;0.62;34890.0;1.07;2404.0;1.37
289;Wind energy, total;Electricity;2009;16131.0;0.73;39058.0;1.21;2668.0;1.57
290;Wind energy, total;Electricity;2010;16210.0;0.69;38320.0;1.1;2583.0;1.42
291;Wind energy, total;Electricity;2011;17010.0;0.78;39367.0;1.22;2653.0;1.57
292;Wind energy, total;Electricity;2012;17780.0;0.81;42378.0;1.3;3013.0;1.81
293;Wind energy, total;Electricity;2013;19324.0;0.88;45298.0;1.43;3334.0;2.01
294;Wind energy, total;Electricity;2014;20914.0;1.04;50020.0;1.65;3676.0;2.31
295;Wind energy, total;Electricity;2015;24900.0;1.2;60218.0;1.93;4691.0;2.81
296;Wind energy, total;Electricity;2016;30110.0;1.44;73216.0;2.32;5462.0;3.27
297;Wind energy, total;Electricity;2017;34710.0;1.64;82374.0;2.6;6022.0;3.65
298;Wind energy, total;Electricity;2018;36106.0;1.71;82553.0;2.65;5836.0;3.63
299;Wind energy, total;Electricity;2019;38785.0;1.85;86793.0;2.83;6136.0;3.95
300;Wind energy, total;Heat;1990;;;;;;
301;Wind energy, total;Heat;1991;;;;;;
302;Wind energy, total;Heat;1992;;;;;;
303;Wind energy, total;Heat;1993;;;;;;
304;Wind energy, total;Heat;1994;;;;;;
305;Wind energy, total;Heat;1995;;;;;;
306;Wind energy, total;Heat;1996;;;;;;
307;Wind energy, total;Heat;1997;;;;;;
308;Wind energy, total;Heat;1998;;;;;;
309;Wind energy, total;Heat;1999;;;;;;
310;Wind energy, total;Heat;2000;;;;;;
311;Wind energy, total;Heat;2001;;;;;;
312;Wind energy, total;Heat;2002;;;;;;
313;Wind energy, total;Heat;2003;;;;;;
314;Wind energy, total;Heat;2004;;;;;;
315;Wind energy, total;Heat;2005;;;;;;
316;Wind energy, total;Heat;2006;;;;;;
317;Wind energy, total;Heat;2007;;;;;;
318;Wind energy, total;Heat;2008;;;;;;
319;Wind energy, total;Heat;2009;;;;;;
320;Wind energy, total;Heat;2010;;;;;;
321;Wind energy, total;Heat;2011;;;;;;
322;Wind energy, total;Heat;2012;;;;;;
323;Wind energy, total;Heat;2013;;;;;;
324;Wind energy, total;Heat;2014;;;;;;
325;Wind energy, total;Heat;2015;;;;;;
326;Wind energy, total;Heat;2016;;;;;;
327;Wind energy, total;Heat;2017;;;;;;
328;Wind energy, total;Heat;2018;;;;;;
329;Wind energy, total;Heat;2019;;;;;;
330;Wind energy, total;Transport;1990;;;;;;
331;Wind energy, total;Transport;1991;;;;;;
332;Wind energy, total;Transport;1992;;;;;;
333;Wind energy, total;Transport;1993;;;;;;
334;Wind energy, total;Transport;1994;;;;;;
335;Wind energy, total;Transport;1995;;;;;;
336;Wind energy, total;Transport;1996;;;;;;
337;Wind energy, total;Transport;1997;;;;;;
338;Wind energy, total;Transport;1998;;;;;;
339;Wind energy, total;Transport;1999;;;;;;
340;Wind energy, total;Transport;2000;;;;;;
341;Wind energy, total;Transport;2001;;;;;;
342;Wind energy, total;Transport;2002;;;;;;
343;Wind energy, total;Transport;2003;;;;;;
344;Wind energy, total;Transport;2004;;;;;;
345;Wind energy, total;Transport;2005;;;;;;
346;Wind energy, total;Transport;2006;;;;;;
347;Wind energy, total;Transport;2007;;;;;;
348;Wind energy, total;Transport;2008;;;;;;
349;Wind energy, total;Transport;2009;;;;;;
350;Wind energy, total;Transport;2010;;;;;;
351;Wind energy, total;Transport;2011;;;;;;
352;Wind energy, total;Transport;2012;;;;;;
353;Wind energy, total;Transport;2013;;;;;;
354;Wind energy, total;Transport;2014;;;;;;
355;Wind energy, total;Transport;2015;;;;;;
356;Wind energy, total;Transport;2016;;;;;;
357;Wind energy, total;Transport;2017;;;;;;
358;Wind energy, total;Transport;2018;;;;;;
359;Wind energy, total;Transport;2019;;;;;;
360;Wind energy on shore;Total energy applications;1990;202.0;0.01;539.0;0.02;39.0;0.02
361;Wind energy on shore;Total energy applications;1991;317.0;0.02;847.0;0.03;59.0;0.03
362;Wind energy on shore;Total energy applications;1992;492.0;0.03;1319.0;0.05;90.0;0.05
363;Wind energy on shore;Total energy applications;1993;624.0;0.03;1686.0;0.06;115.0;0.07
364;Wind energy on shore;Total energy applications;1994;794.0;0.04;2140.0;0.07;150.0;0.09
365;Wind energy on shore;Total energy applications;1995;1132.0;0.06;3025.0;0.1;215.0;0.12
366;Wind energy on shore;Total energy applications;1996;1568.0;0.07;4093.0;0.13;287.0;0.16
367;Wind energy on shore;Total energy applications;1997;1761.0;0.08;4403.0;0.14;318.0;0.18
368;Wind energy on shore;Total energy applications;1998;2056.0;0.1;5128.0;0.16;365.0;0.21
369;Wind energy on shore;Total energy applications;1999;2312.0;0.11;5780.0;0.19;401.0;0.23
370;Wind energy on shore;Total energy applications;2000;2678.0;0.13;6745.0;0.22;481.0;0.28
371;Wind energy on shore;Total energy applications;2001;2958.0;0.14;7565.0;0.24;536.0;0.3
372;Wind energy on shore;Total energy applications;2002;3672.0;0.17;9416.0;0.29;666.0;0.38
373;Wind energy on shore;Total energy applications;2003;4892.0;0.22;12479.0;0.37;877.0;0.49
374;Wind energy on shore;Total energy applications;2004;6347.0;0.27;15946.0;0.47;1110.0;0.61
375;Wind energy on shore;Total energy applications;2005;7321.0;0.32;18348.0;0.55;1264.0;0.71
376;Wind energy on shore;Total energy applications;2006;8917.0;0.39;21855.0;0.66;1528.0;0.88
377;Wind energy on shore;Total energy applications;2007;10304.0;0.46;25071.0;0.76;1730.0;1.0
378;Wind energy on shore;Total energy applications;2008;12154.0;0.53;30009.0;0.92;2068.0;1.18
