ID;Geslacht;Herkomstgroepering;Perioden;Immigratie_1;EmigratieInclusiefCorrecties_2;MigratiesaldoInclusiefCorrecties_3
0;Mannen en Vrouwen;13;2012;154705;143788;10917
1;Mannen en Vrouwen;13;2013;152909;141165;11744
2;Mannen en Vrouwen;13;2014;151977;139094;12883
3;Mannen en Vrouwen;13;2015;153485;137430;16055
4;Mannen en Vrouwen;13;2016;155373;135634;19739
5;Mannen en Vrouwen;13;2017;157374;133446;23928
6;Mannen en Vrouwen;13;2018;157331;133973;23358
7;Mannen en Vrouwen;13;2019;156685;134333;22352
8;Mannen en Vrouwen;13;2020;155562;134431;21131
9;Mannen en Vrouwen;13;2021;154447;134274;20173
10;Mannen en Vrouwen;13;2022;153323;133986;19337
11;Mannen en Vrouwen;13;2023;153235;133926;19309
12;Mannen en Vrouwen;13;2024;153231;133968;19263
13;Mannen en Vrouwen;13;2025;153286;134091;19195
14;Mannen en Vrouwen;13;2026;153385;134250;19135
15;Mannen en Vrouwen;13;2027;153466;134399;19067
16;Mannen en Vrouwen;13;2028;153538;134562;18976
17;Mannen en Vrouwen;13;2029;153655;134679;18976
18;Mannen en Vrouwen;13;2030;153712;134801;18911
19;Mannen en Vrouwen;13;2031;153773;134887;18886
20;Mannen en Vrouwen;13;2032;153805;134964;18841
21;Mannen en Vrouwen;13;2033;153896;135038;18858
22;Mannen en Vrouwen;13;2034;153979;135114;18865
23;Mannen en Vrouwen;13;2035;154029;135188;18841
24;Mannen en Vrouwen;13;2036;154136;135258;18878
25;Mannen en Vrouwen;13;2037;154187;135320;18867
26;Mannen en Vrouwen;13;2038;154234;135395;18839
27;Mannen en Vrouwen;13;2039;154298;135463;18835
28;Mannen en Vrouwen;13;2040;154412;135528;18884
29;Mannen en Vrouwen;13;2041;154481;135608;18873
30;Mannen en Vrouwen;13;2042;154490;135704;18786
31;Mannen en Vrouwen;13;2043;154557;135816;18741
32;Mannen en Vrouwen;13;2044;154581;135940;18642
33;Mannen en Vrouwen;13;2045;154641;136071;18570
34;Mannen en Vrouwen;13;2046;154674;136215;18459
35;Mannen en Vrouwen;13;2047;154774;136351;18423
36;Mannen en Vrouwen;13;2048;154837;136496;18341
37;Mannen en Vrouwen;13;2049;154901;136649;18252
38;Mannen en Vrouwen;13;2050;154943;136799;18144
39;Mannen en Vrouwen;13;2051;155005;136954;18052
40;Mannen en Vrouwen;13;2052;155017;137106;17911
41;Mannen en Vrouwen;13;2053;155064;137256;17808
42;Mannen en Vrouwen;13;2054;155108;137389;17719
43;Mannen en Vrouwen;13;2055;155139;137521;17618
44;Mannen en Vrouwen;13;2056;155190;137640;17550
45;Mannen en Vrouwen;13;2057;155198;137745;17453
46;Mannen en Vrouwen;13;2058;155202;137844;17358
47;Mannen en Vrouwen;13;2059;155222;137922;17300
48;Mannen en Vrouwen;8;2012;30039;46904;-16865
49;Mannen en Vrouwen;8;2013;29334;46328;-16994
50;Mannen en Vrouwen;8;2014;28785;46238;-17453
51;Mannen en Vrouwen;8;2015;28686;46544;-17858
52;Mannen en Vrouwen;8;2016;29071;46528;-17457
53;Mannen en Vrouwen;8;2017;29722;46107;-16385
54;Mannen en Vrouwen;8;2018;30220;46126;-15906
55;Mannen en Vrouwen;8;2019;30385;46165;-15780
56;Mannen en Vrouwen;8;2020;30385;46215;-15830
57;Mannen en Vrouwen;8;2021;30345;46249;-15904
58;Mannen en Vrouwen;8;2022;30206;46286;-16080
59;Mannen en Vrouwen;8;2023;30082;46349;-16267
60;Mannen en Vrouwen;8;2024;30030;46401;-16371
61;Mannen en Vrouwen;8;2025;29989;46444;-16455
62;Mannen en Vrouwen;8;2026;29999;46471;-16472
63;Mannen en Vrouwen;8;2027;30006;46484;-16478
64;Mannen en Vrouwen;8;2028;29996;46510;-16514
65;Mannen en Vrouwen;8;2029;30028;46497;-16469
66;Mannen en Vrouwen;8;2030;30022;46484;-16462
67;Mannen en Vrouwen;8;2031;30013;46449;-16436
68;Mannen en Vrouwen;8;2032;30002;46412;-16410
69;Mannen en Vrouwen;8;2033;30036;46374;-16338
70;Mannen en Vrouwen;8;2034;30079;46333;-16254
71;Mannen en Vrouwen;8;2035;30108;46291;-16183
72;Mannen en Vrouwen;8;2036;30174;46252;-16078
73;Mannen en Vrouwen;8;2037;30183;46212;-16030
74;Mannen en Vrouwen;8;2038;30200;46192;-15992
75;Mannen en Vrouwen;8;2039;30239;46185;-15946
76;Mannen en Vrouwen;8;2040;30314;46180;-15866
77;Mannen en Vrouwen;8;2041;30355;46190;-15834
78;Mannen en Vrouwen;8;2042;30340;46216;-15876
79;Mannen en Vrouwen;8;2043;30393;46255;-15862
80;Mannen en Vrouwen;8;2044;30397;46312;-15915
81;Mannen en Vrouwen;8;2045;30433;46381;-15948
82;Mannen en Vrouwen;8;2046;30438;46462;-16024
83;Mannen en Vrouwen;8;2047;30501;46538;-16037
84;Mannen en Vrouwen;8;2048;30543;46623;-16080
85;Mannen en Vrouwen;8;2049;30590;46719;-16129
86;Mannen en Vrouwen;8;2050;30614;46816;-16202
87;Mannen en Vrouwen;8;2051;30659;46919;-16260
88;Mannen en Vrouwen;8;2052;30653;47021;-16368
89;Mannen en Vrouwen;8;2053;30677;47123;-16446
90;Mannen en Vrouwen;8;2054;30707;47211;-16504
91;Mannen en Vrouwen;8;2055;30730;47302;-16572
92;Mannen en Vrouwen;8;2056;30769;47381;-16612
93;Mannen en Vrouwen;8;2057;30768;47449;-16681
94;Mannen en Vrouwen;8;2058;30759;47513;-16754
95;Mannen en Vrouwen;8;2059;30767;47556;-16789
96;Mannen en Vrouwen;16;2012;124666;96886;27780
97;Mannen en Vrouwen;16;2013;123575;94836;28739
98;Mannen en Vrouwen;16;2014;123192;92859;30334
99;Mannen en Vrouwen;16;2015;124799;90887;33912
100;Mannen en Vrouwen;16;2016;126302;89106;37196
101;Mannen en Vrouwen;16;2017;127652;87339;40313
102;Mannen en Vrouwen;16;2018;127111;87847;39264
103;Mannen en Vrouwen;16;2019;126300;88167;38133
104;Mannen en Vrouwen;16;2020;125177;88216;36960
105;Mannen en Vrouwen;16;2021;124102;88028;36075
106;Mannen en Vrouwen;16;2022;123117;87701;35416
107;Mannen en Vrouwen;16;2023;123153;87576;35577
108;Mannen en Vrouwen;16;2024;123201;87567;35634
109;Mannen en Vrouwen;16;2025;123297;87647;35650
110;Mannen en Vrouwen;16;2026;123386;87780;35606
111;Mannen en Vrouwen;16;2027;123460;87916;35545
112;Mannen en Vrouwen;16;2028;123542;88051;35492
113;Mannen en Vrouwen;16;2029;123627;88183;35444
114;Mannen en Vrouwen;16;2030;123690;88316;35375
115;Mannen en Vrouwen;16;2031;123760;88438;35322
116;Mannen en Vrouwen;16;2032;123803;88552;35250
117;Mannen en Vrouwen;16;2033;123860;88665;35195
118;Mannen en Vrouwen;16;2034;123900;88781;35119
119;Mannen en Vrouwen;16;2035;123921;88899;35022
120;Mannen en Vrouwen;16;2036;123962;89006;34956
121;Mannen en Vrouwen;16;2037;124004;89108;34895
122;Mannen en Vrouwen;16;2038;124034;89204;34830
123;Mannen en Vrouwen;16;2039;124059;89280;34779
124;Mannen en Vrouwen;16;2040;124098;89349;34749
125;Mannen en Vrouwen;16;2041;124126;89417;34710
126;Mannen en Vrouwen;16;2042;124150;89486;34662
127;Mannen en Vrouwen;16;2043;124164;89560;34604
128;Mannen en Vrouwen;16;2044;124184;89627;34558
129;Mannen en Vrouwen;16;2045;124208;89691;34517
130;Mannen en Vrouwen;16;2046;124236;89753;34482
131;Mannen en Vrouwen;16;2047;124273;89813;34460
132;Mannen en Vrouwen;16;2048;124294;89873;34421
133;Mannen en Vrouwen;16;2049;124311;89929;34381
134;Mannen en Vrouwen;16;2050;124329;89982;34348
135;Mannen en Vrouwen;16;2051;124346;90035;34312
136;Mannen en Vrouwen;16;2052;124364;90083;34281
137;Mannen en Vrouwen;16;2053;124387;90131;34256
138;Mannen en Vrouwen;16;2054;124401;90177;34224
139;Mannen en Vrouwen;16;2055;124409;90219;34189
140;Mannen en Vrouwen;16;2056;124421;90261;34160
141;Mannen en Vrouwen;16;2057;124430;90294;34135
142;Mannen en Vrouwen;16;2058;124443;90330;34112
143;Mannen en Vrouwen;16;2059;124455;90365;34091
144;Mannen en Vrouwen;14;2012;44556;37857;6699
145;Mannen en Vrouwen;14;2013;46820;36390;10430
146;Mannen en Vrouwen;14;2014;48895;35247;13649
147;Mannen en Vrouwen;14;2015;50100;34352;15748
148;Mannen en Vrouwen;14;2016;51279;33661;17618
149;Mannen en Vrouwen;14;2017;52404;33094;19310
150;Mannen en Vrouwen;14;2018;52636;33143;19493
151;Mannen en Vrouwen;14;2019;52749;33236;19513
152;Mannen en Vrouwen;14;2020;52647;33258;19388
153;Mannen en Vrouwen;14;2021;52530;33209;19322
154;Mannen en Vrouwen;14;2022;52489;33129;19360
155;Mannen en Vrouwen;14;2023;52490;33255;19235
156;Mannen en Vrouwen;14;2024;52496;33380;19116
157;Mannen en Vrouwen;14;2025;52558;33524;19034
158;Mannen en Vrouwen;14;2026;52621;33674;18947
159;Mannen en Vrouwen;14;2027;52676;33811;18866
160;Mannen en Vrouwen;14;2028;52735;33944;18791
161;Mannen en Vrouwen;14;2029;52803;34072;18731
162;Mannen en Vrouwen;14;2030;52848;34200;18648
163;Mannen en Vrouwen;14;2031;52904;34320;18584
164;Mannen en Vrouwen;14;2032;52938;34433;18504
165;Mannen en Vrouwen;14;2033;52978;34544;18434
166;Mannen en Vrouwen;14;2034;53012;34658;18354
167;Mannen en Vrouwen;14;2035;53026;34775;18251
