ID;Sectors;Periods;TotalLiabilities_1;FinancialCorporations_2;TotalOtherCorporations_3;LossMaking_4;ProfitMaking_5;TotalLiabilities_6;FinancialCorporations_7;TotalOtherCorporations_8;LossMaking_9;ProfitMaking_10
0;General government;2017;754070;643602;110468;1715;108753;100.4;85.7;14.7;0.2;14.5
1;General government;2018;750086;628547;121539;4362;117177;95.3;79.8;15.4;0.6;14.9
2;General government;2019;748406;624417;123989;1166;122823;90.2;75.3;14.9;0.1;14.8
3;General government;2020;788760;655560;133199;14181;119019;96.6;80.3;16.3;1.7;14.6
4;General government;2021;813257;672357;140900;18647;122253;91.2;75.4;15.8;2.1;13.7
5;General government;2022;789411;639751;149660;28951;120709;79.4;64.4;15.1;2.9;12.1
6;General government;2023;780346;627739;152607;28579;124028;73.1;58.8;14.3;2.7;11.6
7;Central government;2017;669315;571912;97403;944;96458;89.1;76.2;13.0;0.1;12.8
8;Central government;2018;664795;556480;108315;3565;104750;84.4;70.7;13.8;0.5;13.3
9;Central government;2019;657722;547509;110213;673;109539;79.3;66.0;13.3;0.1;13.2
10;Central government;2020;691600;572860;118740;13359;105381;84.7;70.2;14.5;1.6;12.9
11;Central government;2021;716260;591375;124885;18420;106465;80.3;66.3;14.0;2.1;11.9
12;Central government;2022;698501;564356;134145;28817;105328;70.3;56.8;13.5;2.9;10.6
13;Central government;2023;688104;552015;136090;28040;108050;64.5;51.7;12.7;2.6;10.1
14;Local government;2017;84756;71690;13066;771;12294;11.3;9.5;1.7;0.1;1.6
15;Local government;2018;85291;72067;13224;797;12427;10.8;9.2;1.7;0.1;1.6
16;Local government;2019;90684;76908;13776;493;13283;10.9;9.3;1.7;0.1;1.6
17;Local government;2020;97159;82700;14459;822;13638;11.9;10.1;1.8;0.1;1.7
18;Local government;2021;96997;80982;16015;227;15788;10.9;9.1;1.8;0.0;1.8
19;Local government;2022;90910;75395;15515;134;15381;9.1;7.6;1.6;0.0;1.5
20;Local government;2023;92242;75724;16517;539;15979;8.6;7.1;1.5;0.1;1.5
21;Social security funds;2017;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0
22;Social security funds;2018;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0
23;Social security funds;2019;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0
24;Social security funds;2020;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0
25;Social security funds;2021;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0
26;Social security funds;2022;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0
27;Social security funds;2023;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0
