ID;Functions;Financing;Periods;HealthAndSocialCareExpenditure_1
0;Total expenditure on health and care;Total financ schemes health,social care;2021;129060.0
1;Total expenditure on health and care;Total financ schemes health,social care;2022;132858.0
2;Total expenditure on health and care;Total financ schemes health,social care;2023;142824.0
3;Total expenditure on health and care;Total financing of residents;2021;128838.0
4;Total expenditure on health and care;Total financing of residents;2022;132605.0
5;Total expenditure on health and care;Total financing of residents;2023;142563.0
6;Total expenditure on health and care;HF1: Government, comp. contr. schemes;2021;109367.0
7;Total expenditure on health and care;HF1: Government, comp. contr. schemes;2022;111121.0
8;Total expenditure on health and care;HF1: Government, comp. contr. schemes;2023;119070.0
9;Total expenditure on health and care;HF11: Government schemes;2021;32859.0
10;Total expenditure on health and care;HF11: Government schemes;2022;31622.0
11;Total expenditure on health and care;HF11: Government schemes;2023;32630.0
12;Total expenditure on health and care;HF12: Compulsory contributory schemes;2021;76507.0
13;Total expenditure on health and care;HF12: Compulsory contributory schemes;2022;79499.0
14;Total expenditure on health and care;HF12: Compulsory contributory schemes;2023;86440.0
15;Total expenditure on health and care;HF121a: Long-term care insurance;2021;26738.0
16;Total expenditure on health and care;HF121a: Long-term care insurance;2022;28349.0
17;Total expenditure on health and care;HF121a: Long-term care insurance;2023;31366.0
18;Total expenditure on health and care;HF121b: Health Insurance Fund;2021;
19;Total expenditure on health and care;HF121b: Health Insurance Fund;2022;
20;Total expenditure on health and care;HF121b: Health Insurance Fund;2023;
21;Total expenditure on health and care;HF122: Compulsory private insurance;2021;49769.0
22;Total expenditure on health and care;HF122: Compulsory private insurance;2022;51150.0
23;Total expenditure on health and care;HF122: Compulsory private insurance;2023;55074.0
24;Total expenditure on health and care;Voluntary schemes (incl. OOP);2021;19472.0
25;Total expenditure on health and care;Voluntary schemes (incl. OOP);2022;21484.0
26;Total expenditure on health and care;Voluntary schemes (incl. OOP);2023;23493.0
27;Total expenditure on health and care;HF2: Voluntary schemes;2021;6161.0
28;Total expenditure on health and care;HF2: Voluntary schemes;2022;6207.0
29;Total expenditure on health and care;HF2: Voluntary schemes;2023;6621.0
