ID;Geslacht;Leeftijd;IndicatieZZVEnOfZMV;IndicatieWelNietJeugdwet;Perioden;JongerenMetAWBZIndicatieInJaar_1
0;Totaal mannen en vrouwen;Jonger dan 18 jaar;Totaal ZZV-AWBZ en/of ZMV-AWBZ;Totaal;2011;97265.0
1;Totaal mannen en vrouwen;Jonger dan 18 jaar;Totaal ZZV-AWBZ en/of ZMV-AWBZ;Totaal;2012;88400.0
2;Totaal mannen en vrouwen;Jonger dan 18 jaar;Totaal ZZV-AWBZ en/of ZMV-AWBZ;Totaal;2013;82085.0
3;Totaal mannen en vrouwen;Jonger dan 18 jaar;Totaal ZZV-AWBZ en/of ZMV-AWBZ;Totaal;2014;78320.0
4;Totaal mannen en vrouwen;Jonger dan 18 jaar;Totaal ZZV-AWBZ en/of ZMV-AWBZ;Zorg die overgaat naar Jeugdwet;2011;85015.0
5;Totaal mannen en vrouwen;Jonger dan 18 jaar;Totaal ZZV-AWBZ en/of ZMV-AWBZ;Zorg die overgaat naar Jeugdwet;2012;80820.0
6;Totaal mannen en vrouwen;Jonger dan 18 jaar;Totaal ZZV-AWBZ en/of ZMV-AWBZ;Zorg die overgaat naar Jeugdwet;2013;75980.0
7;Totaal mannen en vrouwen;Jonger dan 18 jaar;Totaal ZZV-AWBZ en/of ZMV-AWBZ;Zorg die overgaat naar Jeugdwet;2014;72200.0
8;Totaal mannen en vrouwen;Jonger dan 18 jaar;Totaal ZZV-AWBZ en/of ZMV-AWBZ;Zorg die niet overgaat naar Jeugdwet;2011;17375.0
9;Totaal mannen en vrouwen;Jonger dan 18 jaar;Totaal ZZV-AWBZ en/of ZMV-AWBZ;Zorg die niet overgaat naar Jeugdwet;2012;12220.0
10;Totaal mannen en vrouwen;Jonger dan 18 jaar;Totaal ZZV-AWBZ en/of ZMV-AWBZ;Zorg die niet overgaat naar Jeugdwet;2013;10570.0
11;Totaal mannen en vrouwen;Jonger dan 18 jaar;Totaal ZZV-AWBZ en/of ZMV-AWBZ;Zorg die niet overgaat naar Jeugdwet;2014;10020.0
12;Totaal mannen en vrouwen;Jonger dan 18 jaar;Totaal ZZV-AWBZ;Totaal;2011;86570.0
13;Totaal mannen en vrouwen;Jonger dan 18 jaar;Totaal ZZV-AWBZ;Totaal;2012;78180.0
14;Totaal mannen en vrouwen;Jonger dan 18 jaar;Totaal ZZV-AWBZ;Totaal;2013;72555.0
15;Totaal mannen en vrouwen;Jonger dan 18 jaar;Totaal ZZV-AWBZ;Totaal;2014;68395.0
16;Totaal mannen en vrouwen;Jonger dan 18 jaar;Totaal ZZV-AWBZ;Zorg die overgaat naar Jeugdwet;2011;79025.0
17;Totaal mannen en vrouwen;Jonger dan 18 jaar;Totaal ZZV-AWBZ;Zorg die overgaat naar Jeugdwet;2012;74800.0
18;Totaal mannen en vrouwen;Jonger dan 18 jaar;Totaal ZZV-AWBZ;Zorg die overgaat naar Jeugdwet;2013;70225.0
19;Totaal mannen en vrouwen;Jonger dan 18 jaar;Totaal ZZV-AWBZ;Zorg die overgaat naar Jeugdwet;2014;66440.0
20;Totaal mannen en vrouwen;Jonger dan 18 jaar;Totaal ZZV-AWBZ;Zorg die niet overgaat naar Jeugdwet;2011;12600.0
21;Totaal mannen en vrouwen;Jonger dan 18 jaar;Totaal ZZV-AWBZ;Zorg die niet overgaat naar Jeugdwet;2012;7200.0
22;Totaal mannen en vrouwen;Jonger dan 18 jaar;Totaal ZZV-AWBZ;Zorg die niet overgaat naar Jeugdwet;2013;5705.0
23;Totaal mannen en vrouwen;Jonger dan 18 jaar;Totaal ZZV-AWBZ;Zorg die niet overgaat naar Jeugdwet;2014;5100.0
