ID;SoortOpvang;Perioden;AantalVoorzieningen_1;OpgenomenClienten_2;TotaalBedrijfsopbrengsten_3;VanGemeenten_4;VanCVZ_5;OverigeSubsidies_6;OntvangstenVanClienten_7;OverigeOpbrengsten_8;TotaalBedrijfslasten_9;Personeelskosten_10;Huisvestingskosten_11;Organisatiekosten_12;Verzorgingskosten_13;OverigeLasten_14;Exploitatiesaldo_15;TotaalPersoneel_16;TotaalWerkzamePersonen_17;Fulltimers_18;Parttimers_19;FTE_20;GewerkteUrenOproepEnUitzendkrachten_21;Vrijwilligers_22;DoorVrijwilligersGewerkteUren_23
0;1;1997;;;125.3;90.6;5.9;3.4;19.8;5.7;127.0;78.5;27.5;9.0;9.4;2.5;-1.6;3784.0;3784.0;818.0;2966.0;2814.0;181.5;4582.0;178.6
1;1;1998;354.0;14939.0;141.2;99.9;8.7;3.9;21.8;6.9;146.8;90.3;31.0;10.5;10.5;4.6;-5.6;4337.0;4337.0;954.0;3383.0;3133.0;281.4;4609.0;164.9
2;1;1999;383.0;18284.0;156.9;110.0;8.9;4.9;23.8;9.4;164.2;105.5;33.1;11.6;12.0;2.1;-7.3;4924.0;4924.0;1191.0;3733.0;3493.0;278.8;;
3;1;2000;449.0;19034.0;162.4;117.4;7.9;4.8;24.6;7.6;170.8;113.6;32.7;11.3;11.2;2.0;-8.4;5186.0;;;;3679.0;;;
4;2;1997;;;32.1;28.0;0.6;0.5;1.8;1.1;32.3;22.3;5.8;2.2;1.6;0.4;-0.2;1048.0;1048.0;84.0;964.0;799.0;50.6;;
5;2;1998;64.0;7488.0;34.2;29.1;1.1;0.5;2.0;1.5;33.8;23.5;6.0;2.3;1.7;0.4;0.4;1091.0;1091.0;90.0;1001.0;764.7;65.7;;
6;2;1999;80.0;8957.0;35.7;31.4;1.1;0.4;1.6;1.2;35.7;25.3;6.0;2.3;1.7;0.4;0.0;1201.0;1201.0;83.0;1118.0;822.3;58.7;;
7;2;2000;105.0;8856.0;;36.8;;;;;;;;;;;;;;;;;;;
8;4;1997;;;;;;;;;;;;;;;;;;;;;;;
9;4;1998;217.0;2437.0;;;;;;;;;;;;;;;;;;;;;
10;4;1999;228.0;2608.0;;;;;;;;;;;;;;;;;;;;;
11;4;2000;180.0;2722.0;;;;;;;;;;;;;;;;;;;;;
12;3;1997;;;93.3;62.6;5.3;2.9;18.0;4.6;94.7;56.2;21.7;6.9;7.8;2.1;-1.4;2736.0;2736.0;734.0;2002.0;2015.0;130.9;;
13;3;1998;73.0;5014.0;107.0;70.8;7.5;3.5;19.9;5.4;113.0;66.8;25.0;8.2;8.8;4.2;-5.9;3245.7;3245.7;864.0;2381.7;2368.3;215.7;;
14;3;1999;75.0;6719.0;121.3;78.6;7.8;4.5;22.1;8.2;128.5;80.2;27.1;9.3;10.3;1.7;-7.3;3723.0;3723.0;1108.0;2615.0;2670.7;220.1;;
15;3;2000;164.0;7456.0;;80.6;;;;;;;;;;;;;;;;;;;
