ID;Perioden;TotaalAlleVrouwen_1;AutochtoneVrouwenIncl2eGeneratie_2;Afrika_3;Azie_4;LatijnsAmerika_5;Marokko_6;NederlandseAntillenEnAruba_7;Suriname_8;Turkije_9;k_26EULanden_10;OverigEuropa_11;Indonesie_12;OverigBuitenEuropa_13
0;2010;1.76;1.79;2.53;1.72;1.67;2.87;1.84;1.75;1.89;1.51;1.58;1.4;1.27
1;2011;1.76;1.78;2.5;1.7;1.67;2.86;1.83;1.75;1.88;1.51;1.56;1.4;1.27
2;2012;1.76;1.78;2.47;1.68;1.68;2.84;1.82;1.75;1.87;1.51;1.54;1.4;1.26
3;2013;1.75;1.78;2.44;1.66;1.69;2.82;1.81;1.75;1.86;1.51;1.53;1.4;1.25
4;2014;1.75;1.78;2.42;1.65;1.71;2.81;1.8;1.75;1.85;1.51;1.51;1.4;1.24
5;2015;1.75;1.78;2.39;1.63;1.72;2.79;1.78;1.75;1.85;1.5;1.5;1.4;1.23
6;2016;1.75;1.77;2.37;1.62;1.73;2.77;1.77;1.75;1.84;1.5;1.49;1.4;1.22
7;2017;1.75;1.77;2.35;1.61;1.74;2.75;1.76;1.75;1.84;1.5;1.48;1.4;1.21
8;2018;1.75;1.78;2.33;1.6;1.75;2.72;1.75;1.75;1.83;1.5;1.47;1.4;1.2
9;2019;1.75;1.78;2.3;1.6;1.75;2.7;1.75;1.75;1.83;1.5;1.46;1.4;1.2
10;2020;1.75;1.78;2.28;1.6;1.75;2.68;1.75;1.75;1.83;1.5;1.45;1.4;1.2
11;2021;1.75;1.78;2.26;1.6;1.75;2.65;1.75;1.75;1.83;1.5;1.44;1.4;1.2
12;2022;1.75;1.78;2.25;1.6;1.75;2.62;1.75;1.75;1.82;1.5;1.43;1.4;1.2
13;2023;1.75;1.78;2.23;1.6;1.75;2.6;1.75;1.75;1.82;1.5;1.43;1.4;1.2
14;2024;1.75;1.78;2.21;1.6;1.75;2.57;1.75;1.75;1.82;1.5;1.42;1.4;1.2
15;2025;1.75;1.78;2.19;1.6;1.75;2.54;1.75;1.75;1.82;1.5;1.42;1.4;1.2
16;2026;1.75;1.78;2.18;1.6;1.75;2.51;1.75;1.75;1.82;1.5;1.41;1.4;1.2
17;2027;1.75;1.78;2.16;1.6;1.75;2.49;1.75;1.75;1.82;1.5;1.41;1.4;1.2
18;2028;1.75;1.78;2.15;1.6;1.75;2.46;1.75;1.75;1.82;1.5;1.41;1.4;1.2
19;2029;1.75;1.78;2.14;1.6;1.75;2.43;1.75;1.75;1.82;1.5;1.41;1.4;1.2
20;2030;1.75;1.78;2.12;1.6;1.75;2.4;1.75;1.75;1.82;1.5;1.4;1.4;1.2
21;2031;1.75;1.78;2.11;1.6;1.75;2.37;1.75;1.75;1.82;1.5;1.4;1.4;1.2
22;2032;1.75;1.78;2.1;1.6;1.75;2.34;1.75;1.75;1.83;1.5;1.4;1.4;1.2
23;2033;1.75;1.78;2.09;1.6;1.75;2.32;1.75;1.75;1.83;1.5;1.4;1.4;1.2
24;2034;1.75;1.78;2.08;1.6;1.75;2.29;1.75;1.75;1.83;1.5;1.4;1.4;1.2
25;2035;1.75;1.78;2.07;1.6;1.75;2.26;1.75;1.75;1.83;1.5;1.4;1.4;1.2
26;2036;1.75;1.79;2.06;1.6;1.75;2.24;1.75;1.75;1.83;1.5;1.4;1.4;1.2
27;2037;1.75;1.79;2.05;1.6;1.75;2.21;1.75;1.75;1.83;1.5;1.4;1.4;1.2
28;2038;1.75;1.79;2.05;1.6;1.75;2.19;1.75;1.75;1.84;1.5;1.4;1.4;1.2
29;2039;1.75;1.79;2.04;1.6;1.75;2.17;1.75;1.75;1.84;1.5;1.4;1.4;1.2
30;2040;1.75;1.79;2.03;1.6;1.75;2.14;1.75;1.75;1.84;1.5;1.4;1.4;1.2
31;2041;1.75;1.79;2.03;1.6;1.75;2.12;1.75;1.75;1.84;1.5;1.4;1.4;1.2
