ID;Perioden;TotaalWerkzamePersonen_1;Fulltimers_2;Parttimers_3;TotaalBezetteArbeidsplaatsen_4;TotaalPersoneelInLoondienst_5;AlgemeneEnAdministratieveFuncties_6;PatientEnBewonergebondenfuncties_7;LeerlingverplVerzOpvPersoneel_8;Stagiaires_9;PersoneelNietInLoondienst_10
0;1985;31051;19099;11952;26170;25467;7436;14368;3372;291;703
1;1986;31877;18851;13026;26614;25868;7433;14953;3236;246;746
2;1987;32717;18144;14573;27093;26190;7451;15475;2992;272;903
3;1988;33537;16930;16607;27325;26370;7544;15789;2771;266;955
4;1990;35308;16312;18996;28549;27410;7587;16862;2710;251;1140
5;1989;34109;16436;17673;27486;26559;7382;16178;2694;305;928
6;1991;37099;15451;21648;29141;28153;7639;17369;2813;332;987
7;1992;38683;15789;22894;29983;29180;8003;18178;2817;182;804
8;1993;39943;15752;24191;30182;29649;8075;18597;2813;164;533
9;1994;40413;14833;25580;30365;29981;8013;19282;2513;173;385
10;1995;41878;14334;27544;30937;30503;8103;19884;2231;285;434
11;1996;42247;13894;28353;30861;30519;8127;20195;1881;316;342
