ID;Geslacht;Leeftijd;Migratieachtergrond;SamenstellingHuishouden;WijzeBeeindiging;Perioden;PersonenMetBeeindigdeSchuldsanering_1
0;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal alle beëindigingen;1999;200.0
1;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal alle beëindigingen;2000;945.0
2;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal alle beëindigingen;2001;2105.0
3;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal alle beëindigingen;2002;4405.0
4;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal alle beëindigingen;2003;8025.0
5;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal alle beëindigingen;2004;9045.0
6;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal alle beëindigingen;2005;10635.0
7;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal alle beëindigingen;2006;11210.0
8;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal alle beëindigingen;2007;12655.0
9;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal alle beëindigingen;2008;14125.0
10;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal alle beëindigingen;2009;13910.0
11;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal alle beëindigingen;2010;13515.0
12;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal alle beëindigingen;2011;10960.0
13;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal alle beëindigingen;2012;9935.0
14;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal alle beëindigingen;2013;11280.0
15;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal alle beëindigingen;2014;13450.0
16;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal alle beëindigingen;2015;14000.0
17;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal alle beëindigingen;2016;12685.0
18;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal alle beëindigingen;2017;12260.0
19;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal alle beëindigingen;2018;11225.0
20;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal alle beëindigingen;2019;9900.0
21;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal alle beëindigingen;2020;8025.0
22;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal alle beëindigingen;2021;5795.0
23;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal alle beëindigingen;2022;4870.0
24;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Beëindigingen door schone lei;1999;
25;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Beëindigingen door schone lei;2000;180.0
26;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Beëindigingen door schone lei;2001;515.0
27;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Beëindigingen door schone lei;2002;2675.0
28;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Beëindigingen door schone lei;2003;5770.0
29;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Beëindigingen door schone lei;2004;6390.0
30;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Beëindigingen door schone lei;2005;7035.0
31;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Beëindigingen door schone lei;2006;7265.0
32;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Beëindigingen door schone lei;2007;8890.0
33;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Beëindigingen door schone lei;2008;10225.0
34;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Beëindigingen door schone lei;2009;10350.0
35;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Beëindigingen door schone lei;2010;10830.0
36;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Beëindigingen door schone lei;2011;8340.0
37;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Beëindigingen door schone lei;2012;7130.0
38;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Beëindigingen door schone lei;2013;8295.0
39;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Beëindigingen door schone lei;2014;10790.0
40;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Beëindigingen door schone lei;2015;11760.0
41;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Beëindigingen door schone lei;2016;10845.0
42;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Beëindigingen door schone lei;2017;10625.0
43;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Beëindigingen door schone lei;2018;9695.0
44;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Beëindigingen door schone lei;2019;8715.0
45;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Beëindigingen door schone lei;2020;6860.0
46;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Beëindigingen door schone lei;2021;2740.0
47;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Beëindigingen door schone lei;2022;640.0
48;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Beëindigingen door akkoord;1999;75.0
