ID;Geslacht;Persoonskenmerken;UitstromersHoMetEnZonderDiploma;Arbeidsmarktpositie;Studierichting;Peilmoment;Perioden;UitstromersHo_1
0;Totaal;Totaal;Totaal;Totaal;Totaal;Direct na verlaten onderwijs;2006/'07;102690.0
1;Totaal;Totaal;Totaal;Totaal;Totaal;Direct na verlaten onderwijs;2007/'08;105600.0
2;Totaal;Totaal;Totaal;Totaal;Totaal;Direct na verlaten onderwijs;2008/'09;104580.0
3;Totaal;Totaal;Totaal;Totaal;Totaal;Direct na verlaten onderwijs;2009/'10;112300.0
4;Totaal;Totaal;Totaal;Totaal;Totaal;Direct na verlaten onderwijs;2010/'11;121220.0
5;Totaal;Totaal;Totaal;Totaal;Totaal;Direct na verlaten onderwijs;2011/'12;136010.0
6;Totaal;Totaal;Totaal;Totaal;Totaal;Direct na verlaten onderwijs;2012/'13;121890.0
7;Totaal;Totaal;Totaal;Totaal;Totaal;Direct na verlaten onderwijs;2013/'14;130670.0
8;Totaal;Totaal;Totaal;Totaal;Totaal;Direct na verlaten onderwijs;2014/'15;137410.0
9;Totaal;Totaal;Totaal;Totaal;Totaal;Direct na verlaten onderwijs;2015/'16;139720.0
10;Totaal;Totaal;Totaal;Totaal;Totaal;Direct na verlaten onderwijs;2016/'17;146100.0
11;Totaal;Totaal;Totaal;Totaal;Totaal;Direct na verlaten onderwijs;2017/'18;149280.0
12;Totaal;Totaal;Totaal;Totaal;Totaal;Direct na verlaten onderwijs;2018/'19;150180.0
13;Totaal;Totaal;Totaal;Totaal;Totaal;Direct na verlaten onderwijs;2019/'20;140720.0
14;Totaal;Totaal;Totaal;Totaal;Totaal;Direct na verlaten onderwijs;2020/'21;155010.0
15;Totaal;Totaal;Totaal;Totaal;Totaal;1 jaar na verlaten onderwijs;2006/'07;102690.0
16;Totaal;Totaal;Totaal;Totaal;Totaal;1 jaar na verlaten onderwijs;2007/'08;105600.0
17;Totaal;Totaal;Totaal;Totaal;Totaal;1 jaar na verlaten onderwijs;2008/'09;104580.0
