ID;Geslacht;Leeftijdsgroep;Herkomstgroepering;VerdachtenNaarSoortMisdrijf;Perioden;AantalVerdachten_1;VerdachtenPer1000Inwoners_2
0;Totaal mannen en vrouwen;12 jaar of ouder;0;Totaal verdachten van misdrijven;1999;139330;10
1;Totaal mannen en vrouwen;12 jaar of ouder;0;Totaal verdachten van misdrijven;2000;138110;10
2;Totaal mannen en vrouwen;12 jaar of ouder;0;Totaal verdachten van misdrijven;2001;149270;11
3;Totaal mannen en vrouwen;12 jaar of ouder;0;Totaal verdachten van misdrijven;2002;164220;12
4;Totaal mannen en vrouwen;12 jaar of ouder;0;Totaal verdachten van misdrijven;2003;184020;13
5;Totaal mannen en vrouwen;12 jaar of ouder;0;Totaal verdachten van misdrijven;2004;199180;14
6;Totaal mannen en vrouwen;12 jaar of ouder;0;Totaal verdachten van misdrijven;2005;209350;15
7;Totaal mannen en vrouwen;12 jaar of ouder;0;Totaal verdachten van misdrijven;2006;214320;15
8;Totaal mannen en vrouwen;12 jaar of ouder;0;Totaal verdachten van misdrijven;2007;216790;15
9;Totaal mannen en vrouwen;12 jaar of ouder;0;Totaal verdachten van misdrijven;2008;202850;14
10;Totaal mannen en vrouwen;12 jaar of ouder;0;Totaal verdachten van misdrijven;2009;187760;13
11;Totaal mannen en vrouwen;12 jaar of ouder;0;Totaal verdachten van misdrijven;2010;176790;12
12;Totaal mannen en vrouwen;12 jaar of ouder;0;Totaal verdachten van misdrijven;2011;164420;11
13;Totaal mannen en vrouwen;12 jaar of ouder;0;Vermogensmisdrijven;1999;36840;3
14;Totaal mannen en vrouwen;12 jaar of ouder;0;Vermogensmisdrijven;2000;34810;3
15;Totaal mannen en vrouwen;12 jaar of ouder;0;Vermogensmisdrijven;2001;36330;3
16;Totaal mannen en vrouwen;12 jaar of ouder;0;Vermogensmisdrijven;2002;37590;3
17;Totaal mannen en vrouwen;12 jaar of ouder;0;Vermogensmisdrijven;2003;39750;3
18;Totaal mannen en vrouwen;12 jaar of ouder;0;Vermogensmisdrijven;2004;41950;3
19;Totaal mannen en vrouwen;12 jaar of ouder;0;Vermogensmisdrijven;2005;42820;3
20;Totaal mannen en vrouwen;12 jaar of ouder;0;Vermogensmisdrijven;2006;43420;3
21;Totaal mannen en vrouwen;12 jaar of ouder;0;Vermogensmisdrijven;2007;42280;3
22;Totaal mannen en vrouwen;12 jaar of ouder;0;Vermogensmisdrijven;2008;41260;3
23;Totaal mannen en vrouwen;12 jaar of ouder;0;Vermogensmisdrijven;2009;39910;3
24;Totaal mannen en vrouwen;12 jaar of ouder;0;Vermogensmisdrijven;2010;40180;3
25;Totaal mannen en vrouwen;12 jaar of ouder;0;Vermogensmisdrijven;2011;38220;3
26;Totaal mannen en vrouwen;12 jaar of ouder;0;Vernieling en openbare orde;1999;13330;1
27;Totaal mannen en vrouwen;12 jaar of ouder;0;Vernieling en openbare orde;2000;13790;1
28;Totaal mannen en vrouwen;12 jaar of ouder;0;Vernieling en openbare orde;2001;15120;1
29;Totaal mannen en vrouwen;12 jaar of ouder;0;Vernieling en openbare orde;2002;17130;1
30;Totaal mannen en vrouwen;12 jaar of ouder;0;Vernieling en openbare orde;2003;19240;1
31;Totaal mannen en vrouwen;12 jaar of ouder;0;Vernieling en openbare orde;2004;21490;2
32;Totaal mannen en vrouwen;12 jaar of ouder;0;Vernieling en openbare orde;2005;23620;2
33;Totaal mannen en vrouwen;12 jaar of ouder;0;Vernieling en openbare orde;2006;24070;2
34;Totaal mannen en vrouwen;12 jaar of ouder;0;Vernieling en openbare orde;2007;25290;2
35;Totaal mannen en vrouwen;12 jaar of ouder;0;Vernieling en openbare orde;2008;22660;2
36;Totaal mannen en vrouwen;12 jaar of ouder;0;Vernieling en openbare orde;2009;20600;1
