ID;Persoonskenmerken;Marges;CaribischNederland;Perioden;GeenVakantie_1;EenVakantie_2;TweeOfDrieVakanties_3;MeerDanDrieVakanties_4;LidVanEenSportvereniging_5;LidVanEenSportschool_6
0;Totaal persoonskenmerken;Percentages;Caribisch Nederland;2013;39.8;35.6;17.6;7.0;13.9;11.5
1;Totaal persoonskenmerken;Percentages;Caribisch Nederland;2017/2018;42.9;37.6;15.9;3.6;;
2;Totaal persoonskenmerken;Percentages;Bonaire;2013;39.9;36.8;16.7;6.6;15.3;12.8
3;Totaal persoonskenmerken;Percentages;Bonaire;2017/2018;41.9;39.5;14.6;3.9;;
4;Totaal persoonskenmerken;Percentages;Sint-Eustatius;2013;48.6;32.3;13.5;5.7;9.4;
5;Totaal persoonskenmerken;Percentages;Sint-Eustatius;2017/2018;48.4;35.0;13.4;3.2;;
6;Totaal persoonskenmerken;Percentages;Saba;2013;23.4;32.4;32.4;11.8;10.7;22.4
7;Totaal persoonskenmerken;Percentages;Saba;2017/2018;39.2;33.5;24.7;2.6;;
8;Totaal persoonskenmerken;Betrouwbaarheidsmarge;Caribisch Nederland;2013;2.9;2.9;2.3;1.5;2.1;1.9
9;Totaal persoonskenmerken;Betrouwbaarheidsmarge;Caribisch Nederland;2017/2018;2.4;2.4;1.8;0.9;;
10;Totaal persoonskenmerken;Betrouwbaarheidsmarge;Bonaire;2013;3.4;3.4;2.6;1.7;2.5;2.3
11;Totaal persoonskenmerken;Betrouwbaarheidsmarge;Bonaire;2017/2018;3.1;3.0;2.2;1.2;;
12;Totaal persoonskenmerken;Betrouwbaarheidsmarge;Sint-Eustatius;2013;8.6;8.0;5.8;4.0;5.0;
13;Totaal persoonskenmerken;Betrouwbaarheidsmarge;Sint-Eustatius;2017/2018;5.2;5.0;3.6;1.8;;
14;Totaal persoonskenmerken;Betrouwbaarheidsmarge;Saba;2013;6.8;7.5;7.5;5.2;5.0;6.8
15;Totaal persoonskenmerken;Betrouwbaarheidsmarge;Saba;2017/2018;6.0;5.8;5.3;2.0;;
16;Geslacht: mannen;Percentages;Caribisch Nederland;2013;42.3;35.6;16.2;5.9;20.2;11.9
17;Geslacht: mannen;Percentages;Caribisch Nederland;2017/2018;43.8;37.1;16.0;3.2;;
18;Geslacht: mannen;Percentages;Bonaire;2013;44.3;34.9;15.8;5.0;22.8;12.9
19;Geslacht: mannen;Percentages;Bonaire;2017/2018;44.8;37.0;15.0;3.2;;
20;Geslacht: mannen;Percentages;Sint-Eustatius;2013;43.0;36.5;13.9;6.6;12.5;
21;Geslacht: mannen;Percentages;Sint-Eustatius;2017/2018;46.9;37.3;13.6;2.2;;
22;Geslacht: mannen;Percentages;Saba;2013;23.4;40.0;24.1;12.5;13.6;27.5
23;Geslacht: mannen;Percentages;Saba;2017/2018;35.1;36.7;23.4;4.8;;
24;Geslacht: mannen;Betrouwbaarheidsmarge;Caribisch Nederland;2013;4.1;4.0;3.0;1.9;3.3;2.7
