ID;Geslacht;Onderwijssoort;Herkomstgroepering;Studierichting;Perioden;Eerstejaarsstudenten_1
0;Totaal mannen en vrouwen;Hoger onderwijs;0;0;1995/'96;85428
1;Totaal mannen en vrouwen;Hoger onderwijs;0;0;1996/'97;91043
2;Totaal mannen en vrouwen;Hoger onderwijs;0;0;1997/'98;91919
3;Totaal mannen en vrouwen;Hoger onderwijs;0;0;1998/'99;97079
4;Totaal mannen en vrouwen;Hoger onderwijs;0;0;1999/'00;104281
5;Totaal mannen en vrouwen;Hoger onderwijs;0;0;2000/'01;104681
6;Totaal mannen en vrouwen;Hoger onderwijs;0;0;2001/'02;105913
7;Totaal mannen en vrouwen;Hoger onderwijs;0;0;2002/'03;102610
8;Totaal mannen en vrouwen;Hoger onderwijs;0;0;2003/'04;109749
9;Totaal mannen en vrouwen;Hoger onderwijs;0;0;2004/'05;112880
10;Totaal mannen en vrouwen;Hoger onderwijs;0;0;2005/'06;114429
11;Totaal mannen en vrouwen;Hoger onderwijs;0;0;2006/'07;117697
12;Totaal mannen en vrouwen;Hoger onderwijs;0;0;2007/'08;121874
13;Totaal mannen en vrouwen;Hoger onderwijs;0;0;2008/'09;126317
14;Totaal mannen en vrouwen;Hoger onderwijs;0;0;2009/'10;134729
15;Totaal mannen en vrouwen;Hoger onderwijs;0;0;2010/'11;134099
16;Totaal mannen en vrouwen;Hoger onderwijs;0;0;2011/'12;135114
17;Totaal mannen en vrouwen;Hoger onderwijs;0;0;2012/'13;133699
18;Totaal mannen en vrouwen;Hoger onderwijs;0;0;2013/'14;143387
19;Totaal mannen en vrouwen;Hoger onderwijs;0;0;2014/'15;138638
20;Totaal mannen en vrouwen;Hoger onderwijs;0;0;2015/'16;131999
21;Totaal mannen en vrouwen;Hoger onderwijs;0;1;1995/'96;12645
22;Totaal mannen en vrouwen;Hoger onderwijs;0;1;1996/'97;12817
23;Totaal mannen en vrouwen;Hoger onderwijs;0;1;1997/'98;12809
24;Totaal mannen en vrouwen;Hoger onderwijs;0;1;1998/'99;13324
25;Totaal mannen en vrouwen;Hoger onderwijs;0;1;1999/'00;15577
26;Totaal mannen en vrouwen;Hoger onderwijs;0;1;2000/'01;16523
27;Totaal mannen en vrouwen;Hoger onderwijs;0;1;2001/'02;15706
28;Totaal mannen en vrouwen;Hoger onderwijs;0;1;2002/'03;15955
29;Totaal mannen en vrouwen;Hoger onderwijs;0;1;2003/'04;18013
30;Totaal mannen en vrouwen;Hoger onderwijs;0;1;2004/'05;17587
31;Totaal mannen en vrouwen;Hoger onderwijs;0;1;2005/'06;16767
32;Totaal mannen en vrouwen;Hoger onderwijs;0;1;2006/'07;16891
33;Totaal mannen en vrouwen;Hoger onderwijs;0;1;2007/'08;15918
34;Totaal mannen en vrouwen;Hoger onderwijs;0;1;2008/'09;15039
35;Totaal mannen en vrouwen;Hoger onderwijs;0;1;2009/'10;15568
36;Totaal mannen en vrouwen;Hoger onderwijs;0;1;2010/'11;14990
37;Totaal mannen en vrouwen;Hoger onderwijs;0;1;2011/'12;13851
38;Totaal mannen en vrouwen;Hoger onderwijs;0;1;2012/'13;12765
39;Totaal mannen en vrouwen;Hoger onderwijs;0;1;2013/'14;13468
40;Totaal mannen en vrouwen;Hoger onderwijs;0;1;2014/'15;13061
41;Totaal mannen en vrouwen;Hoger onderwijs;0;1;2015/'16;0
42;Totaal mannen en vrouwen;Hoger onderwijs;0;14;1995/'96;12645
43;Totaal mannen en vrouwen;Hoger onderwijs;0;14;1996/'97;12817
44;Totaal mannen en vrouwen;Hoger onderwijs;0;14;1997/'98;12809
45;Totaal mannen en vrouwen;Hoger onderwijs;0;14;1998/'99;13324
46;Totaal mannen en vrouwen;Hoger onderwijs;0;14;1999/'00;15577
47;Totaal mannen en vrouwen;Hoger onderwijs;0;14;2000/'01;16523
48;Totaal mannen en vrouwen;Hoger onderwijs;0;14;2001/'02;15706
49;Totaal mannen en vrouwen;Hoger onderwijs;0;14;2002/'03;15955
50;Totaal mannen en vrouwen;Hoger onderwijs;0;14;2003/'04;18013
51;Totaal mannen en vrouwen;Hoger onderwijs;0;14;2004/'05;17587
52;Totaal mannen en vrouwen;Hoger onderwijs;0;14;2005/'06;16767
53;Totaal mannen en vrouwen;Hoger onderwijs;0;14;2006/'07;16891
54;Totaal mannen en vrouwen;Hoger onderwijs;0;14;2007/'08;15918
55;Totaal mannen en vrouwen;Hoger onderwijs;0;14;2008/'09;15039
56;Totaal mannen en vrouwen;Hoger onderwijs;0;14;2009/'10;15568
57;Totaal mannen en vrouwen;Hoger onderwijs;0;14;2010/'11;14990
58;Totaal mannen en vrouwen;Hoger onderwijs;0;14;2011/'12;13851
59;Totaal mannen en vrouwen;Hoger onderwijs;0;14;2012/'13;12765
60;Totaal mannen en vrouwen;Hoger onderwijs;0;14;2013/'14;13468
61;Totaal mannen en vrouwen;Hoger onderwijs;0;14;2014/'15;13061
62;Totaal mannen en vrouwen;Hoger onderwijs;0;14;2015/'16;0
63;Totaal mannen en vrouwen;Hoger onderwijs;0;140 Lerarenopleidingen algemeen;1995/'96;776
64;Totaal mannen en vrouwen;Hoger onderwijs;0;140 Lerarenopleidingen algemeen;1996/'97;1064
65;Totaal mannen en vrouwen;Hoger onderwijs;0;140 Lerarenopleidingen algemeen;1997/'98;947
66;Totaal mannen en vrouwen;Hoger onderwijs;0;140 Lerarenopleidingen algemeen;1998/'99;902
67;Totaal mannen en vrouwen;Hoger onderwijs;0;140 Lerarenopleidingen algemeen;1999/'00;1268
68;Totaal mannen en vrouwen;Hoger onderwijs;0;140 Lerarenopleidingen algemeen;2000/'01;1492
69;Totaal mannen en vrouwen;Hoger onderwijs;0;140 Lerarenopleidingen algemeen;2001/'02;1835
70;Totaal mannen en vrouwen;Hoger onderwijs;0;140 Lerarenopleidingen algemeen;2002/'03;1455
71;Totaal mannen en vrouwen;Hoger onderwijs;0;140 Lerarenopleidingen algemeen;2003/'04;1535
72;Totaal mannen en vrouwen;Hoger onderwijs;0;140 Lerarenopleidingen algemeen;2004/'05;1355
73;Totaal mannen en vrouwen;Hoger onderwijs;0;140 Lerarenopleidingen algemeen;2005/'06;1255
74;Totaal mannen en vrouwen;Hoger onderwijs;0;140 Lerarenopleidingen algemeen;2006/'07;1027
75;Totaal mannen en vrouwen;Hoger onderwijs;0;140 Lerarenopleidingen algemeen;2007/'08;658
76;Totaal mannen en vrouwen;Hoger onderwijs;0;140 Lerarenopleidingen algemeen;2008/'09;592
77;Totaal mannen en vrouwen;Hoger onderwijs;0;140 Lerarenopleidingen algemeen;2009/'10;570
78;Totaal mannen en vrouwen;Hoger onderwijs;0;140 Lerarenopleidingen algemeen;2010/'11;412
79;Totaal mannen en vrouwen;Hoger onderwijs;0;140 Lerarenopleidingen algemeen;2011/'12;269
80;Totaal mannen en vrouwen;Hoger onderwijs;0;140 Lerarenopleidingen algemeen;2012/'13;190
81;Totaal mannen en vrouwen;Hoger onderwijs;0;140 Lerarenopleidingen algemeen;2013/'14;170
82;Totaal mannen en vrouwen;Hoger onderwijs;0;140 Lerarenopleidingen algemeen;2014/'15;142
