ID;Geslacht;Persoonskenmerken;CaribischNederland;Perioden;WerkzBeroepsbevolkingInternatDef_1;WerkzBeroepsbevolkingNatDef_2
0;Totaal mannen en vrouwen;Totaal persoonskenmerken;Bonaire;2012;8837.0;8559.0
1;Totaal mannen en vrouwen;Totaal persoonskenmerken;Sint-Eustatius;2012;2099.0;1940.0
2;Totaal mannen en vrouwen;Totaal persoonskenmerken;Saba;2012;1045.0;971.0
3;Totaal mannen en vrouwen;14;Bonaire;2012;6344.0;6241.0
4;Totaal mannen en vrouwen;14;Sint-Eustatius;2012;1443.0;1362.0
5;Totaal mannen en vrouwen;14;Saba;2012;717.0;699.0
6;Totaal mannen en vrouwen;15;Bonaire;2012;1401.0;1392.0
7;Totaal mannen en vrouwen;15;Sint-Eustatius;2012;320.0;302.0
8;Totaal mannen en vrouwen;15;Saba;2012;179.0;150.0
9;Totaal mannen en vrouwen;Werkkring: zelfstandige;Bonaire;2012;1092.0;926.0
10;Totaal mannen en vrouwen;Werkkring: zelfstandige;Sint-Eustatius;2012;335.0;276.0
11;Totaal mannen en vrouwen;Werkkring: zelfstandige;Saba;2012;148.0;123.0
12;Totaal mannen en vrouwen;1;Bonaire;2012;325.0;295.0
13;Totaal mannen en vrouwen;1;Sint-Eustatius;2012;89.0;54.0
14;Totaal mannen en vrouwen;1;Saba;2012;38.0;26.0
15;Totaal mannen en vrouwen;2;Bonaire;2012;1483.0;1483.0
16;Totaal mannen en vrouwen;2;Sint-Eustatius;2012;383.0;357.0
17;Totaal mannen en vrouwen;2;Saba;2012;154.0;146.0
18;Totaal mannen en vrouwen;3;Bonaire;2012;2222.0;2181.0
19;Totaal mannen en vrouwen;3;Sint-Eustatius;2012;410.0;381.0
20;Totaal mannen en vrouwen;3;Saba;2012;275.0;260.0
21;Totaal mannen en vrouwen;4;Bonaire;2012;1407.0;1344.0
22;Totaal mannen en vrouwen;4;Sint-Eustatius;2012;343.0;325.0
23;Totaal mannen en vrouwen;4;Saba;2012;164.0;162.0
24;Totaal mannen en vrouwen;5;Bonaire;2012;938.0;914.0
25;Totaal mannen en vrouwen;5;Sint-Eustatius;2012;223.0;215.0
26;Totaal mannen en vrouwen;5;Saba;2012;97.0;92.0
27;Totaal mannen en vrouwen;6;Bonaire;2012;688.0;676.0
28;Totaal mannen en vrouwen;6;Sint-Eustatius;2012;142.0;142.0
29;Totaal mannen en vrouwen;6;Saba;2012;61.0;57.0
30;Totaal mannen en vrouwen;7;Bonaire;2012;347.0;339.0
31;Totaal mannen en vrouwen;7;Sint-Eustatius;2012;84.0;84.0
32;Totaal mannen en vrouwen;7;Saba;2012;46.0;46.0
33;Totaal mannen en vrouwen;8;Bonaire;2012;266.0;266.0
34;Totaal mannen en vrouwen;8;Sint-Eustatius;2012;42.0;42.0
35;Totaal mannen en vrouwen;8;Saba;2012;15.0;15.0
36;Totaal mannen en vrouwen;9;Bonaire;2012;143.0;134.0
37;Totaal mannen en vrouwen;9;Sint-Eustatius;2012;47.0;43.0
38;Totaal mannen en vrouwen;9;Saba;2012;;
39;Totaal mannen en vrouwen;10;Bonaire;2012;102.0;102.0
40;Totaal mannen en vrouwen;10;Sint-Eustatius;2012;53.0;53.0
41;Totaal mannen en vrouwen;10;Saba;2012;;
42;Totaal mannen en vrouwen;11;Bonaire;2012;281.0;249.0
43;Totaal mannen en vrouwen;11;Sint-Eustatius;2012;91.0;91.0
44;Totaal mannen en vrouwen;11;Saba;2012;31.0;22.0
45;Totaal mannen en vrouwen;12;Bonaire;2012;38.0;28.0
46;Totaal mannen en vrouwen;12;Sint-Eustatius;2012;;
47;Totaal mannen en vrouwen;12;Saba;2012;;
48;Totaal mannen en vrouwen;13;Bonaire;2012;596.0;548.0
49;Totaal mannen en vrouwen;13;Sint-Eustatius;2012;178.0;146.0
50;Totaal mannen en vrouwen;13;Saba;2012;145.0;127.0
51;Totaal mannen en vrouwen;Arbeidsduur: 1 tot 12 uur per week;Bonaire;2012;104.0;
52;Totaal mannen en vrouwen;Arbeidsduur: 1 tot 12 uur per week;Sint-Eustatius;2012;123.0;
53;Totaal mannen en vrouwen;Arbeidsduur: 1 tot 12 uur per week;Saba;2012;39.0;
54;Totaal mannen en vrouwen;Arbeidsduur: 12 tot 20 uur per week;Bonaire;2012;189.0;180.0
55;Totaal mannen en vrouwen;Arbeidsduur: 12 tot 20 uur per week;Sint-Eustatius;2012;31.0;27.0
56;Totaal mannen en vrouwen;Arbeidsduur: 12 tot 20 uur per week;Saba;2012;27.0;24.0
57;Totaal mannen en vrouwen;Arbeidsduur: 20 tot 35 uur per week;Bonaire;2012;981.0;918.0
58;Totaal mannen en vrouwen;Arbeidsduur: 20 tot 35 uur per week;Sint-Eustatius;2012;338.0;338.0
59;Totaal mannen en vrouwen;Arbeidsduur: 20 tot 35 uur per week;Saba;2012;150.0;144.0
