ID;OwnerTenant;HouseholdCharacteristics;DwellingCharacteristics;Margins;Periods;SatisfactionWithCurrentDwelling_1;SatisfactionWithLivingEnvironment_2
0;Total;Private households;Total dwellings;Value;2002;89.2;84.3
1;Total;Private households;Total dwellings;Value;2006;89.7;85.0
2;Total;Private households;Total dwellings;Value;2009;90.0;83.4
3;Total;Private households;Total dwellings;Value;2012;89.0;84.1
4;Total;Private households;Total dwellings;Value;2015;86.9;82.0
5;Total;Private households;Total dwellings;Value;2018;84.6;83.3
6;Total;Private households;Total dwellings;Value;2021;85.6;83.8
7;Total;Private households;Total dwellings;Value;2024;82.5;82.6
8;Total;Private households;Total dwellings;Lower bound 95% confidence interval;2002;88.9;84.0
9;Total;Private households;Total dwellings;Lower bound 95% confidence interval;2006;89.4;84.6
10;Total;Private households;Total dwellings;Lower bound 95% confidence interval;2009;89.6;83.0
11;Total;Private households;Total dwellings;Lower bound 95% confidence interval;2012;88.6;83.7
12;Total;Private households;Total dwellings;Lower bound 95% confidence interval;2015;86.6;81.6
13;Total;Private households;Total dwellings;Lower bound 95% confidence interval;2018;84.2;83.0
14;Total;Private households;Total dwellings;Lower bound 95% confidence interval;2021;85.1;83.4
15;Total;Private households;Total dwellings;Lower bound 95% confidence interval;2024;82.0;82.1
16;Total;Private households;Total dwellings;Upper bound 95% confidence interval;2002;89.4;84.6
17;Total;Private households;Total dwellings;Upper bound 95% confidence interval;2006;90.0;85.3
18;Total;Private households;Total dwellings;Upper bound 95% confidence interval;2009;90.2;83.7
19;Total;Private households;Total dwellings;Upper bound 95% confidence interval;2012;89.3;84.4
20;Total;Private households;Total dwellings;Upper bound 95% confidence interval;2015;87.3;82.4
21;Total;Private households;Total dwellings;Upper bound 95% confidence interval;2018;84.9;83.7
22;Total;Private households;Total dwellings;Upper bound 95% confidence interval;2021;86.0;84.2
23;Total;Private households;Total dwellings;Upper bound 95% confidence interval;2024;82.9;83.0
24;Total;Private households;"Type of dwelling: single-family; total";Value;2002;93.2;87.8
25;Total;Private households;"Type of dwelling: single-family; total";Value;2006;93.6;87.8
26;Total;Private households;"Type of dwelling: single-family; total";Value;2009;93.4;86.0
27;Total;Private households;"Type of dwelling: single-family; total";Value;2012;92.6;87.1
28;Total;Private households;"Type of dwelling: single-family; total";Value;2015;90.8;85.0
29;Total;Private households;"Type of dwelling: single-family; total";Value;2018;88.7;86.5
30;Total;Private households;"Type of dwelling: single-family; total";Value;2021;90.3;87.2
31;Total;Private households;"Type of dwelling: single-family; total";Value;2024;87.9;85.8
32;Total;Private households;"Type of dwelling: single-family; total";Lower bound 95% confidence interval;2002;92.9;87.4
33;Total;Private households;"Type of dwelling: single-family; total";Lower bound 95% confidence interval;2006;93.3;87.4
34;Total;Private households;"Type of dwelling: single-family; total";Lower bound 95% confidence interval;2009;93.1;85.6
35;Total;Private households;"Type of dwelling: single-family; total";Lower bound 95% confidence interval;2012;92.2;86.7
36;Total;Private households;"Type of dwelling: single-family; total";Lower bound 95% confidence interval;2015;90.4;84.6
37;Total;Private households;"Type of dwelling: single-family; total";Lower bound 95% confidence interval;2018;88.3;86.1
38;Total;Private households;"Type of dwelling: single-family; total";Lower bound 95% confidence interval;2021;89.9;86.7
39;Total;Private households;"Type of dwelling: single-family; total";Lower bound 95% confidence interval;2024;87.4;85.4
40;Total;Private households;"Type of dwelling: single-family; total";Upper bound 95% confidence interval;2002;93.5;88.1
41;Total;Private households;"Type of dwelling: single-family; total";Upper bound 95% confidence interval;2006;93.9;88.2
42;Total;Private households;"Type of dwelling: single-family; total";Upper bound 95% confidence interval;2009;93.7;86.4
43;Total;Private households;"Type of dwelling: single-family; total";Upper bound 95% confidence interval;2012;92.9;87.5
44;Total;Private households;"Type of dwelling: single-family; total";Upper bound 95% confidence interval;2015;91.2;85.4
45;Total;Private households;"Type of dwelling: single-family; total";Upper bound 95% confidence interval;2018;89.1;86.9
46;Total;Private households;"Type of dwelling: single-family; total";Upper bound 95% confidence interval;2021;90.7;87.6
