ID;RegioS;SamenstellingVanHetHuishouden;AantalHuishoudens_1;GemiddBesteedbInkomenPerHuishouden_2;GemiddGestandaardiseerdInkPerHuish_3
0;Nederland;Totaal particulier huishouden;6753.4;30.1;20.8
1;Nederland;Eenpersoonshuishouden;2153.9;17.9;17.9
2;Nederland;Paar zonder kinderen;1956.6;32.8;23.9
3;Nederland;Paar met kinderen;2003.1;40.3;21.6
4;Nederland;Eenoudergezin;405.9;24.4;16.6
5;Noord-Nederland (LD);Totaal particulier huishouden;701.1;27.5;19.1
6;Noord-Nederland (LD);Eenpersoonshuishouden;216.0;16.5;16.5
7;Noord-Nederland (LD);Paar zonder kinderen;220.5;29.8;21.8
8;Noord-Nederland (LD);Paar met kinderen;208.2;36.4;19.5
9;Noord-Nederland (LD);Eenoudergezin;38.2;23.1;15.8
10;Oost-Nederland (LD);Totaal particulier huishouden;1362.7;30.0;20.3
11;Oost-Nederland (LD);Eenpersoonshuishouden;387.3;17.3;17.3
12;Oost-Nederland (LD);Paar zonder kinderen;402.4;31.7;23.1
13;Oost-Nederland (LD);Paar met kinderen;448.9;38.9;20.7
14;Oost-Nederland (LD);Eenoudergezin;73.7;24.7;16.8
15;West-Nederland (LD);Totaal particulier huishouden;3238.8;30.6;21.5
16;West-Nederland (LD);Eenpersoonshuishouden;1133.2;18.6;18.6
17;West-Nederland (LD);Paar zonder kinderen;879.3;34.6;25.2
18;West-Nederland (LD);Paar met kinderen;894.2;42.2;22.6
19;West-Nederland (LD);Eenoudergezin;216.4;24.3;16.6
20;Zuid-Nederland (LD);Totaal particulier huishouden;1450.7;30.2;20.6
21;Zuid-Nederland (LD);Eenpersoonshuishouden;417.3;17.5;17.5
22;Zuid-Nederland (LD);Paar zonder kinderen;454.5;31.7;23.1
23;Zuid-Nederland (LD);Paar met kinderen;451.8;40.0;21.5
24;Zuid-Nederland (LD);Eenoudergezin;77.6;24.9;17.0
25;Groningen (PV);Totaal particulier huishouden;239.8;26.5;18.8
26;Groningen (PV);Eenpersoonshuishouden;82.1;16.4;16.4
27;Groningen (PV);Paar zonder kinderen;72.6;29.5;21.5
28;Groningen (PV);Paar met kinderen;64.8;36.0;19.3
29;Groningen (PV);Eenoudergezin;13.9;22.4;15.4
30;Friesland (PV);Totaal particulier huishouden;263.0;27.5;19.0
31;Friesland (PV);Eenpersoonshuishouden;79.1;16.4;16.4
32;Friesland (PV);Paar zonder kinderen;82.0;29.5;21.6
33;Friesland (PV);Paar met kinderen;81.3;36.3;19.3
34;Friesland (PV);Eenoudergezin;14.5;23.3;15.9
35;Drenthe (PV);Totaal particulier huishouden;198.3;28.6;19.6
36;Drenthe (PV);Eenpersoonshuishouden;54.8;16.8;16.8
37;Drenthe (PV);Paar zonder kinderen;65.9;30.5;22.3
38;Drenthe (PV);Paar met kinderen;62.0;36.9;19.7
39;Drenthe (PV);Eenoudergezin;9.8;23.7;16.1
40;Overijssel (PV);Totaal particulier huishouden;437.6;29.2;19.7
41;Overijssel (PV);Eenpersoonshuishouden;124.9;16.9;16.9
42;Overijssel (PV);Paar zonder kinderen;130.3;30.5;22.2
43;Overijssel (PV);Paar met kinderen;144.4;37.9;20.1
44;Overijssel (PV);Eenoudergezin;22.0;24.7;16.8
45;Flevoland (PV);Totaal particulier huishouden;141.7;30.0;20.0
46;Flevoland (PV);Eenpersoonshuishouden;36.2;17.5;17.5
47;Flevoland (PV);Paar zonder kinderen;37.3;32.2;23.5
48;Flevoland (PV);Paar met kinderen;51.8;37.8;20.2
49;Flevoland (PV);Eenoudergezin;10.9;23.1;15.7
50;Gelderland (PV);Totaal particulier huishouden;783.4;30.4;20.6
51;Gelderland (PV);Eenpersoonshuishouden;226.3;17.5;17.5
52;Gelderland (PV);Paar zonder kinderen;234.8;32.3;23.5
53;Gelderland (PV);Paar met kinderen;252.7;39.6;21.1
54;Gelderland (PV);Eenoudergezin;40.7;25.2;17.1
55;Utrecht (PV);Totaal particulier huishouden;478.1;32.7;22.6
56;Utrecht (PV);Eenpersoonshuishouden;154.9;19.2;19.2
57;Utrecht (PV);Paar zonder kinderen;133.9;36.4;26.6
58;Utrecht (PV);Paar met kinderen;146.8;43.8;23.4
59;Utrecht (PV);Eenoudergezin;26.3;25.9;17.6
60;Noord-Holland (PV);Totaal particulier huishouden;1142.5;30.3;21.6
61;Noord-Holland (PV);Eenpersoonshuishouden;430.5;18.9;18.9
62;Noord-Holland (PV);Paar zonder kinderen;296.6;35.2;25.7
63;Noord-Holland (PV);Paar met kinderen;294.3;42.6;22.9
64;Noord-Holland (PV);Eenoudergezin;81.2;24.1;16.5
65;Zuid-Holland (PV);Totaal particulier huishouden;1458.2;30.2;21.1
66;Zuid-Holland (PV);Eenpersoonshuishouden;499.6;18.3;18.3
67;Zuid-Holland (PV);Paar zonder kinderen;396.2;34.0;24.8
68;Zuid-Holland (PV);Paar met kinderen;406.4;41.6;22.3
69;Zuid-Holland (PV);Eenoudergezin;100.7;24.0;16.4
70;Zeeland (PV);Totaal particulier huishouden;160.0;29.1;20.1
71;Zeeland (PV);Eenpersoonshuishouden;48.3;17.1;17.1
72;Zeeland (PV);Paar zonder kinderen;52.6;31.1;22.7
73;Zeeland (PV);Paar met kinderen;46.6;39.1;20.9
74;Zeeland (PV);Eenoudergezin;8.2;24.6;16.8
75;Noord-Brabant (PV);Totaal particulier huishouden;975.9;30.9;21.0
76;Noord-Brabant (PV);Eenpersoonshuishouden;276.4;17.8;17.8
77;Noord-Brabant (PV);Paar zonder kinderen;303.7;32.4;23.7
78;Noord-Brabant (PV);Paar met kinderen;311.6;40.8;21.8
79;Noord-Brabant (PV);Eenoudergezin;50.5;25.4;17.3
80;Limburg (PV);Totaal particulier huishouden;474.9;28.6;19.8
81;Limburg (PV);Eenpersoonshuishouden;140.9;16.9;16.9
82;Limburg (PV);Paar zonder kinderen;150.8;30.3;22.1
83;Limburg (PV);Paar met kinderen;140.2;38.3;20.7
84;Limburg (PV);Eenoudergezin;27.1;23.9;16.5
85;Oost-Groningen (CR);Totaal particulier huishouden;64.7;25.8;17.8
86;Oost-Groningen (CR);Eenpersoonshuishouden;18.3;15.2;15.2
87;Oost-Groningen (CR);Paar zonder kinderen;21.6;26.9;19.6
88;Oost-Groningen (CR);Paar met kinderen;19.5;34.4;18.6
89;Oost-Groningen (CR);Eenoudergezin;3.5;22.4;15.3
90;Delfzijl en omgeving (CR);Totaal particulier huishouden;21.5;26.8;18.6
91;Delfzijl en omgeving (CR);Eenpersoonshuishouden;6.3;16.1;16.1
92;Delfzijl en omgeving (CR);Paar zonder kinderen;7.1;28.6;20.9
93;Delfzijl en omgeving (CR);Paar met kinderen;6.2;35.4;19.0
94;Delfzijl en omgeving (CR);Eenoudergezin;1.2;22.0;15.1
95;Overig Groningen (CR);Totaal particulier huishouden;153.5;26.7;19.2
96;Overig Groningen (CR);Eenpersoonshuishouden;57.5;16.8;16.8
97;Overig Groningen (CR);Paar zonder kinderen;43.9;31.0;22.6
98;Overig Groningen (CR);Paar met kinderen;39.1;36.9;19.8
99;Overig Groningen (CR);Eenoudergezin;9.2;22.5;15.4
100;Noord-Friesland (CR);Totaal particulier huishouden;135.5;27.0;18.7
101;Noord-Friesland (CR);Eenpersoonshuishouden;42.3;16.3;16.3
102;Noord-Friesland (CR);Paar zonder kinderen;41.1;29.1;21.2
103;Noord-Friesland (CR);Paar met kinderen;41.3;36.1;19.2
104;Noord-Friesland (CR);Eenoudergezin;7.6;22.9;15.6
105;Zuidwest-Friesland (CR);Totaal particulier huishouden;43.2;28.1;19.3
106;Zuidwest-Friesland (CR);Eenpersoonshuishouden;12.9;16.7;16.7
107;Zuidwest-Friesland (CR);Paar zonder kinderen;13.4;30.0;21.9
108;Zuidwest-Friesland (CR);Paar met kinderen;13.7;36.9;19.6
109;Zuidwest-Friesland (CR);Eenoudergezin;2.3;24.4;16.5
110;Zuidoost-Friesland (CR);Totaal particulier huishouden;84.3;27.9;19.2
111;Zuidoost-Friesland (CR);Eenpersoonshuishouden;24.0;16.3;16.3
112;Zuidoost-Friesland (CR);Paar zonder kinderen;27.4;30.0;21.9
113;Zuidoost-Friesland (CR);Paar met kinderen;26.3;36.4;19.4
