ID;KenmerkenBaanBedrijfsgrootte;CaoSector;Perioden;TotaalBanen_1;Minimumloon_2;k_105Minimumloon_3;k_110Minimumloon_4;k_115Minimumloon_5;k_120Minimumloon_6;k_130Minimumloon_7;TotaalArbeidsvolume_8;Minimumloon_9;k_105Minimumloon_10;k_110Minimumloon_11;k_115Minimumloon_12;k_120Minimumloon_13;k_130Minimumloon_14
0;Totaal;Totaal;2009;7818.7;478.4;639.7;826.7;1021.3;1251.8;1734.8;5923.5;275.3;365.2;474.3;591.0;730.2;1035.1
1;Totaal;Totaal;2010;7859.8;512.6;692.6;891.0;1089.7;1339.4;1808.1;5924.0;302.2;404.0;521.2;640.8;789.4;1088.6
2;Totaal;Totaal;2011;7926.8;506.0;690.2;894.4;1095.0;1347.0;1821.3;5925.7;290.7;395.8;514.6;633.9;782.8;1080.8
3;Totaal;Totaal;2012;7872.1;490.6;685.6;893.5;1088.7;1334.8;1800.7;5866.5;277.3;388.8;507.5;622.1;764.8;1053.1
4;Totaal;Totaal;2013;7745.8;463.9;668.9;867.5;1061.8;1301.6;1764.3;5773.2;273.8;392.7;505.4;617.4;755.6;1039.9
5;Totaal;Totaal;2014;7706.0;490.5;712.2;924.9;1128.1;1361.7;1821.2;5740.5;285.8;415.0;534.2;655.8;790.5;1073.6
6;Totaal;Totaal;2015;7782.5;488.3;709.7;928.8;1133.9;1368.3;1830.4;5794.2;287.1;416.4;538.1;658.0;794.7;1076.7
7;Totaal;Totaal;2016;7892.5;517.0;759.6;985.5;1206.0;1447.1;1949.4;5902.1;305.9;447.2;573.4;704.5;844.5;1144.7
8;Totaal;Totaal;2017;8096.0;507.7;792.6;1069.1;1308.3;1567.4;2110.1;6045.1;298.7;459.1;607.1;750.2;900.2;1229.7
9;Totaal;Totaal;2018;8324.2;515.8;798.6;1099.4;1359.7;1628.3;2204.2;6236.5;301.1;458.9;620.7;775.8;933.2;1283.7
10;Totaal;Totaal;2019;8500.5;490.6;776.7;1085.8;1367.6;1645.9;2233.8;6381.3;283.7;449.1;614.5;780.6;945.3;1305.2
11;Totaal;Totaal;2020;8390.8;438.4;697.9;981.4;1256.6;1529.8;2088.5;6356.3;261.4;411.1;566.2;725.1;888.6;1232.5
12;Totaal;Totaal;2021;8561.0;438.7;693.3;981.5;1249.3;1524.0;2107.6;6506.8;267.4;414.0;569.9;727.7;892.8;1248.0
13;Totaal;Totaal;2022;8867.9;401.0;609.9;872.4;1133.0;1396.2;1997.5;6722.5;247.9;369.6;513.6;667.7;825.7;1187.9
14;Totaal;Totaal;2023;8979.3;473.8;753.8;1064.2;1373.3;1709.7;2339.4;6825.7;290.7;460.8;642.9;831.3;1036.0;1439.5
15;Totaal;Particuliere bedrijven;2009;5475.1;375.0;509.9;665.8;825.9;1011.5;1394.6;4131.3;201.7;273.9;361.5;454.5;561.3;797.1
16;Totaal;Particuliere bedrijven;2010;5427.9;384.5;532.4;695.8;859.3;1063.1;1438.4;4091.0;218.0;299.1;393.7;489.4;605.8;841.2
17;Totaal;Particuliere bedrijven;2011;5467.4;379.4;531.8;699.3;865.4;1070.1;1454.3;4089.4;208.6;292.9;388.2;484.8;600.9;839.0
18;Totaal;Particuliere bedrijven;2012;5425.6;369.3;526.0;691.0;854.2;1054.9;1437.1;4044.0;199.4;285.7;379.7;474.1;586.1;819.9
