ID;TypeHuishouden;LeeftijdJongstePartner;Herkomst;Generatie;OoitOfNooitGescheiden;Perioden;AantalParen_1;OpgebouwdeJaarlijkseAanspraken_2;TeBereikenJaarlijkseAanspraken_3;Vervangingspercentage_4;OpgebouwdeJaarlijkseAanspraken_5;TeBereikenJaarlijkseAanspraken_6;Vervangingspercentage_7;Vermogen_8;OpgebouwdeJaarlijkseAanspraken_9;TeBereikenJaarlijkseAanspraken_10;Vervangingspercentage_11
0;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Totaal alle generaties;Totaal ooit of nooit gescheiden;2005;3360200;8800.0;15800.0;30.0;8200.0;20100.0;38.0;62.0;17000.0;35900.0;68.0
1;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Totaal alle generaties;Totaal ooit of nooit gescheiden;2006;3334150;9000.0;16000.0;28.0;8400.0;22500.0;39.0;63.0;17400.0;38500.0;67.0
2;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Totaal alle generaties;Totaal ooit of nooit gescheiden;2007;3329400;9400.0;16500.0;27.0;9700.0;24900.0;41.0;63.0;19100.0;41400.0;68.0
3;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Totaal alle generaties;Totaal ooit of nooit gescheiden;2008;3314300;9700.0;17000.0;27.0;9800.0;25800.0;41.0;62.0;19500.0;42800.0;68.0
4;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Totaal alle generaties;Totaal ooit of nooit gescheiden;2009;3499350;10100.0;17400.0;28.0;9100.0;22600.0;37.0;55.0;19200.0;40000.0;65.0
5;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Totaal alle generaties;Totaal ooit of nooit gescheiden;2010;3486100;10200.0;17500.0;28.0;8700.0;22000.0;35.0;54.0;18900.0;39500.0;63.0
6;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Totaal alle generaties;Totaal ooit of nooit gescheiden;2011;3424600;10400.0;17800.0;28.0;8400.0;21900.0;34.0;52.0;18800.0;39700.0;62.0
7;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Totaal alle generaties;Totaal ooit of nooit gescheiden;2012;3398050;10500.0;18000.0;27.0;7700.0;20800.0;32.0;50.0;18200.0;38800.0;59.0
8;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Totaal alle generaties;Nooit gescheiden;2005;2855050;8800.0;15900.0;30.0;8100.0;20300.0;38.0;64.0;16900.0;36200.0;68.0
9;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Totaal alle generaties;Nooit gescheiden;2006;2824300;8900.0;16000.0;28.0;8300.0;22700.0;40.0;64.0;17200.0;38700.0;68.0
10;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Totaal alle generaties;Nooit gescheiden;2007;2814450;9300.0;16600.0;28.0;9500.0;25200.0;42.0;65.0;18800.0;41800.0;70.0
