ID;Achtergrondkenmerken;Perioden;TotaalVakantiejaar_1;Herfstperiode_2;Kerstperiode_3;Krokusperiode_4;Paasperiode_5;Voorseizoen_6;Hoogseizoen_7;Naseizoen_8
0;Totaal achtergrondkenmerken;2000;238.6;16.9;8.2;15.6;9.9;41.3;121.8;24.9
1;Totaal achtergrondkenmerken;2001;245.5;18.5;9.9;15.3;9.5;44.6;121.6;26.0
2;Totaal achtergrondkenmerken;2002;268.0;22.3;13.1;21.2;12.3;59.3;111.2;28.5
3;Totaal achtergrondkenmerken;2003;257.9;22.8;15.6;20.4;10.8;54.7;107.2;26.5
4;Totaal achtergrondkenmerken;2004;269.6;22.5;14.8;21.5;12.3;55.2;108.3;35.0
5;Totaal achtergrondkenmerken;2005;263.7;22.7;13.0;19.6;11.1;55.8;101.6;39.7
6;Totaal achtergrondkenmerken;2006;260.9;21.4;15.5;18.4;13.5;57.2;111.9;22.9
7;Totaal achtergrondkenmerken;2007;264.5;24.5;15.5;19.1;14.3;55.2;111.8;24.1
8;Totaal achtergrondkenmerken;2008;277.0;24.5;16.6;18.9;14.9;61.0;108.4;24.3
9;Totaal achtergrondkenmerken;2009;271.3;24.8;16.5;19.6;22.1;54.0;113.2;21.2
10;Totaal achtergrondkenmerken;2010;273.6;24.2;16.6;20.0;20.1;58.8;117.7;16.2
11;Totaal achtergrondkenmerken;2011;270.9;23.8;14.7;20.6;17.9;62.1;114.2;17.5
12;Totaal achtergrondkenmerken;2012;271.7;23.7;14.8;20.8;16.0;59.9;116.5;20.0
13;Totaal achtergrondkenmerken;2013;270.5;25.9;16.1;19.5;11.5;58.1;113.7;25.7
14;Totaal achtergrondkenmerken;2014;259.9;25.3;16.2;18.2;12.0;56.6;107.9;23.8
15;Totaal achtergrondkenmerken;2015;264.2;25.1;15.0;18.9;11.0;60.9;108.1;25.0
16;Totaal achtergrondkenmerken;2016;266.8;23.7;15.4;20.4;15.0;57.2;110.9;24.2
17;0 tot 6 jarigen;2000;17.1;0.5;0.5;0.8;0.5;2.4;10.3;2.1
18;0 tot 6 jarigen;2001;18.1;0.9;0.4;1.1;0.3;2.5;11.6;1.1
19;0 tot 6 jarigen;2002;;;;;;;;
20;0 tot 6 jarigen;2003;;;;;;;;
21;0 tot 6 jarigen;2004;;;;;;;;
22;0 tot 6 jarigen;2005;;;;;;;;
23;0 tot 6 jarigen;2006;;;;;;;;
24;0 tot 6 jarigen;2007;;;;;;;;
25;0 tot 6 jarigen;2008;;;;;;;;
26;0 tot 6 jarigen;2009;;;;;;;;
27;0 tot 6 jarigen;2010;;;;;;;;
28;0 tot 6 jarigen;2011;;;;;;;;
29;0 tot 6 jarigen;2012;;;;;;;;
30;0 tot 6 jarigen;2013;;;;;;;;
31;0 tot 6 jarigen;2014;;;;;;;;
32;0 tot 6 jarigen;2015;;;;;;;;
33;0 tot 6 jarigen;2016;;;;;;;;
34;6 tot 15 jarigen;2000;27.0;0.8;0.4;1.3;0.6;1.8;21.2;0.8
35;6 tot 15 jarigen;2001;29.6;1.3;0.7;1.5;0.4;2.6;22.2;1.2
36;6 tot 15 jarigen;2002;;;;;;;;
37;6 tot 15 jarigen;2003;;;;;;;;
38;6 tot 15 jarigen;2004;;;;;;;;
39;6 tot 15 jarigen;2005;;;;;;;;
40;6 tot 15 jarigen;2006;;;;;;;;
41;6 tot 15 jarigen;2007;;;;;;;;
42;6 tot 15 jarigen;2008;;;;;;;;
43;6 tot 15 jarigen;2009;;;;;;;;
44;6 tot 15 jarigen;2010;;;;;;;;
45;6 tot 15 jarigen;2011;;;;;;;;
46;6 tot 15 jarigen;2012;;;;;;;;
47;6 tot 15 jarigen;2013;;;;;;;;
48;6 tot 15 jarigen;2014;;;;;;;;
49;6 tot 15 jarigen;2015;;;;;;;;
50;6 tot 15 jarigen;2016;;;;;;;;
51;15 tot 19 jarigen;2000;9.8;0.1;0.4;0.4;0.1;0.9;7.7;0.2
52;15 tot 19 jarigen;2001;9.5;0.3;0.2;0.2;0.1;1.1;7.2;0.3
53;15 tot 19 jarigen;2002;;;;;;;;
54;15 tot 19 jarigen;2003;;;;;;;;
55;15 tot 19 jarigen;2004;;;;;;;;
56;15 tot 19 jarigen;2005;;;;;;;;
57;15 tot 19 jarigen;2006;;;;;;;;
58;15 tot 19 jarigen;2007;;;;;;;;
59;15 tot 19 jarigen;2008;;;;;;;;
60;15 tot 19 jarigen;2009;;;;;;;;
61;15 tot 19 jarigen;2010;;;;;;;;
62;15 tot 19 jarigen;2011;;;;;;;;
63;15 tot 19 jarigen;2012;;;;;;;;
64;15 tot 19 jarigen;2013;;;;;;;;
65;15 tot 19 jarigen;2014;;;;;;;;
66;15 tot 19 jarigen;2015;;;;;;;;
67;15 tot 19 jarigen;2016;;;;;;;;
68;19 tot 25 jarigen;2000;13.6;0.9;0.6;1.3;0.5;1.2;7.8;1.3
69;19 tot 25 jarigen;2001;11.5;0.8;1.1;0.8;0.5;1.2;5.9;1.2
