ID;Landen;Perioden;Asielverzoeken_1
0;EU-27;1990;406
1;EU-27;1991;515
2;EU-27;1992;679
3;EU-27;1993;520
4;EU-27;1994;312
5;EU-27;1995;278
6;EU-27;1996;241
7;EU-27;1997;261
8;EU-27;1998;330
9;EU-27;1999;425
10;EU-27;2000;427
11;EU-27;2001;444
12;EU-27;2002;430
13;EU-27;2003;349
14;EU-27;2004;282
15;EU-27;2005;241
16;EU-27;2006;201
17;EU-27;2007;224
18;EU-27;2008;239
19;EU-27;2009;246
20;EU-15;1990;400
21;EU-15;1991;510
22;EU-15;1992;675
23;EU-15;1993;516
24;EU-15;1994;310
25;EU-15;1995;275
26;EU-15;1996;233
27;EU-15;1997;252
28;EU-15;1998;311
29;EU-15;1999;397
30;EU-15;2000;391
31;EU-15;2001;395
32;EU-15;2002;393
33;EU-15;2003;309
34;EU-15;2004;241
35;EU-15;2005;213
36;EU-15;2006;181
37;EU-15;2007;198
38;EU-15;2008;217
39;EU-15;2009;221
40;12 lidstaten (na 1 mei 2004);1990;5
41;12 lidstaten (na 1 mei 2004);1991;6
42;12 lidstaten (na 1 mei 2004);1992;3
43;12 lidstaten (na 1 mei 2004);1993;4
44;12 lidstaten (na 1 mei 2004);1994;2
45;12 lidstaten (na 1 mei 2004);1995;4
46;12 lidstaten (na 1 mei 2004);1996;7
47;12 lidstaten (na 1 mei 2004);1997;9
48;12 lidstaten (na 1 mei 2004);1998;18
49;12 lidstaten (na 1 mei 2004);1999;28
50;12 lidstaten (na 1 mei 2004);2000;36
51;12 lidstaten (na 1 mei 2004);2001;49
52;12 lidstaten (na 1 mei 2004);2002;36
53;12 lidstaten (na 1 mei 2004);2003;40
54;12 lidstaten (na 1 mei 2004);2004;41
55;12 lidstaten (na 1 mei 2004);2005;28
56;12 lidstaten (na 1 mei 2004);2006;20
57;12 lidstaten (na 1 mei 2004);2007;26
58;12 lidstaten (na 1 mei 2004);2008;22
59;12 lidstaten (na 1 mei 2004);2009;25
60;België;1990;13
61;België;1991;15
62;België;1992;18
63;België;1993;27
64;België;1994;14
65;België;1995;11
66;België;1996;12
67;België;1997;12
68;België;1998;22
69;België;1999;36
70;België;2000;43
71;België;2001;25
72;België;2002;19
73;België;2003;17
74;België;2004;15
75;België;2005;16
76;België;2006;12
77;België;2007;11
78;België;2008;12
79;België;2009;17
80;Bulgarije;1990;0
81;Bulgarije;1991;0
82;Bulgarije;1992;0
83;Bulgarije;1993;0
84;Bulgarije;1994;0
85;Bulgarije;1995;1
86;Bulgarije;1996;0
87;Bulgarije;1997;0
88;Bulgarije;1998;1
89;Bulgarije;1999;1
90;Bulgarije;2000;2
91;Bulgarije;2001;2
92;Bulgarije;2002;3
93;Bulgarije;2003;2
94;Bulgarije;2004;1
95;Bulgarije;2005;1
96;Bulgarije;2006;1
97;Bulgarije;2007;1
98;Bulgarije;2008;1
99;Bulgarije;2009;1
100;Cyprus;1990;0
101;Cyprus;1991;0
102;Cyprus;1992;0
103;Cyprus;1993;0
104;Cyprus;1994;0
105;Cyprus;1995;0
106;Cyprus;1996;0
107;Cyprus;1997;0
108;Cyprus;1998;0
109;Cyprus;1999;1
110;Cyprus;2000;1
111;Cyprus;2001;2
112;Cyprus;2002;1
113;Cyprus;2003;4
114;Cyprus;2004;10
115;Cyprus;2005;8
116;Cyprus;2006;5
117;Cyprus;2007;7
118;Cyprus;2008;4
119;Cyprus;2009;3
120;Denemarken;1990;5
121;Denemarken;1991;5
122;Denemarken;1992;14
123;Denemarken;1993;14
124;Denemarken;1994;7
125;Denemarken;1995;5
126;Denemarken;1996;6
127;Denemarken;1997;5
128;Denemarken;1998;9
129;Denemarken;1999;12
130;Denemarken;2000;12
131;Denemarken;2001;13
132;Denemarken;2002;6
133;Denemarken;2003;5
134;Denemarken;2004;3
135;Denemarken;2005;2
136;Denemarken;2006;2
137;Denemarken;2007;2
138;Denemarken;2008;2
139;Denemarken;2009;4
140;Duitsland;1990;193
141;Duitsland;1991;256
142;Duitsland;1992;438
143;Duitsland;1993;323
144;Duitsland;1994;127
145;Duitsland;1995;128
146;Duitsland;1996;116
147;Duitsland;1997;104
148;Duitsland;1998;99
149;Duitsland;1999;95
150;Duitsland;2000;79
151;Duitsland;2001;88
152;Duitsland;2002;71
153;Duitsland;2003;51
154;Duitsland;2004;36
155;Duitsland;2005;29
156;Duitsland;2006;21
157;Duitsland;2007;19
158;Duitsland;2008;22
159;Duitsland;2009;28
160;Estland;1990;0
161;Estland;1991;0
162;Estland;1992;0
163;Estland;1993;0
