ID;Geslacht;KenmerkenVanPersonenEnHuishoudens;Vermogensbestanddelen;Perioden;AantalOverledenen_1;TotaalNagelatenVermogen_2;GemiddeldNagelatenVermogen_3;MediaanNagelatenVermogen_4
0;Totaal mannen en vrouwen;Totaal personen;Vermogen;2007;129.3;13303.5;102.9;17.2
1;Totaal mannen en vrouwen;Totaal personen;Vermogen;2008;133.5;14591.7;109.3;19.4
2;Totaal mannen en vrouwen;Totaal personen;Vermogen;2009;133.3;14271.8;107.1;20.5
3;Totaal mannen en vrouwen;Totaal personen;Vermogen;2010;135.2;16429.9;121.5;24.4
4;Totaal mannen en vrouwen;Totaal personen;Vermogen;2011;135.0;15838.9;117.3;25.1
5;Totaal mannen en vrouwen;Totaal personen;Vermogen;2012;140.0;15706.2;112.2;24.7
6;Totaal mannen en vrouwen;Totaal personen;Vermogen;2013;140.5;15222.8;108.4;23.7
7;Totaal mannen en vrouwen;Totaal personen;Vermogen;2014;138.4;14715.5;106.3;22.6
8;Totaal mannen en vrouwen;Totaal personen;Vermogen;2015;146.4;15788.0;107.8;23.5
9;Totaal mannen en vrouwen;Totaal personen;Vermogen;2016;148.2;17416.8;117.5;22.8
10;Totaal mannen en vrouwen;Totaal personen;Vermogen;2017;149.5;17550.3;117.4;23.7
11;Totaal mannen en vrouwen;Totaal personen;Vermogen;2018;152.6;18679.7;122.4;24.7
12;Totaal mannen en vrouwen;Totaal personen;Vermogen;2019;151.1;19564.7;129.5;27.2
13;Totaal mannen en vrouwen;Totaal personen;Vermogen;2020;167.9;23802.2;141.8;29.3
14;Totaal mannen en vrouwen;Totaal personen;Vermogen;2021;170.2;25018.2;147.0;33.1
15;Totaal mannen en vrouwen;Totaal personen;Vermogen;2022;169.3;27999.4;165.4;39.3
16;Totaal mannen en vrouwen;Totaal personen;1 Bezittingen;2007;129.3;16117.0;124.6;19.7
17;Totaal mannen en vrouwen;Totaal personen;1 Bezittingen;2008;133.5;17104.1;128.1;21.7
18;Totaal mannen en vrouwen;Totaal personen;1 Bezittingen;2009;133.3;17027.2;127.8;23.0
19;Totaal mannen en vrouwen;Totaal personen;1 Bezittingen;2010;135.2;19616.6;145.0;29.4
20;Totaal mannen en vrouwen;Totaal personen;1 Bezittingen;2011;135.0;18538.2;137.3;28.6
21;Totaal mannen en vrouwen;Totaal personen;1 Bezittingen;2012;140.0;18590.0;132.8;29.4
22;Totaal mannen en vrouwen;Totaal personen;1 Bezittingen;2013;140.5;18150.2;129.2;30.1
23;Totaal mannen en vrouwen;Totaal personen;1 Bezittingen;2014;138.4;17885.9;129.2;29.0
24;Totaal mannen en vrouwen;Totaal personen;1 Bezittingen;2015;146.4;19038.2;130.0;29.8
25;Totaal mannen en vrouwen;Totaal personen;1 Bezittingen;2016;148.2;21006.9;141.7;28.2
26;Totaal mannen en vrouwen;Totaal personen;1 Bezittingen;2017;149.5;21246.5;142.1;30.0
27;Totaal mannen en vrouwen;Totaal personen;1 Bezittingen;2018;152.6;22439.5;147.1;30.3
28;Totaal mannen en vrouwen;Totaal personen;1 Bezittingen;2019;151.1;23479.4;155.4;32.7
29;Totaal mannen en vrouwen;Totaal personen;1 Bezittingen;2020;167.9;28657.8;170.7;33.9
30;Totaal mannen en vrouwen;Totaal personen;1 Bezittingen;2021;170.2;29936.2;175.9;38.1
31;Totaal mannen en vrouwen;Totaal personen;1 Bezittingen;2022;169.3;33446.8;197.5;44.2
32;Totaal mannen en vrouwen;Totaal personen;1.1 Financiële bezittingen;2007;112.8;6053.2;53.6;11.7
