ID;Periods;TotalSocialProtectionExpenditure_1;SicknessHealthCare_2;Disability_3;OldAge_4;Survivors_5;FamilyChildren_6;Unemployment_7;Housing_8;SocialExclusionNotElsewhereClassif_9;BenefitsInCash_10;BenefitsInKind_11;MeansTested_12;NonMeansTested_13
0;1995;86685;25387;10233;29492;5083;4314;6009;1188;4979;63874;22811;7468;79217
1;1996;87419;24080;10247;30299;5161;4052;7324;1244;5012;65042;22377;7568;79851
2;1997;90199;24818;10702;32014;5186;4413;6782;1366;4918;65970;24229;9764;80435
3;1998;93584;26224;11147;34391;4965;4541;5959;1507;4850;67655;25929;10393;83191
4;1999;97160;28364;11478;35622;5134;4733;5452;1569;4808;69613;27547;10043;87117
5;2000;102240;29841;11997;38014;5465;5288;5286;1545;4804;72034;30206;10486;91754
6;2001;109829;33106;12640;40623;5834;5525;5563;1566;4972;76712;33117;10634;99195
7;2002;117770;37880;13106;43272;6172;6070;4539;1768;4963;80553;37217;11315;106455
8;2003;124190;39679;13566;45765;6455;6496;5721;1644;4864;84599;39591;11284;112906
9;2004;127932;39856;13321;48493;6679;6595;6412;1685;4891;87284;40648;12315;115617
10;2005;132274;41125;12581;51156;6936;6965;6456;1712;5343;90509;41765;12599;119675
11;2006;145126;49199;11976;53075;7105;8386;5520;2048;7817;93003;52123;15293;129833
12;2007;151386;52807;13636;56607;7415;5833;4766;2164;8158;96253;55133;18589;132797
13;2008;159727;56594;14104;58583;7491;7467;4269;2164;9055;100921;58806;20053;139674
14;2009;169771;61422;14205;61003;7362;7937;5505;2151;10186;106207;63564;22059;147712
15;2010;177354;64918;14388;63620;7486;7853;6778;2241;10070;111453;65901;23093;154261
16;2011;183541;66423;14453;66929;7823;7787;6873;2319;10934;116531;67010;24216;159325
17;2012;188173;67610;14366;70105;7939;7154;7374;2326;11299;119317;68856;24687;163486
18;2013;192142;67415;14354;72051;7948;6736;8860;2465;12313;123067;69075;25842;166300
19;2014;193596;67857;14308;73490;7732;6537;9471;2834;11367;123953;69643;25320;168276
20;2015;193895;64254;17923;74067;7642;7613;8889;3104;10403;124038;69857;28377;165518
21;2016;198479;65829;18198;76062;7651;8158;8236;3345;11000;126680;71799;29549;168930
22;2017;203407;68457;18662;77801;7738;8495;7608;3439;11207;129480;73927;30072;173335
23;2018;209726;72064;19368;80065;7676;8869;6634;3508;11542;131697;78029;31277;178449
24;2019;219000;76185;20320;83438;7753;9959;6013;3555;11777;135667;83333;32814;186186
25;2020;233638;81944;21285;87643;7823;10551;8430;3814;12148;144762;88876;35370;198268
26;2021;242665;87283;21196;92016;7889;11143;6503;4004;12631;148336;94329;36370;206295
27;2022;251948;92440;21767;96223;8277;11868;4613;3951;12809;154020;97928;37158;214790
28;2023;275656;99556;26876;101529;8085;13753;5539;4201;16117;170387;105269;43536;232120
