ID;InstitutionalSectors;TransactionsAndBalancingItems;Periods;GovernmentProductionAndConsumption_1
0;General government;P1 Output;1995;64961
1;General government;P1 Output;1996;66299
2;General government;P1 Output;1997;68893
3;General government;P1 Output;1998;71970
4;General government;P1 Output;1999;75165
5;General government;P1 Output;2000;81092
6;General government;P1 Output;2001;88141
7;General government;P1 Output;2002;93859
8;General government;P1 Output;2003;99621
9;General government;P1 Output;2004;101771
10;General government;P1 Output;2005;105176
11;General government;P1 Output;2006;109699
12;General government;P1 Output;2007;115534
13;General government;P1 Output;2008;122917
14;General government;P1 Output;2009;126703
15;General government;P1 Output;2010;130280
16;General government;P1 Output;2011;130399
17;General government;P1 Output;2012;131940
18;General government;P1 Output;2013;132542
19;General government;P1 Output;2014;132749
20;General government;P1 Output;2015;130847
21;General government;P1 Output;2016;130293
22;General government;P1 Output;2017;133124
23;General government;P1 Output;2018;138548
24;General government;P1 Output;2019;144561
25;General government;P1 Output;2020;150107
26;General government;P1 Output;2021;161662
27;General government;P1 Output;2022;179345
28;General government;P1 Output;2023;187522
29;General government;P11 Market output;1995;6594
30;General government;P11 Market output;1996;7059
31;General government;P11 Market output;1997;7512
32;General government;P11 Market output;1998;7349
33;General government;P11 Market output;1999;7265
34;General government;P11 Market output;2000;8455
35;General government;P11 Market output;2001;9436
36;General government;P11 Market output;2002;9099
37;General government;P11 Market output;2003;9656
38;General government;P11 Market output;2004;10337
39;General government;P11 Market output;2005;11098
40;General government;P11 Market output;2006;12627
41;General government;P11 Market output;2007;12676
42;General government;P11 Market output;2008;15566
43;General government;P11 Market output;2009;13261
44;General government;P11 Market output;2010;13687
45;General government;P11 Market output;2011;14250
46;General government;P11 Market output;2012;15686
47;General government;P11 Market output;2013;15906
48;General government;P11 Market output;2014;13911
49;General government;P11 Market output;2015;11563
50;General government;P11 Market output;2016;10123
51;General government;P11 Market output;2017;10013
52;General government;P11 Market output;2018;9790
53;General government;P11 Market output;2019;9278
54;General government;P11 Market output;2020;7652
55;General government;P11 Market output;2021;9769
56;General government;P11 Market output;2022;15416
57;General government;P11 Market output;2023;9077
58;General government;P12A Own-account capital formation;1995;2356
59;General government;P12A Own-account capital formation;1996;2348
60;General government;P12A Own-account capital formation;1997;2419
61;General government;P12A Own-account capital formation;1998;2698
62;General government;P12A Own-account capital formation;1999;2945
63;General government;P12A Own-account capital formation;2000;3170
64;General government;P12A Own-account capital formation;2001;3577
65;General government;P12A Own-account capital formation;2002;3887
