ID;Perioden;TotaalDoodgeborenen24_1;Per1000Geborenen_2;Jongens_3;Meisjes_4;MoederGehuwd_5;MoederNietGehuwd_6;k_1eKind_7;k_2eKind_8;k_3eKind_9;k_4eOfVolgendeKinderen_10;EnkelvoudigeGeboorte_11;MeervoudigeGeboorte_12;JongerDan20Jaar_13;k_20Tot25Jaar_14;k_25Tot30Jaar_15;k_30Tot35Jaar_16;k_35Tot40Jaar_17;k_40Tot45Jaar_18;k_45JaarOfOuder_19;TotaalDoodgeborenen28_20;Per1000Geborenen_21;Jongens_22;Meisjes_23;MoederGehuwd_24;MoederNietGehuwd_25;k_1eKind_26;k_2eKind_27;k_3eKind_28;k_4eOfVolgendeKinderen_29;EnkelvoudigeGeboorten_30;MeervoudigeGeboorten_31;JongerDan20Jaar_32;k_20Tot25Jaar_33;k_25Tot30Jaar_34;k_30Tot35Jaar_35;k_35Tot40Jaar_36;k_40Tot45Jaar_37;k_45JaarOfOuder_38;TotaalSterfteKinderenVan0Tot5Jaar_39;Per1000KinderenVan0Tot5Jaar_40;Jongens_41;Meisjes_42;k_0Dagen_43;k_1Dag_44;k_2Dagen_45;k_3Dagen_46;k_4Dagen_47;k_5Dagen_48;k_6Dagen_49;k_7Tot10Dagen_50;k_10Tot14Dagen_51;k_14Tot17Dagen_52;k_17Tot21Dagen_53;k_21Tot28Dagen_54;k_0Dagen_55;k_1Dag_56;k_2Dagen_57;k_3Dagen_58;k_4Dagen_59;k_5Dagen_60;k_6Dagen_61;k_7Tot10Dagen_62;k_10Tot14Dagen_63;k_14Tot17Dagen_64;k_17Tot21Dagen_65;k_21Tot28Dagen_66;k_28DagenTot2Maanden_67;k_2Maanden_68;k_3Maanden_69;k_4Maanden_70;k_5Maanden_71;k_6Maanden_72;k_7Maanden_73;k_8Maanden_74;k_9Maanden_75;k_10Maanden_76;k_11Maanden_77;k_12Maanden_78;k_13Maanden_79;k_14Maanden_80;k_15Maanden_81;k_16Maanden_82;k_17Maanden_83;k_18Maanden_84;k_19Maanden_85;k_20Maanden_86;k_21Maanden_87;k_22Maanden_88;k_23Maanden_89;k_2Jaar_90;k_3Jaar_91;k_4Jaar_92;PerinataleSterfte24_93;Per1000Geborenen_94;Jongens_95;Meisjes_96;Doodgeboren24_97;k_0DagenOud_98;k_1DagOud_99;k_2DagenOud_100;k_3DagenOud_101;k_4DagenOud_102;k_5DagenOud_103;k_6DagenOud_104;PerinataleSterfte28_105;Per1000Geborenen_106;Jongens_107;Meisjes_108;Doodgeboren28_109;k_0DagenOud_110;k_1DagOud_111;k_2DagenOud_112;k_3DagenOud_113;k_4DagenOud_114;k_5DagenOud_115;k_6DagenOud_116;TotaalSterfte4WekenNaDeGeboorte_117;Per1000Levendgeborenen_118;Jongens_119;Meisjes_120;MoederGehuwd_121;MoederNietGehuwd_122;k_1eKind_123;k_2eKind_124;k_3eKind_125;k_4eOfVolgendeKinderen_126;EnkelvoudigeGeboorte_127;MeervoudigeGeboorte_128;TotaalSterfte1JaarNaDeGeboorte_129;Per1000Levendgeborenen_130;Jongens_131;Meisjes_132;MoederGehuwd_133;MoederNietGehuwd_134;k_1eKind_135;k_2eKind_136;k_3eKind_137;k_4eOfVolgendeKinderen_138;EnkelvoudigeGeboorte_139;MeervoudigeGeboorte_140;JongerDan20Jaar_141;k_20Tot25Jaar_142;k_25Tot30Jaar_143;k_30Tot35Jaar_144;k_35Tot40Jaar_145;k_40Tot45Jaar_146;k_45JaarOfOuder_147;TotaalSterfteKinderenVan1Tot5Jaar_148;Per10000KinderenVan1Tot5Jaar_149;Jongens_150;Meisjes_151;TotaalDoodgeborenen24_152;TotaalAandoeningenPerinatalePeriode_153;AfwijkingenDoorAandoeningenMoeder_154;AfwDoorZwangerschEnBaringscomplic_155;WaaronderComplicatiesPlacenta_156;AfwDoorZwSchapsduurEnFoetale_157;AandoeningenVanAdemhalingsstelsel_158;OverigeAandoeningen_159;TotaalAangeborenAfwijkingen_160;AangeborenAfwijkingenZenuwstelsel_161;AangeborenAfwijkingenHartBloedvaten_162;OverigeAangeborenAfwijkingen_163;OverigeDoodsoorzaken_164;TotaalDoodgeborenen28_165;TotaalAandoeningenPerinatalePeriode_166;AfwijkingenDoorAandoeningenMoeder_167;AfwDoorZwangerschEnBaringscomplic_168;WaaronderComplicatiesPlacenta_169;AfwDoorZwSchapsduurEnFoetale_170;AandoeningenVanAdemhalingsstelsel_171;OverigeAandoeningen_172;TotaalAangeborenAfwijkingen_173;AangeborenAfwijkingenZenuwstelsel_174;AangeborenAfwijkingenHartBloedvaten_175;OverigeAangeborenAfwijkingen_176;OverigeDoodsoorzaken_177;Kindersterfte0Jarigen_178;AangeborenAfwijkingen_179;AandoeningenInPerinatalePeriode_180;Meningokokkeninfectie_181;Wiegendood_182;Ongeval_183;OverigeDoodsoorzaken_184;Kindersterfte1Tot5Jarigen_185;AangeborenAfwijkingen_186;Meningokokkeninfectie_187;TotaalOngevallen_188;WaaronderAccidenteleVerdrinking_189;WaaronderOverigeOngevallen_190;OverigeDoodsoorzaken_191
0;1996;1221;6.4;632;589;886;335;803;265;94;59;1093;128;16;143;369;425;237;27;4;947;5.0;493;454;691;256;599;223;79;46;859;88;14;106;288;326;189;21;3;1333;1.4;751;582;365;86;64;55;27;34;24;39;40;16;20;31;365;86;64;55;27;34;24;39;40;16;20;31;63;36;33;38;19;17;24;26;13;5;12;10;10;7;7;12;5;10;3;10;8;7;10;63;43;41;1876;9.8;990;886;1221;365;86;64;55;27;34;24;1602;8.4;851;751;947;365;86;64;55;27;34;24;801;4.2;452;349;631;170;438;222;87;54;632;169;1087;5.7;615;472;864;223;545;327;126;89;896;191;20;101;312;430;188;31;5;246;3.1;136;110;1221;1083;129;459;387;419;39;37;137;35;7;95;1;947;838;85;342;308;346;39;26;108;31;5;72;1;1087;369;518;11;50;8;131;246;34;18;45;21;24;149
1;1997;1279;6.6;689;590;864;415;853;238;119;69;1180;99;14;139;385;477;206;53;5;985;5.1;523;462;671;314;645;187;96;57;904;81;12;100;289;374;164;42;4;1191;1.2;666;525;273;100;52;51;29;21;22;50;37;24;19;28;273;100;52;51;29;21;22;50;37;24;19;28;69;29;33;26;27;16;23;9;14;7;10;7;8;3;9;4;4;2;7;12;12;10;8;60;46;30;1827;9.4;995;832;1279;273;100;52;51;29;21;22;1533;7.9;829;704;985;273;100;52;51;29;21;22;706;3.7;391;315;555;151;368;215;78;45;595;111;969;5.0;542;427;754;215;476;313;113;67;839;130;11;79;312;378;155;29;5;222;2.8;124;98;1279;1150;129;450;378;489;40;42;125;40;9;76;4;985;884;78;360;311;380;37;29;98;33;7;58;3;969;391;416;7;32;8;115;222;26;13;57;26;31;126
2;1998;1271;6.3;665;606;880;391;791;290;130;60;1144;127;23;130;389;467;220;40;2;970;4.8;498;472;681;289;585;233;108;44;885;85;17;100;272;376;174;30;1;1245;1.3;739;506;342;92;61;41;41;15;14;48;41;22;25;24;342;92;61;41;41;15;14;48;41;22;25;24;69;49;27;26;18;17;18;18;15;3;9;4;9;10;10;10;6;3;4;7;8;6;8;58;40;27;1877;9.4;1019;858;1271;342;92;61;41;41;15;14;1576;7.9;852;724;970;342;92;61;41;41;15;14;766;3.8;444;322;576;190;416;228;79;43;624;142;1035;5.2;613;422;779;256;549;315;106;65;875;160;18;100;317;408;166;24;1;210;2.7;126;84;1271;1133;129;432;364;487;32;53;134;33;7;94;4;970;856;70;328;290;391;31;36;105;26;7;72;4;1035;351;502;10;27;16;129;210;29;19;41;19;22;121
3;1999;1263;6.3;658;605;863;400;765;309;102;87;1117;146;18;112;369;451;256;50;7;944;4.7;491;453;661;283;565;232;76;71;850;94;12;82;273;336;195;41;5;1268;1.3;694;574;348;112;54;48;31;30;22;33;52;17;26;31;348;112;54;48;31;30;22;33;52;17;26;31;58;40;32;22;25;17;9;15;9;10;7;9;8;9;9;8;2;13;7;6;5;4;5;65;36;34;1908;9.5;1007;901;1263;348;112;54;48;31;30;22;1589;7.9;840;749;944;348;112;54;48;31;30;22;804;4.0;435;369;584;220;443;229;89;43;644;160;1048;5.2;563;485;760;288;558;308;120;62;859;189;16;122;294;396;178;40;2;220;2.8;131;89;1263;1133;139;424;360;516;18;36;127;33;9;85;3;944;852;94;315;276;403;15;25;92;23;5;64;0;1048;356;515;9;27;16;125;220;32;13;47;21;26;128
4;2000;1253;6.0;658;595;857;396;735;315;125;78;1116;137;21;130;339;463;246;50;4;1000;4.8;524;476;701;299;573;254;103;70;902;98;19;98;258;369;206;46;4;1280;1.3;703;577;317;101;61;44;43;34;29;54;35;24;32;34;317;101;61;44;43;34;29;54;35;24;32;34;68;31;25;25;18;19;15;15;12;8;15;6;13;7;10;11;7;6;4;4;6;7;13;59;34;34;1882;9.1;1010;872;1253;317;101;61;44;43;34;29;1629;7.8;876;753;1000;317;101;61;44;43;34;29;808;3.9;442;366;578;230;439;230;87;52;664;144;1059;5.1;582;477;767;292;550;326;115;68;890;169;19;107;278;438;184;32;0;221;2.8;121;100;1253;1108;100;360;305;574;22;52;142;36;8;98;3;1000;887;60;280;254;486;21;40;111;31;8;72;2;1059;352;530;12;25;11;129;221;25;8;49;22;27;139
5;2001;1258;6.2;666;592;801;457;701;325;135;97;1148;110;25;121;334;458;254;62;4;996;4.9;540;456;634;362;537;275;107;77;909;87;22;96;252;367;208;48;3;1298;1.3;741;557;332;101;66;39;28;26;24;48;52;20;23;25;332;101;66;39;28;26;24;48;52;20;23;25;83;43;33;20;27;28;19;14;12;14;11;12;5;10;8;7;6;7;8;6;2;8;5;45;46;35;1874;9.2;1021;853;1258;332;101;66;39;28;26;24;1612;7.9;895;717;996;332;101;66;39;28;26;24;784;3.9;441;343;538;246;407;239;94;44;642;142;1088;5.4;615;473;762;326;521;354;140;73;920;168;26;105;269;429;225;32;2;210;2.6;126;84;1258;1136;100;363;309;587;25;61;122;22;9;91;0;996;898;60;292;260;475;24;47;98;18;4;76;0;1088;349;528;4;34;15;158;210;24;16;41;14;27;129
6;2002;1185;5.8;641;544;746;439;753;260;111;61;1042;143;24;119;283;461;240;53;5;945;4.7;497;448;600;345;592;203;93;57;833;112;13;94;223;362;202;46;5;1233;1.2;694;539;358;92;45;43;27;23;22;43;39;24;30;18;358;92;45;43;27;23;22;43;39;24;30;18;69;35;27;25;25;15;23;9;10;6;6;7;9;10;9;8;7;5;4;8;8;7;5;62;38;32;1795;8.8;978;817;1185;358;92;45;43;27;23;22;1555;7.6;834;721;945;358;92;45;43;27;23;22;764;3.8;427;337;485;279;416;207;95;46;621;143;1014;5.0;569;445;661;353;529;287;135;63;850;164;23;116;274;399;167;35;0;219;2.7;125;94;1185;1071;92;362;277;547;20;50;114;34;5;75;0;945;854;52;283;224;463;19;37;91;30;3;58;0;1014;305;543;4;22;10;130;219;26;14;39;21;18;140
7;2003;1124;5.6;622;502;692;432;561;359;126;78;1021;103;14;121;251;422;256;55;5;928;4.6;524;404;595;333;467;289;102;70;842;86;9;93;203;352;217;50;4;1160;1.1;677;483;320;75;50;33;31;21;25;55;53;21;17;24;320;75;50;33;31;21;25;55;53;21;17;24;76;23;22;20;24;21;12;13;15;7;4;11;12;9;8;8;5;5;2;7;7;7;3;47;32;35;1679;8.3;959;720;1124;320;75;50;33;31;21;25;1483;7.4;861;622;928;320;75;50;33;31;21;25;725;3.6;420;305;482;243;400;218;61;46;605;120;962;4.8;562;400;636;326;509;298;88;67;817;145;23;106;235;380;173;42;3;198;2.4;115;83;1124;1018;89;289;254;580;20;40;103;21;8;74;3;928;845;52;244;223;502;18;29;80;16;8;56;3;962;331;476;7;28;11;109;198;27;7;44;12;32;120
8;2004;1013;5.2;542;471;618;395;547;276;122;68;915;98;8;112;245;354;238;54;2;795;4.1;427;368;500;295;419;223;97;56;715;80;7;73;195;290;178;50;2;1044;1.0;598;446;249;91;44;28;39;33;16;46;38;18;25;24;249;91;44;28;39;33;16;46;38;18;25;24;55;31;31;13;19;10;16;6;6;9;5;9;8;6;14;7;4;5;3;4;6;5;3;51;37;30;1513;7.8;830;683;1013;249;91;44;28;39;33;16;1295;6.6;715;580;795;249;91;44;28;39;33;16;651;3.4;373;278;408;243;332;204;69;46;540;111;852;4.4;490;362;543;309;434;257;100;61;723;129;11;100;203;311;195;30;2;192;2.3;108;84;1013;901;68;292;231;466;27;48;107;16;5;86;5;795;707;37;231;188;376;26;37;84;13;1;70;4;852;291;435;0;17;7;102;192;27;5;36;13;23;124
9;2005;983;5.2;520;463;587;396;525;282;113;63;903;80;11;105;220;351;246;47;3;760;4.0;403;357;461;299;404;215;90;51;704;56;8;83;161;278;193;34;3;1124;1.1;608;516;303;98;41;44;25;20;17;44;47;17;16;21;303;98;41;44;25;20;17;44;47;17;16;21;68;31;20;24;22;16;20;10;9;11;4;4;7;8;9;4;6;7;9;12;6;7;4;45;35;33;1531;8.1;820;711;983;303;98;41;44;25;20;17;1308;6.9;703;605;760;303;98;41;44;25;20;17;693;3.7;386;307;436;257;357;217;76;43;597;96;928;4.9;506;422;585;343;454;305;108;61;810;118;5;96;233;328;225;37;4;196;2.4;102;94;983;864;77;346;288;346;32;63;112;19;11;82;7;760;665;45;265;229;274;31;50;88;17;9;62;7;928;278;508;3;19;11;109;196;25;3;36;15;21;132
