ID;Geslacht;Leeftijd;BurgerlijkeStaat;KerkelijkeGezindte;Regio;Bewoners_1
0;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Totaal alle kerkelijke gezindten;Nederland;7935565
1;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Totaal alle kerkelijke gezindten;Groningen (provincie);392436
2;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Totaal alle kerkelijke gezindten;Friesland;399659
3;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Totaal alle kerkelijke gezindten;Drenthe;222432
4;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Totaal alle kerkelijke gezindten;Overijssel;520788
5;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Totaal alle kerkelijke gezindten;Gelderland;829293
6;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Totaal alle kerkelijke gezindten;Utrecht (provincie);406960
7;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Totaal alle kerkelijke gezindten;Noord-Holland;1509587
8;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Totaal alle kerkelijke gezindten;Zuid-Holland;1957578
9;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Totaal alle kerkelijke gezindten;Zeeland;247606
10;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Totaal alle kerkelijke gezindten;Noord-Brabant;898386
11;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Totaal alle kerkelijke gezindten;Limburg;550840
12;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Totaal alle kerkelijke gezindten;Gemeenten met meer dan 100000 inwoners;2161741
13;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Totaal alle kerkelijke gezindten;Gemeenten met 50001 - 100000 inwoners;794275
14;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Totaal alle kerkelijke gezindten;Gemeenten met 20001 - 50000 inwoners;909519
15;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Totaal alle kerkelijke gezindten;Gemeenten met 10001 - 20000 inwoners;1178525
16;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Totaal alle kerkelijke gezindten;Gemeenten met 5001 - 10000 inwoners;1206889
17;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Totaal alle kerkelijke gezindten;Gemeenten met 2001 - 5000 inwoners;1218855
18;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Totaal alle kerkelijke gezindten;Gemeenten met 1001 - 2000 inwoners;348525
19;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Totaal alle kerkelijke gezindten;Gemeenten met 501 - 1000 inwoners;106191
20;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Totaal alle kerkelijke gezindten;Gemeenten met 500 of minder inwoners;11045
21;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Totaal alle kerkelijke gezindten;Amsterdam;757386
22;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Totaal alle kerkelijke gezindten;Rotterdam;586952
23;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Totaal alle kerkelijke gezindten;'s-Gravenhage;437675
24;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Totaal alle kerkelijke gezindten;Utrecht;154882
25;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Totaal alle kerkelijke gezindten;Haarlem;119700
26;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Totaal alle kerkelijke gezindten;Groningen;105146
27;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Totaal alle kerkelijke gezindten;Eindhoven;94948
28;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Totaal alle kerkelijke gezindten;Nijmegen;81716
29;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Totaal alle kerkelijke gezindten;Tilburg;78804
30;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Totaal alle kerkelijke gezindten;Arnhem;78234
31;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Totaal alle kerkelijke gezindten;Leiden;70825
32;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Totaal alle kerkelijke gezindten;Maastricht;60644
33;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Totaal alle kerkelijke gezindten;Apeldoorn;60452
34;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Totaal alle kerkelijke gezindten;Hilversum;57059
35;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Totaal alle kerkelijke gezindten;Dordrecht;56156
36;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Totaal alle kerkelijke gezindten;Schiedam;52805
37;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Totaal alle kerkelijke gezindten;Enschede;51805
38;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Totaal alle kerkelijke gezindten;Delft;50827
39;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Totaal alle kerkelijke gezindten;Leeuwarden;48548
40;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Totaal alle kerkelijke gezindten;Heerlen;46917
41;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Totaal alle kerkelijke gezindten;Breda;44649
42;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Totaal alle kerkelijke gezindten;'s-Hertogenbosch;42203
43;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Totaal alle kerkelijke gezindten;Velsen;41259
44;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Totaal alle kerkelijke gezindten;Emmen;40961
45;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Totaal alle kerkelijke gezindten;Zwolle;40496
46;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Totaal alle kerkelijke gezindten;Amersfoort;38549
47;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Totaal alle kerkelijke gezindten;Kerkrade;36705
48;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Totaal alle kerkelijke gezindten;Deventer;36221
49;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Totaal alle kerkelijke gezindten;Hengelo (O.);34338
50;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Totaal alle kerkelijke gezindten;Zaandam;33184
51;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Totaal alle kerkelijke gezindten;Almelo;32422
52;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Totaal alle kerkelijke gezindten;Lonneker;31129
53;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Totaal alle kerkelijke gezindten;Ede;30688
54;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Totaal alle kerkelijke gezindten;Helder (Den);29426
55;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Totaal alle kerkelijke gezindten;Gouda;29163
56;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Totaal alle kerkelijke gezindten;Alkmaar;28305
57;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Totaal alle kerkelijke gezindten;Vlaardingen;27855
58;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Totaal alle kerkelijke gezindten;Haarlemmermeer;26829
59;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Totaal alle kerkelijke gezindten;Helmond;25435
60;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Totaal alle kerkelijke gezindten;Bussum;25105
61;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Totaal alle kerkelijke gezindten;Zeist;24754
62;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Totaal alle kerkelijke gezindten;Rheden;24642
63;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Totaal alle kerkelijke gezindten;Venlo;24275
64;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Totaal alle kerkelijke gezindten;Roosendaal en Nispen;22093
65;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Totaal alle kerkelijke gezindten;Vlissingen;21716
66;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Totaal alle kerkelijke gezindten;Bergen op Zoom;21652
67;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Nederduitsch Hervormd;Nederland;2732333
68;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Nederduitsch Hervormd;Groningen (provincie);188595
69;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Nederduitsch Hervormd;Friesland;167521
70;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Nederduitsch Hervormd;Drenthe;141783
71;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Nederduitsch Hervormd;Overijssel;234641
72;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Nederduitsch Hervormd;Gelderland;391859
73;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Nederduitsch Hervormd;Utrecht (provincie);169044
74;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Nederduitsch Hervormd;Noord-Holland;387964
75;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Nederduitsch Hervormd;Zuid-Holland;848636
76;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Nederduitsch Hervormd;Zeeland;119463
77;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Nederduitsch Hervormd;Noord-Brabant;66771
78;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Nederduitsch Hervormd;Limburg;16056
79;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Nederduitsch Hervormd;Gemeenten met meer dan 100000 inwoners;649709
80;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Nederduitsch Hervormd;Gemeenten met 50001 - 100000 inwoners;210526
81;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Nederduitsch Hervormd;Gemeenten met 20001 - 50000 inwoners;269996
82;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Nederduitsch Hervormd;Gemeenten met 10001 - 20000 inwoners;454600
83;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Nederduitsch Hervormd;Gemeenten met 5001 - 10000 inwoners;460790
84;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Nederduitsch Hervormd;Gemeenten met 2001 - 5000 inwoners;486204
85;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Nederduitsch Hervormd;Gemeenten met 1001 - 2000 inwoners;142046
86;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Nederduitsch Hervormd;Gemeenten met 501 - 1000 inwoners;51937
87;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Nederduitsch Hervormd;Gemeenten met 500 of minder inwoners;6525
88;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Nederduitsch Hervormd;Amsterdam;160913
89;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Nederduitsch Hervormd;Rotterdam;230754
90;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Nederduitsch Hervormd;'s-Gravenhage;144554
91;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Nederduitsch Hervormd;Utrecht;53889
92;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Nederduitsch Hervormd;Haarlem;24550
93;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Nederduitsch Hervormd;Groningen;35049
94;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Nederduitsch Hervormd;Eindhoven;10562
95;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Nederduitsch Hervormd;Nijmegen;12200
96;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Nederduitsch Hervormd;Tilburg;1848
97;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Nederduitsch Hervormd;Arnhem;24417
