ID;Geslacht;Persoonskenmerken;Reismotieven;RegioS;Perioden;Verplaatsingen_1;Afstand_2;Reisduur_3;Verplaatsingen_4;Afstand_5;Reisduur_6
0;Totaal mannen en vrouwen;Totaal personen;Totaal;Nederland;2010;2.77;30.31;62.54;963.0;10536.0;362.3
1;Totaal mannen en vrouwen;Totaal personen;Totaal;Nederland;2011;2.67;30.69;61.33;928.0;10675.0;355.5
2;Totaal mannen en vrouwen;Totaal personen;Totaal;Nederland;2012;2.68;29.39;60.45;936.0;10253.0;351.5
3;Totaal mannen en vrouwen;Totaal personen;Totaal;Nederland;2013;2.68;30.49;61.18;933.0;10611.0;354.8
4;Totaal mannen en vrouwen;Totaal personen;Totaal;Nederland;2014;2.69;30.74;62.74;937.0;10694.0;363.8
5;Totaal mannen en vrouwen;Totaal personen;Totaal;Nederland;2015;2.6;29.46;59.89;906.0;10264.0;347.8
6;Totaal mannen en vrouwen;Totaal personen;Totaal;Nederland;2016;2.55;29.38;59.44;890.0;10264.0;346.1
7;Totaal mannen en vrouwen;Totaal personen;Totaal;Nederland;2017;2.5;29.11;58.34;865.0;10089.0;337.0
8;Totaal mannen en vrouwen;Totaal personen;Totaal;Noord-Nederland (LD);2010;2.71;34.45;62.85;943.0;11973.0;364.1
9;Totaal mannen en vrouwen;Totaal personen;Totaal;Noord-Nederland (LD);2011;2.6;33.49;59.55;904.0;11654.0;345.3
10;Totaal mannen en vrouwen;Totaal personen;Totaal;Noord-Nederland (LD);2012;2.64;32.14;59.9;921.0;11214.0;348.3
11;Totaal mannen en vrouwen;Totaal personen;Totaal;Noord-Nederland (LD);2013;2.65;33.56;58.85;922.0;11671.0;341.1
12;Totaal mannen en vrouwen;Totaal personen;Totaal;Noord-Nederland (LD);2014;2.62;33.85;62.79;912.0;11778.0;364.2
13;Totaal mannen en vrouwen;Totaal personen;Totaal;Noord-Nederland (LD);2015;2.53;32.96;59.53;884.0;11489.0;345.8
