ID;SectorsAssets;CounterpartSectorsLiabilities;BalanceSheetsAndTransactions;Periods;SavingsTransferableAndOtherDeposits_1;ShortTermSecurities_2;LongTermSecurities_3;ShortTermLoans_4;LongTermLoans_5;ListedShares_6;InvestmentFundSharesOrUnits_7
0;Total domestic sectors;Total domestic sectors;Opening balance sheet;1999 1st quarter;295118.0;;;146129.0;759667.0;;
1;Total domestic sectors;Total domestic sectors;Opening balance sheet;1999 2nd quarter;302004.0;;;152622.0;770439.0;;
2;Total domestic sectors;Total domestic sectors;Opening balance sheet;1999 3rd quarter;314307.0;;;154662.0;782117.0;;
3;Total domestic sectors;Total domestic sectors;Opening balance sheet;1999 4th quarter;314483.0;;;158696.0;796314.0;;
4;Total domestic sectors;Total domestic sectors;Opening balance sheet;1999;295118.0;;;146129.0;759667.0;;
5;Total domestic sectors;Total domestic sectors;Opening balance sheet;2000 1st quarter;319829.0;;;159211.0;812666.0;;
6;Total domestic sectors;Total domestic sectors;Opening balance sheet;2000 2nd quarter;341481.0;;;168348.0;815985.0;;
7;Total domestic sectors;Total domestic sectors;Opening balance sheet;2000 3rd quarter;333179.0;;;173697.0;821679.0;;
8;Total domestic sectors;Total domestic sectors;Opening balance sheet;2000 4th quarter;353539.0;;;179635.0;833618.0;;
9;Total domestic sectors;Total domestic sectors;Opening balance sheet;2000;319829.0;;;159211.0;812666.0;;
10;Total domestic sectors;Total domestic sectors;Opening balance sheet;2001 1st quarter;349605.0;;;180862.0;839646.0;;
11;Total domestic sectors;Total domestic sectors;Opening balance sheet;2001 2nd quarter;371479.0;;;173289.0;847142.0;;
12;Total domestic sectors;Total domestic sectors;Opening balance sheet;2001 3rd quarter;373421.0;;;172916.0;858310.0;;
13;Total domestic sectors;Total domestic sectors;Opening balance sheet;2001 4th quarter;382191.0;;;177194.0;869466.0;;
14;Total domestic sectors;Total domestic sectors;Opening balance sheet;2001;349605.0;;;180862.0;839646.0;;
15;Total domestic sectors;Total domestic sectors;Opening balance sheet;2002 1st quarter;397896.0;;;175643.0;884653.0;;
16;Total domestic sectors;Total domestic sectors;Opening balance sheet;2002 2nd quarter;408791.0;;;180780.0;892083.0;;
17;Total domestic sectors;Total domestic sectors;Opening balance sheet;2002 3rd quarter;413319.0;;;177297.0;898155.0;;
18;Total domestic sectors;Total domestic sectors;Opening balance sheet;2002 4th quarter;420415.0;;;188434.0;907962.0;;
19;Total domestic sectors;Total domestic sectors;Opening balance sheet;2002;397896.0;;;175643.0;884653.0;;
20;Total domestic sectors;Total domestic sectors;Opening balance sheet;2003 1st quarter;423083.0;;;180070.0;922917.0;;
21;Total domestic sectors;Total domestic sectors;Opening balance sheet;2003 2nd quarter;448681.0;;;176411.0;934032.0;;
22;Total domestic sectors;Total domestic sectors;Opening balance sheet;2003 3rd quarter;447529.0;;;173551.0;955362.0;;
23;Total domestic sectors;Total domestic sectors;Opening balance sheet;2003 4th quarter;463560.0;;;171004.0;973911.0;;
24;Total domestic sectors;Total domestic sectors;Opening balance sheet;2003;423083.0;;;180070.0;922917.0;;
25;Total domestic sectors;Total domestic sectors;Opening balance sheet;2004 1st quarter;467495.0;;;170943.0;994065.0;;
26;Total domestic sectors;Total domestic sectors;Opening balance sheet;2004 2nd quarter;466379.0;;;172655.0;1003787.0;;
27;Total domestic sectors;Total domestic sectors;Opening balance sheet;2004 3rd quarter;495377.0;;;178262.0;1005724.0;;
28;Total domestic sectors;Total domestic sectors;Opening balance sheet;2004 4th quarter;486945.0;;;181338.0;1018396.0;;
29;Total domestic sectors;Total domestic sectors;Opening balance sheet;2004;467495.0;;;170943.0;994065.0;;
30;Total domestic sectors;Total domestic sectors;Opening balance sheet;2005 1st quarter;496822.0;;;184722.0;1019654.0;;
31;Total domestic sectors;Total domestic sectors;Opening balance sheet;2005 2nd quarter;510849.0;;;198738.0;1031427.0;;
32;Total domestic sectors;Total domestic sectors;Opening balance sheet;2005 3rd quarter;541945.0;;;210973.0;1051316.0;;
33;Total domestic sectors;Total domestic sectors;Opening balance sheet;2005 4th quarter;556326.0;;;212945.0;1066767.0;;
34;Total domestic sectors;Total domestic sectors;Opening balance sheet;2005;496822.0;;;184722.0;1019654.0;;
35;Total domestic sectors;Total domestic sectors;Opening balance sheet;2006 1st quarter;573046.0;;;211449.0;1082593.0;;
36;Total domestic sectors;Total domestic sectors;Opening balance sheet;2006 2nd quarter;597012.0;;;211994.0;1092499.0;;
37;Total domestic sectors;Total domestic sectors;Opening balance sheet;2006 3rd quarter;594060.0;;;211040.0;1102522.0;;
38;Total domestic sectors;Total domestic sectors;Opening balance sheet;2006 4th quarter;614748.0;;;216984.0;1117903.0;;
39;Total domestic sectors;Total domestic sectors;Opening balance sheet;2006;573046.0;;;211449.0;1082593.0;;
40;Total domestic sectors;Total domestic sectors;Opening balance sheet;2007 1st quarter;615826.0;;;217453.0;1145191.0;;
41;Total domestic sectors;Total domestic sectors;Opening balance sheet;2007 2nd quarter;646786.0;;;236764.0;1159447.0;;
42;Total domestic sectors;Total domestic sectors;Opening balance sheet;2007 3rd quarter;680002.0;;;242030.0;1172459.0;;
43;Total domestic sectors;Total domestic sectors;Opening balance sheet;2007 4th quarter;667831.0;;;247447.0;1181492.0;;
