ID;Migratieachtergrond;WelGeenKinderen;Perioden;Eenpersoonshuishouden_1;Eenouderhuishouden_2;TotaalBeidePartnersNederlandseAch_3;BeidePartnersNederlandseAchtergrond_4;TotaalBeidePartnersMigratieachterg_5;TotaalMannenEersteGeneratie_6;TotaalBeidePartnersEersteGeneratie_7;BeidenEersteGeneratieGelijkLand_8;BeidenEersteGeneratieOngelijkLand_9;BeidenTweedeGeneratie_10;ManEersteVrouwTweedeGeneratie_11;ManTweedeVrouwEersteGeneratie_12;TotaalBeidePartnersMigratieachterg_13;TotaalVrouwenEersteGeneratie_14;TotaalBeidePartnersEersteGeneratie_15;BeidenEersteGeneratieGelijkLand_16;BeidenEersteGeneratieOngelijkLand_17;BeidenTweedeGeneratie_18;VrouwEersteManTweedeGeneratie_19;VrouwTweedeManEersteGeneratie_20;TotaalEenPartnerMigratieachtergrond_21;VrouwEersteGeneratieManNederla_22;VrouwTweedeGeneratieManNederla_23;ManEersteGeneratieVrouwNederla_24;ManTweedeGeneratieVrouwNederla_25;BeidePartnersNederlandseAchtergrond_26;TotaalBeidePartnersMigratieachterg_27;TotaalMannenEersteGeneratie_28;TotaalBeidePartnersEersteGeneratie_29;BeidenEersteGeneratieGelijkLand_30;BeidenEersteGeneratieOngelijkLand_31;BeidenTweedeGeneratie_32;ManEersteVrouwTweedeGeneratie_33;ManTweedeVrouwEersteGeneratie_34;TotaalBeidePartnersMigratieachterg_35;TotaalVrouwenEersteGeneratie_36;TotaalBeidenPartnersEersteGeneratie_37;BeidenEersteGeneratieGelijkLand_38;BeidenEersteGeneratieOngelijkLand_39;BeidenTweedeGeneratie_40;VrouwEersteManTweedeGeneratie_41;VrouwTweedeManEersteGeneratie_42;TotaalEenPartnerMigratieachtergrond_43;VrouwEersteGeneratieManNederla_44;VrouwTweedeGeneratieManNederla_45;ManEersteGeneratieVrouwNederla_46;ManTweedeGeneratieVrouwNederla_47;OverigHuishouden_48
0;Totaal;Totaal huishoudens;2001;2307075.0;396351.0;3191798.0;2710147.0;266711.0;233862.0;217907.0;193353.0;24554.0;17578.0;15955.0;15271.0;266707.0;233174.0;217903.0;193353.0;24550.0;17578.0;15271.0;15955.0;465094.0;104508.0;141903.0;76021.0;142662.0;481651.0;54674.0;42749.0;36220.0;23548.0;12672.0;6275.0;6529.0;5650.0;54672.0;41868.0;36219.0;23548.0;12671.0;6275.0;5649.0;6529.0;137751.0;33304.0;38230.0;28737.0;37480.0;47416.0
1;Totaal;Totaal huishoudens;2002;2344903.0;411691.0;3187160.0;2691766.0;275609.0;241775.0;224646.0;199327.0;25319.0;17793.0;17129.0;16041.0;275604.0;240682.0;224641.0;199327.0;25314.0;17793.0;16041.0;17129.0;465234.0;105781.0;141471.0;75860.0;142122.0;495394.0;57118.0;44466.0;37550.0;24033.0;13517.0;6626.0;6916.0;6026.0;57115.0;43573.0;37548.0;24033.0;13515.0;6626.0;6025.0;6916.0;143768.0;35526.0;39452.0;29795.0;38995.0;48664.0
2;Totaal;Totaal huishoudens;2003;2383584.0;424126.0;3182307.0;2675333.0;283477.0;248341.0;229994.0;203929.0;26065.0;18132.0;18347.0;17004.0;283472.0;246993.0;229989.0;203929.0;26060.0;18132.0;17004.0;18347.0;466422.0;107493.0;141189.0;75775.0;141965.0;506974.0;58654.0;45156.0;37933.0;24006.0;13927.0;7165.0;7223.0;6333.0;58655.0;44267.0;37935.0;24006.0;13929.0;7165.0;6332.0;7223.0;148566.0;37252.0;40636.0;30623.0;40055.0;48436.0
3;Totaal;Totaal huishoudens;2004;2423956.0;433974.0;3174434.0;2658792.0;290223.0;253709.0;234026.0;207209.0;26817.0;18561.0;19683.0;17953.0;290216.0;251972.0;234019.0;207209.0;26810.0;18561.0;17953.0;19683.0;467527.0;109253.0;140898.0;75706.0;141670.0;515642.0;59726.0;45725.0;38153.0;23956.0;14197.0;7377.0;7572.0;6624.0;59724.0;44775.0;38152.0;23956.0;14196.0;7377.0;6623.0;7572.0;151351.0;38374.0;41522.0;30609.0;40846.0;47922.0
4;Totaal;Totaal huishoudens;2005;2449383.0;444126.0;3169846.0;2640522.0;294054.0;256338.0;235604.0;208414.0;27190.0;19015.0;20734.0;18701.0;294047.0;254298.0;235597.0;208414.0;27183.0;19015.0;18701.0;20734.0;467683.0;110755.0;140419.0;75271.0;141238.0;529324.0;62104.0;47458.0;39616.0;24431.0;15185.0;7792.0;7842.0;6854.0;62104.0;46470.0;39617.0;24431.0;15186.0;7792.0;6853.0;7842.0;155623.0;39927.0;42697.0;31096.0;41903.0;47974.0
5;Totaal;Totaal huishoudens;2006;2502088.0;452372.0;3160712.0;2621388.0;296218.0;257513.0;236199.0;208750.0;27449.0;19517.0;21314.0;19188.0;296210.0;255379.0;236191.0;208750.0;27441.0;19517.0;19188.0;21314.0;466992.0;111966.0;139750.0;74623.0;140653.0;539324.0;62017.0;46917.0;38815.0;23739.0;15076.0;8044.0;8102.0;7056.0;62013.0;45868.0;38814.0;23739.0;15075.0;8044.0;7054.0;8101.0;157848.0;40217.0;43632.0;31094.0;42905.0;47676.0
6;Totaal;Totaal huishoudens;2007;2536897.0;458881.0;3157208.0;2604570.0;297731.0;257998.0;236151.0;208671.0;27480.0;20113.0;21847.0;19620.0;297723.0;255763.0;236143.0;208671.0;27472.0;20113.0;19620.0;21847.0;466618.0;113054.0;139308.0;74058.0;140198.0;552638.0;63086.0;47300.0;38933.0;23682.0;15251.0;8626.0;8367.0;7160.0;63086.0;46094.0;38934.0;23682.0;15252.0;8626.0;7160.0;8366.0;161335.0;40716.0;44823.0;31255.0;44541.0;48584.0
7;Totaal;Totaal huishoudens;2008;2571018.0;465704.0;3155697.0;2588589.0;299912.0;258867.0;236383.0;208696.0;27687.0;20930.0;22484.0;20115.0;299903.0;256489.0;236374.0;208696.0;27678.0;20930.0;20115.0;22484.0;466232.0;113942.0;138947.0;73557.0;139786.0;567108.0;66797.0;49996.0;41165.0;24920.0;16245.0;9197.0;8831.0;7604.0;66795.0;48768.0;41164.0;24920.0;16244.0;9197.0;7604.0;8830.0;166114.0;41788.0;46451.0;31766.0;46109.0;50513.0
8;Totaal;Totaal huishoudens;2009;2619399.0;474909.0;3154237.0;2575035.0;304135.0;261595.0;238288.0;210252.0;28036.0;21888.0;23307.0;20652.0;304126.0;258931.0;238279.0;210252.0;28027.0;21888.0;20652.0;23307.0;466730.0;114969.0;138874.0;73166.0;139721.0;579202.0;70985.0;53064.0;43763.0;26180.0;17583.0;9842.0;9301.0;8079.0;70983.0;51841.0;43763.0;26180.0;17583.0;9842.0;8078.0;9300.0;169526.0;42657.0;47321.0;32294.0;47254.0;52403.0
9;Totaal;Totaal huishoudens;2010;2669410.0;486239.0;3150853.0;2562739.0;308448.0;263857.0;239591.0;210799.0;28792.0;23080.0;24266.0;21511.0;308439.0;261093.0;239583.0;210799.0;28784.0;23080.0;21510.0;24266.0;468305.0;116633.0;138951.0;73083.0;139638.0;588114.0;75530.0;56668.0;47013.0;28186.0;18827.0;10408.0;9655.0;8454.0;75531.0;55467.0;47014.0;28186.0;18828.0;10408.0;8453.0;9656.0;172665.0;43446.0;48228.0;32568.0;48423.0;54079.0
