ID;SectorBranchesSIC2008;Periods;LabourPriceIndex_1;YearOnYearChangePriceOfLabour_2;WageCostsPerHourWorked_3;YearOnYearChangeWageCostsPerHour_4;StructuralEffect_5
0;A-U All economic activities;2001;77.3;;71.6;;
1;A-U All economic activities;2002;80.7;4.4;75.3;5.1;0.7
2;A-U All economic activities;2003;83.1;2.9;78.2;3.8;0.9
3;A-U All economic activities;2004;83.8;0.8;79.4;1.5;0.6
4;A-U All economic activities;2005;85.5;2.0;81.6;2.8;0.8
5;A-U All economic activities;2006;86.7;1.5;83.3;2.1;0.6
6;A-U All economic activities;2007;89.3;3.0;85.9;3.1;0.1
7;A-U All economic activities;2008;92.7;3.7;89.2;3.9;0.1
8;A-U All economic activities;2009;94.2;1.6;91.7;2.8;1.2
9;A-U All economic activities;2010;94.4;0.3;92.6;1.0;0.7
10;A-U All economic activities;2011;96.0;1.7;94.4;2.0;0.2
11;A-U All economic activities;2012;98.1;2.1;97.1;2.8;0.7
12;A-U All economic activities;2013;99.1;1.0;98.9;1.8;0.8
13;A-U All economic activities;2014;99.8;0.8;100.0;1.1;0.4
14;A-U All economic activities;2015;100.0;0.2;100.0;0.0;-0.1
15;A-U All economic activities;2016;101.0;1.0;100.7;0.7;-0.3
16;A-U All economic activities;2017;102.6;1.6;101.7;1.0;-0.5
17;A-U All economic activities;2018;104.8;2.2;103.7;1.9;-0.3
18;A-U All economic activities;2019;107.3;2.4;106.3;2.5;0.1
19;A-U All economic activities;2020;110.3;2.8;110.9;4.3;1.5
20;A-U All economic activities;2021;111.3;0.9;111.7;0.8;-0.1
21;A-U All economic activities;2022;118.7;6.7;118.5;6.1;-0.5
22;A-U All economic activities;2023;126.3;6.4;126.6;6.8;0.4
23;A-U All economic activities;2006 January - 2006 December;86.7;1.5;83.3;2.1;0.6
24;A-U All economic activities;2006 April - 2007 March;87.5;;84.1;;
25;A-U All economic activities;2006 July - 2007 June;88.1;;84.7;;
26;A-U All economic activities;2006 October - 2007 September;88.6;;85.2;;
27;A-U All economic activities;2007 January - 2007 December;89.3;3.0;85.9;3.1;0.1
28;A-U All economic activities;2007 April - 2008 March;90.5;3.3;87.0;3.4;0.1
29;A-U All economic activities;2007 July - 2008 June;91.4;3.7;87.9;3.8;0.1
30;A-U All economic activities;2007 October - 2008 September;91.9;3.7;88.4;3.8;0.1
31;A-U All economic activities;2008 January - 2008 December;92.7;3.7;89.2;3.9;0.1
32;A-U All economic activities;2008 April - 2009 March;93.0;2.9;89.7;3.2;0.3
33;A-U All economic activities;2008 July - 2009 June;93.9;2.8;90.9;3.4;0.6
34;A-U All economic activities;2008 October - 2009 September;94.1;2.4;91.4;3.3;0.9
35;A-U All economic activities;2009 January - 2009 December;94.2;1.6;91.7;2.8;1.2
36;A-U All economic activities;2009 April - 2010 March;94.5;1.6;92.3;2.9;1.3
37;A-U All economic activities;2009 July - 2010 June;94.8;0.9;92.8;2.1;1.2
38;A-U All economic activities;2009 October - 2010 September;94.4;0.3;92.5;1.3;0.9
39;A-U All economic activities;2010 January - 2010 December;94.4;0.3;92.6;1.0;0.7
40;A-U All economic activities;2010 April - 2011 March;94.5;0.0;92.7;0.4;0.4
41;A-U All economic activities;2010 July - 2011 June;94.5;-0.3;92.8;0.0;0.2
42;A-U All economic activities;2010 October - 2011 September;94.8;0.5;93.2;0.7;0.3
