ID;LeeftijdExactVanDeVrouw;Perioden;TotaalVrouwenSteekproef_1;IsZwangerOfWilZwangerWorden_2;GeenRelatie_3;PrincipieelTegenAnticonceptie_4;GeenAnticonceptieNodig_5;AndereRedenen_6
0;Totaal leeftijden 18 tot 45 jaar;2003;623;34;38;4;6;19
1;Totaal leeftijden 18 tot 45 jaar;2008;493;33;37;2;7;20
2;Totaal leeftijden 18 tot 45 jaar;2013;460;41;19;3;13;25
3;18 tot 25 jaar;2003;141;10;67;5;6;12
4;18 tot 25 jaar;2008;114;13;59;3;9;17
5;18 tot 25 jaar;2013;88;19;53;2;8;17
6;25 tot 35 jaar;2003;289;53;22;2;6;18
7;25 tot 35 jaar;2008;218;51;29;1;4;14
8;25 tot 35 jaar;2013;219;53;13;2;8;23
9;35 tot 45 jaar;2003;193;22;39;5;6;28
10;35 tot 45 jaar;2008;161;23;32;3;11;31
11;35 tot 45 jaar;2013;153;35;7;6;22;31
