ID;Geslacht;Onderwijssoort;BedrijstakkenSBI2008;StartkwalificatieOpPeilmoment;Peilmoment;Perioden;AlleSchoolverlatersUurloon_1;ZonderStartkwalificatieUurloon_2;MetStartkwalificatieUurloon_3
0;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;Direct na verlaten onderwijs;2007/'08;8.63;7.0;9.55
1;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;Direct na verlaten onderwijs;2008/'09;8.62;6.89;9.51
2;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;Direct na verlaten onderwijs;2009/'10;8.79;7.12;9.56
3;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;Direct na verlaten onderwijs;2010/'11;8.91;7.24;9.6
4;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;Direct na verlaten onderwijs;2011/'12;8.81;7.25;9.37
5;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;Direct na verlaten onderwijs;2012/'13;8.84;7.19;9.37
6;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;Direct na verlaten onderwijs;2013/'14;8.84;7.17;9.33
7;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;Direct na verlaten onderwijs;2014/'15;9.0;7.3;9.48
8;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;Direct na verlaten onderwijs;2015/'16;9.09;7.38;9.58
9;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;Direct na verlaten onderwijs;2016/'17;9.73;7.9;10.22
10;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;Direct na verlaten onderwijs;2017/'18;10.31;8.61;10.85
