ID;SoortVerhuur;Perioden;ReeleHuurverhogingInclHarmonisatie_1;ReeleHuurverhogingExclHarmonisatie_2
0;"Totaal; gereguleerd";2015;1.6;1.0
1;"Totaal; gereguleerd";2016;1.2;0.7
2;"Totaal; gereguleerd";2017;1.1;0.7
3;"Totaal; gereguleerd";2018;0.7;0.4
4;"Totaal; gereguleerd";2019;0.7;0.4
5;"Totaal; gereguleerd";2020;0.2;-0.2
6;"Totaal; gereguleerd";2021;-1.1;-1.5
7;"Totaal; gereguleerd";2022;0.3;-0.1
8;"Totaal; gereguleerd";2023;-8.7;-9.2
9;"Totaal; gereguleerd";2024;1.1;0.5
10;"Sociale verhuurders; gereguleerd";2015;1.6;0.9
11;"Sociale verhuurders; gereguleerd";2016;1.0;0.4
12;"Sociale verhuurders; gereguleerd";2017;0.8;0.3
13;"Sociale verhuurders; gereguleerd";2018;0.3;0.0
14;"Sociale verhuurders; gereguleerd";2019;0.4;0.1
15;"Sociale verhuurders; gereguleerd";2020;0.1;-0.3
16;"Sociale verhuurders; gereguleerd";2021;-1.1;-1.5
17;"Sociale verhuurders; gereguleerd";2022;0.3;-0.1
18;"Sociale verhuurders; gereguleerd";2023;-9.6;-10.0
19;"Sociale verhuurders; gereguleerd";2024;1.1;0.4
20;"Overige verhuurders; gereguleerd";2015;1.6;1.4
21;"Overige verhuurders; gereguleerd";2016;1.7;1.4
22;"Overige verhuurders; gereguleerd";2017;2.2;2.0
23;"Overige verhuurders; gereguleerd";2018;1.9;1.5
24;"Overige verhuurders; gereguleerd";2019;1.7;1.4
25;"Overige verhuurders; gereguleerd";2020;0.8;0.4
26;"Overige verhuurders; gereguleerd";2021;-1.1;-1.2
27;"Overige verhuurders; gereguleerd";2022;0.5;0.1
28;"Overige verhuurders; gereguleerd";2023;-6.0;-6.7
29;"Overige verhuurders; gereguleerd";2024;1.2;0.7
