ID;Geslacht;Leeftijd;TypeInstelling;Behandelsetting;Diagnose;Perioden;AantalPatienten_1;AantalPatientenPer100000Inwoners_2;AantalPatienten_3;AantalPatientenPer100000Inwoners_4
0;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle instellingen;Totaal alle behandelsettings;Totaal alle diagnoses;2008;9578900.0;58246.0;8397105.0;51060.0
1;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle instellingen;Totaal alle behandelsettings;Totaal alle diagnoses;2009;9882065.0;59781.0;8668240.0;52438.0
2;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle instellingen;Totaal alle behandelsettings;Totaal alle diagnoses;2010;10122230.0;60921.0;8893285.0;53524.0
3;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle instellingen;Totaal alle behandelsettings;Totaal alle diagnoses;2011;;;9381610.0;56201.0
4;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle instellingen;Totaal alle behandelsettings;OG Totaal oogheelkunde;2008;1704135.0;10362.0;1469315.0;8934.0
5;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle instellingen;Totaal alle behandelsettings;OG Totaal oogheelkunde;2009;1665700.0;10077.0;1436045.0;8687.0
6;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle instellingen;Totaal alle behandelsettings;OG Totaal oogheelkunde;2010;1700970.0;10237.0;1454635.0;8755.0
7;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle instellingen;Totaal alle behandelsettings;OG Totaal oogheelkunde;2011;;;1540480.0;9228.0
8;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle instellingen;Totaal alle behandelsettings;OG1 Totaal geen pathologie;2008;145580.0;885.0;132010.0;803.0
9;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle instellingen;Totaal alle behandelsettings;OG1 Totaal geen pathologie;2009;159735.0;966.0;144000.0;871.0
10;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle instellingen;Totaal alle behandelsettings;OG1 Totaal geen pathologie;2010;178315.0;1073.0;159775.0;962.0
11;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle instellingen;Totaal alle behandelsettings;OG1 Totaal geen pathologie;2011;;;185855.0;1113.0
12;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle instellingen;Totaal alle behandelsettings;OG2 Totaal visus/refractie;2008;245245.0;1491.0;208950.0;1271.0
13;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle instellingen;Totaal alle behandelsettings;OG2 Totaal visus/refractie;2009;223135.0;1350.0;186025.0;1125.0
14;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle instellingen;Totaal alle behandelsettings;OG2 Totaal visus/refractie;2010;227545.0;1369.0;188625.0;1135.0
15;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle instellingen;Totaal alle behandelsettings;OG2 Totaal visus/refractie;2011;;;190960.0;1144.0
16;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle instellingen;Totaal alle behandelsettings;OG3 Totaal scheelzien/bin.functie;2008;67120.0;408.0;50315.0;306.0
17;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle instellingen;Totaal alle behandelsettings;OG3 Totaal scheelzien/bin.functie;2009;66115.0;400.0;49920.0;302.0
18;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle instellingen;Totaal alle behandelsettings;OG3 Totaal scheelzien/bin.functie;2010;67395.0;406.0;50470.0;304.0
19;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle instellingen;Totaal alle behandelsettings;OG3 Totaal scheelzien/bin.functie;2011;;;53275.0;319.0
20;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle instellingen;Totaal alle behandelsettings;OG4 Totaal oogleden;2008;88160.0;536.0;74540.0;453.0
21;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle instellingen;Totaal alle behandelsettings;OG4 Totaal oogleden;2009;86470.0;523.0;73375.0;444.0
22;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle instellingen;Totaal alle behandelsettings;OG4 Totaal oogleden;2010;90305.0;544.0;76000.0;457.0
23;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle instellingen;Totaal alle behandelsettings;OG4 Totaal oogleden;2011;;;82220.0;493.0
24;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle instellingen;Totaal alle behandelsettings;OG5 Totaal traanwegen;2008;17325.0;105.0;14135.0;86.0
25;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle instellingen;Totaal alle behandelsettings;OG5 Totaal traanwegen;2009;17280.0;105.0;14195.0;86.0
26;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle instellingen;Totaal alle behandelsettings;OG5 Totaal traanwegen;2010;17795.0;107.0;14420.0;87.0
27;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle instellingen;Totaal alle behandelsettings;OG5 Totaal traanwegen;2011;;;15360.0;92.0
28;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle instellingen;Totaal alle behandelsettings;OG6 Totaal oogkas;2008;10505.0;64.0;7980.0;49.0
29;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle instellingen;Totaal alle behandelsettings;OG6 Totaal oogkas;2009;10125.0;61.0;7685.0;47.0
30;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle instellingen;Totaal alle behandelsettings;OG6 Totaal oogkas;2010;10540.0;63.0;7805.0;47.0
31;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle instellingen;Totaal alle behandelsettings;OG6 Totaal oogkas;2011;;;8030.0;48.0
