ID;KenmerkenArbeidsongeval;Marges;Perioden;Arbeidsongeval4DagenVerzuimOfMeer_1
0;Totaal;Waarde;2014;88.0
1;Totaal;Waarde;2015;73.0
2;Totaal;Waarde;2016;81.0
3;Totaal;Waarde;2017;93.0
4;Totaal;Waarde;2018;91.0
5;Totaal;Waarde;2019;93.0
6;Totaal;Waarde;2020;77.0
7;Totaal;Waarde;2021;82.0
8;Totaal;Waarde;2022;85.0
9;Totaal;Waarde;2023;85.0
10;Totaal;Ondergrens 95%-interval;2014;80.0
11;Totaal;Ondergrens 95%-interval;2015;66.0
12;Totaal;Ondergrens 95%-interval;2016;74.0
13;Totaal;Ondergrens 95%-interval;2017;86.0
14;Totaal;Ondergrens 95%-interval;2018;85.0
15;Totaal;Ondergrens 95%-interval;2019;86.0
16;Totaal;Ondergrens 95%-interval;2020;71.0
17;Totaal;Ondergrens 95%-interval;2021;76.0
18;Totaal;Ondergrens 95%-interval;2022;78.0
19;Totaal;Ondergrens 95%-interval;2023;78.0
20;Totaal;Bovengrens 95%-interval;2014;96.0
21;Totaal;Bovengrens 95%-interval;2015;80.0
22;Totaal;Bovengrens 95%-interval;2016;89.0
23;Totaal;Bovengrens 95%-interval;2017;102.0
24;Totaal;Bovengrens 95%-interval;2018;98.0
25;Totaal;Bovengrens 95%-interval;2019;100.0
26;Totaal;Bovengrens 95%-interval;2020;83.0
27;Totaal;Bovengrens 95%-interval;2021;90.0
28;Totaal;Bovengrens 95%-interval;2022;92.0
29;Totaal;Bovengrens 95%-interval;2023;92.0
30;Oorzaak: ergens aan gesneden of gestoten;Waarde;2014;
31;Oorzaak: ergens aan gesneden of gestoten;Waarde;2015;
32;Oorzaak: ergens aan gesneden of gestoten;Waarde;2016;
33;Oorzaak: ergens aan gesneden of gestoten;Waarde;2017;8.0
34;Oorzaak: ergens aan gesneden of gestoten;Waarde;2018;7.0
35;Oorzaak: ergens aan gesneden of gestoten;Waarde;2019;6.0
36;Oorzaak: ergens aan gesneden of gestoten;Waarde;2020;6.0
37;Oorzaak: ergens aan gesneden of gestoten;Waarde;2021;5.0
38;Oorzaak: ergens aan gesneden of gestoten;Waarde;2022;5.0
39;Oorzaak: ergens aan gesneden of gestoten;Waarde;2023;7.0
40;Oorzaak: ergens aan gesneden of gestoten;Ondergrens 95%-interval;2014;
