ID;PersonalCharacteristics;Accuracy;CaribbeanNetherlands;Periods;VictimsTotal_1;VictimsOfViolentCrimes_2;VictimsOfVandalism_3;TotalTheft_4;AttemptedBurglary_5;CarTheft_6;TheftOfOtherVehicles_7;AttemptedPickpocketing_8;OtherTheft_9
0;Total persons;Percentage/average;Caribbean Netherlands ;2013;16.7;2.9;4.4;13.2;5.1;1.8;1.2;3.4;6.4
1;Total persons;Percentage/average;Caribbean Netherlands ;2017/2018;8.8;1.6;1.6;6.8;2.8;0.5;0.6;1.6;2.6
2;Total persons;Percentage/average;Bonaire;2013;16.9;2.3;4.0;14.7;5.8;2.4;1.6;3.5;7.2
3;Total persons;Percentage/average;Bonaire;2017/2018;9.8;1.0;1.5;8.4;4.0;0.8;;1.8;3.2
4;Total persons;Percentage/average;St. Eustatius;2013;15.0;3.8;7.9;7.1;;;;;4.4
5;Total persons;Percentage/average;St. Eustatius;2017/2018;5.0;1.3;;3.5;;;1.3;;1.7
6;Total persons;Percentage/average;Saba;2013;19.1;6.4;;12.7;5.6;;;4.7;3.5
7;Total persons;Percentage/average;Saba;2017/2018;10.7;4.2;2.9;5.2;;;;2.4;2.0
8;Total persons;Reliability margin;Caribbean Netherlands ;2013;2.2;1.0;1.2;2.0;1.3;0.8;0.6;1.1;1.5
9;Total persons;Reliability margin;Caribbean Netherlands ;2017/2018;1.4;0.6;0.6;1.2;0.8;0.3;0.4;0.6;0.8
10;Total persons;Reliability margin;Bonaire;2013;2.6;1.0;1.4;2.5;1.6;1.1;0.9;1.3;1.8
11;Total persons;Reliability margin;Bonaire;2017/2018;1.8;0.6;0.7;1.7;1.2;0.5;;0.8;1.1
12;Total persons;Reliability margin;St. Eustatius;2013;6.1;3.2;4.6;4.4;;;;;3.5
13;Total persons;Reliability margin;St. Eustatius;2017/2018;2.2;1.1;;1.8;;;1.1;;1.3
14;Total persons;Reliability margin;Saba;2013;6.3;4.0;;5.4;3.7;;;3.4;3.0
15;Total persons;Reliability margin;Saba;2017/2018;3.8;2.5;2.1;2.7;;;;1.9;1.7
16;Sex: male;Percentage/average;Caribbean Netherlands ;2013;17.4;3.2;5.1;13.0;5.6;2.5;1.5;3.1;6.5
17;Sex: male;Percentage/average;Caribbean Netherlands ;2017/2018;9.5;1.9;1.3;7.5;3.2;;;2.5;2.2
18;Sex: male;Percentage/average;Bonaire;2013;17.4;2.6;3.5;14.7;6.3;3.3;2.0;3.8;7.1
19;Sex: male;Percentage/average;Bonaire;2017/2018;10.5;1.5;0.9;9.2;4.8;;;2.4;2.8
20;Sex: male;Percentage/average;St. Eustatius;2013;17.2;;12.2;8.1;;;;;5.7
21;Sex: male;Percentage/average;St. Eustatius;2017/2018;4.0;;;2.8;;;;;
22;Sex: male;Percentage/average;Saba;2013;18.0;7.7;;9.0;6.0;;;;
23;Sex: male;Percentage/average;Saba;2017/2018;14.1;4.6;3.1;8.2;;;;4.7;
24;Sex: male;Reliability margin;Caribbean Netherlands ;2013;3.1;1.5;1.8;2.8;1.9;1.3;1.0;1.4;2.0
25;Sex: male;Reliability margin;Caribbean Netherlands ;2017/2018;2.0;0.9;0.8;1.8;1.2;;;1.0;1.0
26;Sex: male;Reliability margin;Bonaire;2013;3.6;1.5;1.8;3.4;2.4;1.7;1.4;1.8;2.5
27;Sex: male;Reliability margin;Bonaire;2017/2018;2.6;1.1;0.8;2.5;1.8;;;1.3;1.4
28;Sex: male;Reliability margin;St. Eustatius;2013;8.6;;7.4;6.2;;;;;5.3
29;Sex: male;Reliability margin;St. Eustatius;2017/2018;2.7;;;2.3;;;;;
30;Sex: male;Reliability margin;Saba;2013;8.8;6.1;;6.5;5.4;;;;
31;Sex: male;Reliability margin;Saba;2017/2018;6.1;3.7;3.0;4.8;;;;3.7;
32;Sex: female;Percentage/average;Caribbean Netherlands ;2013;16.0;2.6;3.7;13.5;4.5;0.9;0.9;3.8;6.2
33;Sex: female;Percentage/average;Caribbean Netherlands ;2017/2018;8.1;1.3;1.9;6.0;2.3;0.6;0.6;0.8;3.1
34;Sex: female;Percentage/average;Bonaire;2013;16.3;1.9;4.4;14.7;5.2;1.3;1.2;3.2;7.2
35;Sex: female;Percentage/average;Bonaire;2017/2018;9.1;;2.1;7.7;3.1;1.0;;1.1;3.6
36;Sex: female;Percentage/average;St. Eustatius;2013;12.2;;;;;;;;
37;Sex: female;Percentage/average;St. Eustatius;2017/2018;6.1;;;4.2;;;;;3.1
38;Sex: female;Percentage/average;Saba;2013;20.1;5.2;;16.3;5.3;;;9.3;
39;Sex: female;Percentage/average;Saba;2017/2018;7.3;3.8;;;;;;;
40;Sex: female;Reliability margin;Caribbean Netherlands ;2013;3.2;1.4;1.7;3.0;1.8;0.8;0.8;1.7;2.1
41;Sex: female;Reliability margin;Caribbean Netherlands ;2017/2018;1.9;0.8;1.0;1.6;1.1;0.5;0.5;0.6;1.2
42;Sex: female;Reliability margin;Bonaire;2013;3.8;1.4;2.1;3.6;2.3;1.1;1.1;1.8;2.6
43;Sex: female;Reliability margin;Bonaire;2017/2018;2.6;;1.3;2.4;1.5;0.9;;0.9;1.7
44;Sex: female;Reliability margin;St. Eustatius;2013;8.4;;;;;;;;
45;Sex: female;Reliability margin;St. Eustatius;2017/2018;3.4;;;2.9;;;;;2.5
46;Sex: female;Reliability margin;Saba;2013;9.2;5.1;;8.4;5.1;;;6.6;
47;Sex: female;Reliability margin;Saba;2017/2018;4.6;3.3;;;;;;;
48;Age: 15 to 44 years;Percentage/average;Caribbean Netherlands ;2013;17.5;3.2;4.0;14.4;5.1;1.6;1.6;4.2;7.0
49;Age: 15 to 44 years;Percentage/average;Caribbean Netherlands ;2017/2018;9.8;1.8;1.6;7.4;2.5;;0.6;2.5;3.4
50;Age: 15 to 44 years;Percentage/average;Bonaire;2013;19.2;2.6;4.0;16.8;5.6;2.2;2.2;4.3;8.8
51;Age: 15 to 44 years;Percentage/average;Bonaire;2017/2018;10.7;1.1;1.3;9.3;3.7;;;2.6;4.1
52;Age: 15 to 44 years;Percentage/average;St. Eustatius;2013;10.2;;;6.3;;;;;
53;Age: 15 to 44 years;Percentage/average;St. Eustatius;2017/2018;;;;;;;;;
54;Age: 15 to 44 years;Percentage/average;Saba;2013;17.5;6.3;;11.2;5.1;;;6.2;
55;Age: 15 to 44 years;Percentage/average;Saba;2017/2018;11.6;3.6;;5.7;;;;3.3;
56;Age: 15 to 44 years;Reliability margin;Caribbean Netherlands ;2013;3.2;1.5;1.6;2.9;1.8;1.1;1.0;1.7;2.1
57;Age: 15 to 44 years;Reliability margin;Caribbean Netherlands ;2017/2018;2.1;0.9;0.9;1.8;1.1;;0.5;1.1;1.3
58;Age: 15 to 44 years;Reliability margin;Bonaire;2013;3.9;1.6;1.9;3.7;2.3;1.5;1.5;2.0;2.8
59;Age: 15 to 44 years;Reliability margin;Bonaire;2017/2018;2.8;0.9;1.0;2.6;1.7;;;1.4;1.8
60;Age: 15 to 44 years;Reliability margin;St. Eustatius;2013;7.2;;;5.8;;;;;
61;Age: 15 to 44 years;Reliability margin;St. Eustatius;2017/2018;;;;;;;;;
62;Age: 15 to 44 years;Reliability margin;Saba;2013;7.7;4.9;;6.4;4.4;;;4.9;
63;Age: 15 to 44 years;Reliability margin;Saba;2017/2018;5.2;3.0;;3.8;;;;2.9;
64;Age: 45 years or older;Percentage/average;Caribbean Netherlands ;2013;16.0;2.6;4.9;12.0;5.1;1.9;0.8;2.6;5.7
65;Age: 45 years or older;Percentage/average;Caribbean Netherlands ;2017/2018;7.9;1.4;1.6;6.2;3.1;;;0.9;1.9
66;Age: 45 years or older;Percentage/average;Bonaire;2013;14.6;2.0;4.0;12.6;6.0;2.5;1.1;2.7;5.6
67;Age: 45 years or older;Percentage/average;Bonaire;2017/2018;9.1;1.0;1.6;7.6;4.2;0.9;;1.0;2.3
68;Age: 45 years or older;Percentage/average;St. Eustatius;2013;20.0;;11.1;7.8;;;;;5.9
69;Age: 45 years or older;Percentage/average;St. Eustatius;2017/2018;4.1;;;3.2;;;;;
70;Age: 45 years or older;Percentage/average;Saba;2013;21.8;6.7;;15.1;6.6;;;;6.6
71;Age: 45 years or older;Percentage/average;Saba;2017/2018;9.6;5.0;3.8;4.5;;;;;
72;Age: 45 years or older;Reliability margin;Caribbean Netherlands ;2013;3.2;1.4;1.9;2.8;1.9;1.2;0.8;1.4;2.0
73;Age: 45 years or older;Reliability margin;Caribbean Netherlands ;2017/2018;1.8;0.8;0.9;1.6;1.2;;;0.6;0.9
74;Age: 45 years or older;Reliability margin;Bonaire;2013;3.5;1.4;1.9;3.3;2.4;1.5;1.0;1.6;2.3
75;Age: 45 years or older;Reliability margin;Bonaire;2017/2018;2.5;0.8;1.1;2.3;1.7;0.8;;0.8;1.3
76;Age: 45 years or older;Reliability margin;St. Eustatius;2013;9.8;;7.7;6.5;;;;;5.7
77;Age: 45 years or older;Reliability margin;St. Eustatius;2017/2018;2.7;;;2.4;;;;;
78;Age: 45 years or older;Reliability margin;Saba;2013;11.1;6.7;;9.6;6.6;;;;6.6
79;Age: 45 years or older;Reliability margin;Saba;2017/2018;5.6;4.1;3.6;3.9;;;;;
80;Age: 15 to 24 years;Percentage/average;Caribbean Netherlands ;2013;19.8;4.1;3.2;14.4;5.5;;;7.3;5.8
81;Age: 15 to 24 years;Percentage/average;Caribbean Netherlands ;2017/2018;12.0;1.9;;10.6;2.3;;;4.6;5.3
82;Age: 15 to 24 years;Percentage/average;Bonaire;2013;20.8;;;16.5;6.8;;;7.2;7.2
83;Age: 15 to 24 years;Percentage/average;Bonaire;2017/2018;11.8;;;11.1;3.9;;;4.4;4.8
84;Age: 15 to 24 years;Percentage/average;St. Eustatius;2013;;;;;;;;;
85;Age: 15 to 24 years;Percentage/average;St. Eustatius;2017/2018;10.8;;;10.8;;;;;
86;Age: 15 to 24 years;Percentage/average;Saba;2013;;;;;;;;;
87;Age: 15 to 24 years;Percentage/average;Saba;2017/2018;;;;;;;;;
88;Age: 15 to 24 years;Reliability margin;Caribbean Netherlands ;2013;6.1;3.0;2.7;5.4;3.5;;;4.0;3.6
89;Age: 15 to 24 years;Reliability margin;Caribbean Netherlands ;2017/2018;4.2;1.8;;4.0;1.9;;;2.7;2.9
90;Age: 15 to 24 years;Reliability margin;Bonaire;2013;7.6;;;7.0;4.7;;;4.8;4.8
91;Age: 15 to 24 years;Reliability margin;Bonaire;2017/2018;5.5;;;5.3;3.3;;;3.5;3.6
92;Age: 15 to 24 years;Reliability margin;St. Eustatius;2013;;;;;;;;;
93;Age: 15 to 24 years;Reliability margin;St. Eustatius;2017/2018;9.0;;;9.0;;;;;
94;Age: 15 to 24 years;Reliability margin;Saba;2013;;;;;;;;;
95;Age: 15 to 24 years;Reliability margin;Saba;2017/2018;;;;;;;;;
96;Age: 25 to 44 years;Percentage/average;Caribbean Netherlands ;2013;16.5;2.8;4.3;14.4;4.9;1.9;1.5;2.8;7.5
97;Age: 25 to 44 years;Percentage/average;Caribbean Netherlands ;2017/2018;8.9;1.8;1.8;6.2;2.6;;;1.6;2.6
98;Age: 25 to 44 years;Percentage/average;Bonaire;2013;18.5;2.3;4.6;16.9;5.1;2.6;2.0;3.2;9.4
99;Age: 25 to 44 years;Percentage/average;Bonaire;2017/2018;10.3;1.3;1.5;8.6;3.6;;;1.9;3.8
100;Age: 25 to 44 years;Percentage/average;St. Eustatius;2013;;;;;;;;;
101;Age: 25 to 44 years;Percentage/average;St. Eustatius;2017/2018;4.4;;;;;;;;
102;Age: 25 to 44 years;Percentage/average;Saba;2013;;;;;;;;;
103;Age: 25 to 44 years;Percentage/average;Saba;2017/2018;10.4;4.1;;;;;;;
104;Age: 25 to 44 years;Reliability margin;Caribbean Netherlands ;2013;3.7;1.7;2.0;3.5;2.2;1.4;1.2;1.7;2.6
105;Age: 25 to 44 years;Reliability margin;Caribbean Netherlands ;2017/2018;2.3;1.1;1.1;2.0;1.3;;;1.0;1.3
106;Age: 25 to 44 years;Reliability margin;Bonaire;2013;4.6;1.8;2.5;4.4;2.6;1.9;1.7;2.1;3.4
107;Age: 25 to 44 years;Reliability margin;Bonaire;2017/2018;3.2;1.2;1.3;3.0;2.0;;;1.4;2.0
108;Age: 25 to 44 years;Reliability margin;St. Eustatius;2013;;;;;;;;;
109;Age: 25 to 44 years;Reliability margin;St. Eustatius;2017/2018;3.4;;;;;;;;
110;Age: 25 to 44 years;Reliability margin;Saba;2013;;;;;;;;;
111;Age: 25 to 44 years;Reliability margin;Saba;2017/2018;6.2;4.0;;;;;;;
112;Age: 45 to 64 years;Percentage/average;Caribbean Netherlands ;2013;17.1;3.0;5.4;12.4;5.0;1.9;;3.1;6.0
113;Age: 45 to 64 years;Percentage/average;Caribbean Netherlands ;2017/2018;8.8;1.6;1.7;7.1;3.6;0.8;;1.2;2.0
114;Age: 45 to 64 years;Percentage/average;Bonaire;2013;15.5;2.2;3.9;13.3;6.0;2.5;;3.6;6.0
115;Age: 45 to 64 years;Percentage/average;Bonaire;2017/2018;10.2;;1.5;8.9;5.0;1.2;;1.4;2.4
116;Age: 45 to 64 years;Percentage/average;St. Eustatius;2013;;;;;;;;;
117;Age: 45 to 64 years;Percentage/average;St. Eustatius;2017/2018;5.0;;;4.4;;;;;
118;Age: 45 to 64 years;Percentage/average;Saba;2013;20.2;;;13.4;;;;;
119;Age: 45 to 64 years;Percentage/average;Saba;2017/2018;8.9;6.9;;;;;;;
120;Age: 45 to 64 years;Reliability margin;Caribbean Netherlands ;2013;3.8;1.7;2.3;3.3;2.2;1.4;;1.7;2.4
121;Age: 45 to 64 years;Reliability margin;Caribbean Netherlands ;2017/2018;2.3;1.0;1.0;2.1;1.5;0.7;;0.9;1.1
122;Age: 45 to 64 years;Reliability margin;Bonaire;2013;4.2;1.7;2.2;3.9;2.7;1.8;;2.1;2.7
123;Age: 45 to 64 years;Reliability margin;Bonaire;2017/2018;3.0;;1.2;2.9;2.2;1.1;;1.2;1.5
124;Age: 45 to 64 years;Reliability margin;St. Eustatius;2013;;;;;;;;;
125;Age: 45 to 64 years;Reliability margin;St. Eustatius;2017/2018;3.6;;;3.4;;;;;
126;Age: 45 to 64 years;Reliability margin;Saba;2013;13.1;;;11.2;;;;;
127;Age: 45 to 64 years;Reliability margin;Saba;2017/2018;6.6;5.8;;;;;;;
128;Age: 65 years or older;Percentage/average;Caribbean Netherlands ;2013;12.9;;3.6;10.9;5.4;;;;4.7
129;Age: 65 years or older;Percentage/average;Caribbean Netherlands ;2017/2018;5.8;;;3.7;1.9;;;;1.8
130;Age: 65 years or older;Percentage/average;Bonaire;2013;12.0;;4.1;10.8;5.9;;;;4.5
131;Age: 65 years or older;Percentage/average;Bonaire;2017/2018;6.2;;;4.4;;;;;
132;Age: 65 years or older;Percentage/average;St. Eustatius;2013;;;;;;;;;
133;Age: 65 years or older;Percentage/average;St. Eustatius;2017/2018;;;;;;;;;
134;Age: 65 years or older;Percentage/average;Saba;2013;;;;;;;;;
135;Age: 65 years or older;Percentage/average;Saba;2017/2018;11.0;;;;;;;;
136;Age: 65 years or older;Reliability margin;Caribbean Netherlands ;2013;5.7;;3.2;5.3;3.8;;;;3.6
137;Age: 65 years or older;Reliability margin;Caribbean Netherlands ;2017/2018;3.0;;;2.4;1.7;;;;1.7
138;Age: 65 years or older;Reliability margin;Bonaire;2013;6.4;;3.9;6.1;4.6;;;;4.1
139;Age: 65 years or older;Reliability margin;Bonaire;2017/2018;3.9;;;3.4;;;;;
140;Age: 65 years or older;Reliability margin;St. Eustatius;2013;;;;;;;;;
141;Age: 65 years or older;Reliability margin;St. Eustatius;2017/2018;;;;;;;;;
142;Age: 65 years or older;Reliability margin;Saba;2013;;;;;;;;;
143;Age: 65 years or older;Reliability margin;Saba;2017/2018;10.5;;;;;;;;
144;Level of education: Low;Percentage/average;Caribbean Netherlands ;2013;14.3;2.9;2.9;10.7;3.9;2.1;0.7;3.4;4.5
145;Level of education: Low;Percentage/average;Caribbean Netherlands ;2017/2018;7.2;1.3;1.2;5.8;2.9;0.5;;1.2;2.0
146;Level of education: Low;Percentage/average;Bonaire;2013;13.9;2.2;2.2;11.7;4.2;2.8;1.0;3.3;5.0
147;Level of education: Low;Percentage/average;Bonaire;2017/2018;8.3;;0.9;7.5;4.3;0.8;;1.6;2.4
148;Level of education: Low;Percentage/average;St. Eustatius;2013;12.5;;5.4;6.4;;;;;
149;Level of education: Low;Percentage/average;St. Eustatius;2017/2018;3.2;;;2.5;;;;;
150;Level of education: Low;Percentage/average;Saba;2013;22.4;9.4;;11.5;;;;6.4;
151;Level of education: Low;Percentage/average;Saba;2017/2018;11.5;5.7;5.0;4.6;;;;;
152;Level of education: Low;Reliability margin;Caribbean Netherlands ;2013;2.8;1.4;1.4;2.5;1.6;1.2;0.7;1.5;1.7
153;Level of education: Low;Reliability margin;Caribbean Netherlands ;2017/2018;1.7;0.7;0.7;1.5;1.1;0.4;;0.7;0.9
154;Level of education: Low;Reliability margin;Bonaire;2013;3.3;1.4;1.4;3.0;1.9;1.6;0.9;1.7;2.1
155;Level of education: Low;Reliability margin;Bonaire;2017/2018;2.3;;0.8;2.2;1.7;0.7;;1.1;1.3
156;Level of education: Low;Reliability margin;St. Eustatius;2013;7.2;;4.9;5.3;;;;;
157;Level of education: Low;Reliability margin;St. Eustatius;2017/2018;2.2;;;1.9;;;;;
158;Level of education: Low;Reliability margin;Saba;2013;10.2;7.1;;7.8;;;;6.0;
159;Level of education: Low;Reliability margin;Saba;2017/2018;6.1;4.4;4.2;4.0;;;;;
160;Level of education: Intermediate/High;Percentage/average;Caribbean Netherlands ;2013;20.1;3.0;6.5;16.6;6.5;1.4;1.8;3.4;8.9
161;Level of education: Intermediate/High;Percentage/average;Caribbean Netherlands ;2017/2018;10.9;1.9;2.1;8.1;2.8;0.6;0.8;2.1;3.5
162;Level of education: Intermediate/High;Percentage/average;Bonaire;2013;20.5;2.4;6.3;18.4;7.6;1.8;2.5;3.7;9.9
163;Level of education: Intermediate/High;Percentage/average;Bonaire;2017/2018;8.3;;0.9;7.5;4.3;0.8;;1.6;2.4
164;Level of education: Intermediate/High;Percentage/average;St. Eustatius;2013;;;;;;;;;
165;Level of education: Intermediate/High;Percentage/average;St. Eustatius;2017/2018;8.3;;;5.0;;;;;3.7
166;Level of education: Intermediate/High;Percentage/average;Saba;2013;16.4;;;13.6;6.9;;;;5.4
167;Level of education: Intermediate/High;Percentage/average;Saba;2017/2018;9.6;;;5.6;;;;3.5;
168;Level of education: Intermediate/High;Reliability margin;Caribbean Netherlands ;2013;3.6;1.5;2.2;3.4;2.3;1.1;1.2;1.6;2.6
169;Level of education: Intermediate/High;Reliability margin;Caribbean Netherlands ;2017/2018;2.3;1.0;1.0;2.0;1.2;0.5;0.6;1.1;1.3
170;Level of education: Intermediate/High;Reliability margin;Bonaire;2013;4.3;1.6;2.6;4.1;2.8;1.4;1.6;2.0;3.2
171;Level of education: Intermediate/High;Reliability margin;Bonaire;2017/2018;2.3;;0.8;2.2;1.7;0.7;;1.1;1.3
172;Level of education: Intermediate/High;Reliability margin;St. Eustatius;2013;;;;;;;;;
173;Level of education: Intermediate/High;Reliability margin;St. Eustatius;2017/2018;4.8;;;3.8;;;;;3.3
174;Level of education: Intermediate/High;Reliability margin;Saba;2013;8.0;;;7.4;5.5;;;;4.9
175;Level of education: Intermediate/High;Reliability margin;Saba;2017/2018;4.8;;;3.7;;;;3.0;
176;Level of education: Intermediate;Percentage/average;Caribbean Netherlands ;2013;20.1;3.9;7.0;16.5;7.1;;2.4;3.6;8.6
177;Level of education: Intermediate;Percentage/average;Caribbean Netherlands ;2017/2018;11.8;2.0;2.2;9.2;3.0;;1.3;2.0;4.2
178;Level of education: Intermediate;Percentage/average;Bonaire;2013;19.5;3.0;6.8;17.7;8.3;;3.0;3.6;9.2
179;Level of education: Intermediate;Percentage/average;Bonaire;2017/2018;13.3;2.2;1.8;11.5;3.7;1.5;;2.3;5.0
180;Level of education: Intermediate;Percentage/average;St. Eustatius;2013;;;;;;;;;
181;Level of education: Intermediate;Percentage/average;St. Eustatius;2017/2018;8.1;;;5.3;;;;;
182;Level of education: Intermediate;Percentage/average;Saba;2013;;;;;;;;;
