ID;Geslacht;Leeftijd;Onderwijsniveau;Onderwijsrichting;Perioden;Bevolking_1
0;Totaal mannen en vrouwen;15 tot 90 jaar;Totaal;Totaal;2013 1e kwartaal;13670.0
1;Totaal mannen en vrouwen;15 tot 90 jaar;Totaal;Totaal;2013 2e kwartaal;13690.0
2;Totaal mannen en vrouwen;15 tot 90 jaar;Totaal;Totaal;2013 3e kwartaal;13710.0
3;Totaal mannen en vrouwen;15 tot 90 jaar;Totaal;Totaal;2013 4e kwartaal;13727.0
4;Totaal mannen en vrouwen;15 tot 90 jaar;Totaal;Totaal;2013;13699.0
5;Totaal mannen en vrouwen;15 tot 90 jaar;Totaal;Totaal;2014 1e kwartaal;13744.0
6;Totaal mannen en vrouwen;15 tot 90 jaar;Totaal;Totaal;2014 2e kwartaal;13755.0
7;Totaal mannen en vrouwen;15 tot 90 jaar;Totaal;Totaal;2014 3e kwartaal;13759.0
8;Totaal mannen en vrouwen;15 tot 90 jaar;Totaal;Totaal;2014 4e kwartaal;13768.0
9;Totaal mannen en vrouwen;15 tot 90 jaar;Totaal;Totaal;2014;13756.0
10;Totaal mannen en vrouwen;15 tot 90 jaar;Totaal;Totaal;2015 1e kwartaal;13784.0
11;Totaal mannen en vrouwen;15 tot 90 jaar;Totaal;Totaal;2015 2e kwartaal;13798.0
12;Totaal mannen en vrouwen;15 tot 90 jaar;Totaal;Totaal;2015 3e kwartaal;13818.0
13;Totaal mannen en vrouwen;15 tot 90 jaar;Totaal;Totaal;2015 4e kwartaal;13842.0
14;Totaal mannen en vrouwen;15 tot 90 jaar;Totaal;Totaal;2015;13810.0
15;Totaal mannen en vrouwen;15 tot 90 jaar;Totaal;Totaal;2016 1e kwartaal;13873.0
16;Totaal mannen en vrouwen;15 tot 90 jaar;Totaal;Totaal;2016 2e kwartaal;13921.0
17;Totaal mannen en vrouwen;15 tot 90 jaar;Totaal;Totaal;2016 3e kwartaal;13958.0
18;Totaal mannen en vrouwen;15 tot 90 jaar;Totaal;Totaal;2016 4e kwartaal;13997.0
19;Totaal mannen en vrouwen;15 tot 90 jaar;Totaal;Totaal;2016;13937.0
20;Totaal mannen en vrouwen;15 tot 90 jaar;Totaal;Totaal;2017 1e kwartaal;14026.0
21;Totaal mannen en vrouwen;15 tot 90 jaar;Totaal;Totaal;2017 2e kwartaal;14047.0
22;Totaal mannen en vrouwen;15 tot 90 jaar;Totaal;Totaal;2017 3e kwartaal;14068.0
