ID;OwnerOrTenant;HouseholdCharacteristics;DwellingCharacteristics;Accuracy;Periods;TotalHousingCosts_1;NetRentOrMortgage_2;AdditionalHousingCosts_3;HousingCostRatio_4;NonSkewedRent_5;SkewedTowardsCheapRent_6;SkewedTowardsExpensiveRent_7
0;Total;Age head of household: younger than 35;Dwelling: 1st 25%-group WOZ;Value;2012;586.0;423.0;163.0;39.2;;;
1;Total;Age head of household: younger than 35;Dwelling: 1st 25%-group WOZ;Value;2015;592.0;430.0;161.0;41.7;;;
2;Total;Age head of household: younger than 35;Dwelling: 1st 25%-group WOZ;Value;2018;595.0;432.0;163.0;40.9;;;
3;Total;Age head of household: younger than 35;Dwelling: 1st 25%-group WOZ;Value;2021;629.0;485.0;144.0;38.9;;;
4;Total;Age head of household: younger than 35;Dwelling: 1st 25%-group WOZ;Lower bound 95% confidence interval;2012;576.0;414.0;160.0;38.2;;;
5;Total;Age head of household: younger than 35;Dwelling: 1st 25%-group WOZ;Lower bound 95% confidence interval;2015;583.0;422.0;160.0;40.7;;;
6;Total;Age head of household: younger than 35;Dwelling: 1st 25%-group WOZ;Lower bound 95% confidence interval;2018;586.0;423.0;161.0;39.8;;;
7;Total;Age head of household: younger than 35;Dwelling: 1st 25%-group WOZ;Lower bound 95% confidence interval;2021;617.0;474.0;142.0;37.7;;;
8;Total;Age head of household: younger than 35;Dwelling: 1st 25%-group WOZ;Upper bound 95% confidence interval;2012;596.0;433.0;165.0;40.1;;;
9;Total;Age head of household: younger than 35;Dwelling: 1st 25%-group WOZ;Upper bound 95% confidence interval;2015;600.0;438.0;163.0;42.7;;;
10;Total;Age head of household: younger than 35;Dwelling: 1st 25%-group WOZ;Upper bound 95% confidence interval;2018;604.0;440.0;165.0;42.0;;;
11;Total;Age head of household: younger than 35;Dwelling: 1st 25%-group WOZ;Upper bound 95% confidence interval;2021;641.0;497.0;146.0;40.1;;;
12;Total;Age head of household: younger than 35;Dwelling: 2nd 25%-group WOZ;Value;2012;796.0;612.0;184.0;36.0;;;
13;Total;Age head of household: younger than 35;Dwelling: 2nd 25%-group WOZ;Value;2015;794.0;617.0;177.0;36.6;;;
14;Total;Age head of household: younger than 35;Dwelling: 2nd 25%-group WOZ;Value;2018;816.0;633.0;182.0;34.0;;;
15;Total;Age head of household: younger than 35;Dwelling: 2nd 25%-group WOZ;Value;2021;858.0;693.0;165.0;32.2;;;
16;Total;Age head of household: younger than 35;Dwelling: 2nd 25%-group WOZ;Lower bound 95% confidence interval;2012;782.0;599.0;181.0;35.0;;;
17;Total;Age head of household: younger than 35;Dwelling: 2nd 25%-group WOZ;Lower bound 95% confidence interval;2015;778.0;602.0;174.0;35.5;;;
18;Total;Age head of household: younger than 35;Dwelling: 2nd 25%-group WOZ;Lower bound 95% confidence interval;2018;802.0;620.0;180.0;33.0;;;
19;Total;Age head of household: younger than 35;Dwelling: 2nd 25%-group WOZ;Lower bound 95% confidence interval;2021;841.0;677.0;162.0;31.1;;;
20;Total;Age head of household: younger than 35;Dwelling: 2nd 25%-group WOZ;Upper bound 95% confidence interval;2012;811.0;626.0;187.0;37.0;;;
21;Total;Age head of household: younger than 35;Dwelling: 2nd 25%-group WOZ;Upper bound 95% confidence interval;2015;810.0;633.0;180.0;37.7;;;
22;Total;Age head of household: younger than 35;Dwelling: 2nd 25%-group WOZ;Upper bound 95% confidence interval;2018;830.0;647.0;185.0;35.1;;;
23;Total;Age head of household: younger than 35;Dwelling: 2nd 25%-group WOZ;Upper bound 95% confidence interval;2021;875.0;710.0;168.0;33.4;;;
24;Total;Age head of household: younger than 35;Dwellings: 3rd 25%-group WOZ;Value;2012;979.0;774.0;205.0;36.5;;;
25;Total;Age head of household: younger than 35;Dwellings: 3rd 25%-group WOZ;Value;2015;960.0;768.0;192.0;33.7;;;
26;Total;Age head of household: younger than 35;Dwellings: 3rd 25%-group WOZ;Value;2018;1001.0;808.0;193.0;33.2;;;
27;Total;Age head of household: younger than 35;Dwellings: 3rd 25%-group WOZ;Value;2021;1065.0;887.0;179.0;32.5;;;
28;Total;Age head of household: younger than 35;Dwellings: 3rd 25%-group WOZ;Lower bound 95% confidence interval;2012;958.0;754.0;201.0;35.2;;;
29;Total;Age head of household: younger than 35;Dwellings: 3rd 25%-group WOZ;Lower bound 95% confidence interval;2015;940.0;749.0;189.0;32.6;;;
30;Total;Age head of household: younger than 35;Dwellings: 3rd 25%-group WOZ;Lower bound 95% confidence interval;2018;982.0;790.0;190.0;32.0;;;
31;Total;Age head of household: younger than 35;Dwellings: 3rd 25%-group WOZ;Lower bound 95% confidence interval;2021;1041.0;863.0;175.0;30.9;;;
32;Total;Age head of household: younger than 35;Dwellings: 3rd 25%-group WOZ;Upper bound 95% confidence interval;2012;1000.0;794.0;208.0;37.9;;;
33;Total;Age head of household: younger than 35;Dwellings: 3rd 25%-group WOZ;Upper bound 95% confidence interval;2015;979.0;787.0;195.0;34.8;;;
34;Total;Age head of household: younger than 35;Dwellings: 3rd 25%-group WOZ;Upper bound 95% confidence interval;2018;1020.0;826.0;196.0;34.3;;;
35;Total;Age head of household: younger than 35;Dwellings: 3rd 25%-group WOZ;Upper bound 95% confidence interval;2021;1089.0;911.0;182.0;34.1;;;
36;Total;Age head of household: younger than 35;Dwellings: 4th 25%-group WOZ;Value;2012;1241.0;1006.0;235.0;40.5;;;
37;Total;Age head of household: younger than 35;Dwellings: 4th 25%-group WOZ;Value;2015;1227.0;1003.0;223.0;37.0;;;
38;Total;Age head of household: younger than 35;Dwellings: 4th 25%-group WOZ;Value;2018;1240.0;1026.0;214.0;37.2;;;
39;Total;Age head of household: younger than 35;Dwellings: 4th 25%-group WOZ;Value;2021;1308.0;1109.0;199.0;35.5;;;
40;Total;Age head of household: younger than 35;Dwellings: 4th 25%-group WOZ;Lower bound 95% confidence interval;2012;1180.0;947.0;228.0;38.2;;;
41;Total;Age head of household: younger than 35;Dwellings: 4th 25%-group WOZ;Lower bound 95% confidence interval;2015;1182.0;958.0;217.0;34.7;;;
42;Total;Age head of household: younger than 35;Dwellings: 4th 25%-group WOZ;Lower bound 95% confidence interval;2018;1196.0;983.0;209.0;35.2;;;
43;Total;Age head of household: younger than 35;Dwellings: 4th 25%-group WOZ;Lower bound 95% confidence interval;2021;1261.0;1063.0;193.0;33.6;;;
44;Total;Age head of household: younger than 35;Dwellings: 4th 25%-group WOZ;Upper bound 95% confidence interval;2012;1301.0;1065.0;241.0;42.8;;;
45;Total;Age head of household: younger than 35;Dwellings: 4th 25%-group WOZ;Upper bound 95% confidence interval;2015;1271.0;1049.0;230.0;39.3;;;
46;Total;Age head of household: younger than 35;Dwellings: 4th 25%-group WOZ;Upper bound 95% confidence interval;2018;1284.0;1068.0;220.0;39.1;;;
47;Total;Age head of household: younger than 35;Dwellings: 4th 25%-group WOZ;Upper bound 95% confidence interval;2021;1354.0;1155.0;205.0;37.4;;;
48;Total;Age head of household: younger than 35;Year of construction: 1000 to 1945;Value;2012;782.0;597.0;185.0;38.8;;;
49;Total;Age head of household: younger than 35;Year of construction: 1000 to 1945;Value;2015;798.0;617.0;181.0;39.9;;;
50;Total;Age head of household: younger than 35;Year of construction: 1000 to 1945;Value;2018;846.0;659.0;186.0;39.2;;;
51;Total;Age head of household: younger than 35;Year of construction: 1000 to 1945;Value;2021;963.0;790.0;173.0;38.1;;;
52;Total;Age head of household: younger than 35;Year of construction: 1000 to 1945;Lower bound 95% confidence interval;2012;760.0;576.0;181.0;37.2;;;
53;Total;Age head of household: younger than 35;Year of construction: 1000 to 1945;Lower bound 95% confidence interval;2015;777.0;597.0;178.0;38.5;;;
54;Total;Age head of household: younger than 35;Year of construction: 1000 to 1945;Lower bound 95% confidence interval;2018;823.0;637.0;183.0;37.8;;;
55;Total;Age head of household: younger than 35;Year of construction: 1000 to 1945;Lower bound 95% confidence interval;2021;933.0;762.0;169.0;36.6;;;
56;Total;Age head of household: younger than 35;Year of construction: 1000 to 1945;Upper bound 95% confidence interval;2012;805.0;618.0;189.0;40.3;;;
57;Total;Age head of household: younger than 35;Year of construction: 1000 to 1945;Upper bound 95% confidence interval;2015;820.0;637.0;185.0;41.3;;;
58;Total;Age head of household: younger than 35;Year of construction: 1000 to 1945;Upper bound 95% confidence interval;2018;868.0;682.0;189.0;40.6;;;
59;Total;Age head of household: younger than 35;Year of construction: 1000 to 1945;Upper bound 95% confidence interval;2021;993.0;819.0;176.0;39.7;;;
60;Total;Age head of household: younger than 35;Year of construction: 1946 to 1970;Value;2012;698.0;516.0;181.0;37.5;;;
61;Total;Age head of household: younger than 35;Year of construction: 1946 to 1970;Value;2015;691.0;511.0;180.0;37.7;;;
62;Total;Age head of household: younger than 35;Year of construction: 1946 to 1970;Value;2018;737.0;555.0;182.0;34.5;;;
63;Total;Age head of household: younger than 35;Year of construction: 1946 to 1970;Value;2021;771.0;599.0;172.0;32.7;;;
64;Total;Age head of household: younger than 35;Year of construction: 1946 to 1970;Lower bound 95% confidence interval;2012;682.0;502.0;178.0;36.5;;;
65;Total;Age head of household: younger than 35;Year of construction: 1946 to 1970;Lower bound 95% confidence interval;2015;676.0;497.0;177.0;36.7;;;
66;Total;Age head of household: younger than 35;Year of construction: 1946 to 1970;Lower bound 95% confidence interval;2018;721.0;540.0;179.0;33.5;;;
67;Total;Age head of household: younger than 35;Year of construction: 1946 to 1970;Lower bound 95% confidence interval;2021;750.0;579.0;168.0;31.5;;;
68;Total;Age head of household: younger than 35;Year of construction: 1946 to 1970;Upper bound 95% confidence interval;2012;713.0;531.0;184.0;38.4;;;
69;Total;Age head of household: younger than 35;Year of construction: 1946 to 1970;Upper bound 95% confidence interval;2015;706.0;525.0;183.0;38.8;;;
70;Total;Age head of household: younger than 35;Year of construction: 1946 to 1970;Upper bound 95% confidence interval;2018;753.0;570.0;185.0;35.6;;;
71;Total;Age head of household: younger than 35;Year of construction: 1946 to 1970;Upper bound 95% confidence interval;2021;792.0;619.0;175.0;33.9;;;
72;Total;Age head of household: younger than 35;Year of construction: 1971 to 1985;Value;2012;749.0;567.0;182.0;37.5;;;
73;Total;Age head of household: younger than 35;Year of construction: 1971 to 1985;Value;2015;745.0;567.0;178.0;37.1;;;
74;Total;Age head of household: younger than 35;Year of construction: 1971 to 1985;Value;2018;752.0;572.0;180.0;36.1;;;
75;Total;Age head of household: younger than 35;Year of construction: 1971 to 1985;Value;2021;775.0;610.0;165.0;34.3;;;
76;Total;Age head of household: younger than 35;Year of construction: 1971 to 1985;Lower bound 95% confidence interval;2012;730.0;549.0;178.0;36.1;;;
77;Total;Age head of household: younger than 35;Year of construction: 1971 to 1985;Lower bound 95% confidence interval;2015;723.0;547.0;175.0;35.9;;;
78;Total;Age head of household: younger than 35;Year of construction: 1971 to 1985;Lower bound 95% confidence interval;2018;733.0;555.0;177.0;34.9;;;
79;Total;Age head of household: younger than 35;Year of construction: 1971 to 1985;Lower bound 95% confidence interval;2021;751.0;587.0;161.0;32.8;;;
80;Total;Age head of household: younger than 35;Year of construction: 1971 to 1985;Upper bound 95% confidence interval;2012;769.0;586.0;185.0;38.8;;;
81;Total;Age head of household: younger than 35;Year of construction: 1971 to 1985;Upper bound 95% confidence interval;2015;766.0;587.0;181.0;38.3;;;
82;Total;Age head of household: younger than 35;Year of construction: 1971 to 1985;Upper bound 95% confidence interval;2018;771.0;589.0;183.0;37.3;;;
83;Total;Age head of household: younger than 35;Year of construction: 1971 to 1985;Upper bound 95% confidence interval;2021;800.0;633.0;169.0;35.7;;;
84;Total;Age head of household: younger than 35;Year of construction: 1986 to 2000;Value;2012;823.0;642.0;180.0;37.6;;;
85;Total;Age head of household: younger than 35;Year of construction: 1986 to 2000;Value;2015;825.0;653.0;173.0;36.6;;;
86;Total;Age head of household: younger than 35;Year of construction: 1986 to 2000;Value;2018;843.0;667.0;176.0;35.8;;;
87;Total;Age head of household: younger than 35;Year of construction: 1986 to 2000;Value;2021;886.0;721.0;164.0;32.6;;;
88;Total;Age head of household: younger than 35;Year of construction: 1986 to 2000;Lower bound 95% confidence interval;2012;794.0;616.0;176.0;35.9;;;
89;Total;Age head of household: younger than 35;Year of construction: 1986 to 2000;Lower bound 95% confidence interval;2015;800.0;629.0;169.0;35.0;;;
90;Total;Age head of household: younger than 35;Year of construction: 1986 to 2000;Lower bound 95% confidence interval;2018;813.0;639.0;172.0;34.0;;;
91;Total;Age head of household: younger than 35;Year of construction: 1986 to 2000;Lower bound 95% confidence interval;2021;851.0;689.0;159.0;30.7;;;
92;Total;Age head of household: younger than 35;Year of construction: 1986 to 2000;Upper bound 95% confidence interval;2012;852.0;669.0;185.0;39.4;;;
93;Total;Age head of household: younger than 35;Year of construction: 1986 to 2000;Upper bound 95% confidence interval;2015;851.0;676.0;176.0;38.3;;;
94;Total;Age head of household: younger than 35;Year of construction: 1986 to 2000;Upper bound 95% confidence interval;2018;873.0;695.0;180.0;37.6;;;
95;Total;Age head of household: younger than 35;Year of construction: 1986 to 2000;Upper bound 95% confidence interval;2021;920.0;754.0;169.0;34.6;;;
96;Total;Age head of household: younger than 35;Year of construction: from 2001;Value;2012;923.0;737.0;186.0;38.2;;;
97;Total;Age head of household: younger than 35;Year of construction: from 2001;Value;2015;888.0;717.0;171.0;40.0;;;
98;Total;Age head of household: younger than 35;Year of construction: from 2001;Value;2018;893.0;721.0;172.0;40.4;;;
99;Total;Age head of household: younger than 35;Year of construction: from 2001;Value;2021;941.0;796.0;145.0;38.3;;;
100;Total;Age head of household: younger than 35;Year of construction: from 2001;Lower bound 95% confidence interval;2012;890.0;705.0;182.0;36.8;;;
101;Total;Age head of household: younger than 35;Year of construction: from 2001;Lower bound 95% confidence interval;2015;860.0;691.0;167.0;38.2;;;
102;Total;Age head of household: younger than 35;Year of construction: from 2001;Lower bound 95% confidence interval;2018;866.0;695.0;169.0;38.7;;;
103;Total;Age head of household: younger than 35;Year of construction: from 2001;Lower bound 95% confidence interval;2021;912.0;769.0;142.0;36.6;;;
104;Total;Age head of household: younger than 35;Year of construction: from 2001;Upper bound 95% confidence interval;2012;957.0;769.0;190.0;39.7;;;
105;Total;Age head of household: younger than 35;Year of construction: from 2001;Upper bound 95% confidence interval;2015;915.0;744.0;174.0;41.7;;;
106;Total;Age head of household: younger than 35;Year of construction: from 2001;Upper bound 95% confidence interval;2018;920.0;747.0;175.0;42.0;;;
107;Total;Age head of household: younger than 35;Year of construction: from 2001;Upper bound 95% confidence interval;2021;970.0;824.0;148.0;40.1;;;
108;Total;Age head of household: younger than 35;Own garden, grounds etc. : included;Value;2012;897.0;694.0;203.0;35.5;;;
109;Total;Age head of household: younger than 35;Own garden, grounds etc. : included;Value;2015;877.0;681.0;197.0;34.3;;;
110;Total;Age head of household: younger than 35;Own garden, grounds etc. : included;Value;2018;915.0;717.0;198.0;32.5;;;
111;Total;Age head of household: younger than 35;Own garden, grounds etc. : included;Value;2021;961.0;773.0;188.0;30.5;;;
112;Total;Age head of household: younger than 35;Own garden, grounds etc. : included;Lower bound 95% confidence interval;2012;882.0;680.0;201.0;34.8;;;
113;Total;Age head of household: younger than 35;Own garden, grounds etc. : included;Lower bound 95% confidence interval;2015;865.0;669.0;194.0;33.7;;;
114;Total;Age head of household: younger than 35;Own garden, grounds etc. : included;Lower bound 95% confidence interval;2018;901.0;704.0;196.0;31.9;;;
115;Total;Age head of household: younger than 35;Own garden, grounds etc. : included;Lower bound 95% confidence interval;2021;943.0;756.0;186.0;29.8;;;
116;Total;Age head of household: younger than 35;Own garden, grounds etc. : included;Upper bound 95% confidence interval;2012;912.0;708.0;205.0;36.2;;;
117;Total;Age head of household: younger than 35;Own garden, grounds etc. : included;Upper bound 95% confidence interval;2015;889.0;692.0;199.0;35.0;;;
118;Total;Age head of household: younger than 35;Own garden, grounds etc. : included;Upper bound 95% confidence interval;2018;929.0;730.0;200.0;33.0;;;
119;Total;Age head of household: younger than 35;Own garden, grounds etc. : included;Upper bound 95% confidence interval;2021;979.0;790.0;190.0;31.3;;;
120;Total;Age head of household: younger than 35;Own garden, grounds etc. : not included;Value;2012;641.0;481.0;160.0;40.5;;;
121;Total;Age head of household: younger than 35;Own garden, grounds etc. : not included;Value;2015;677.0;519.0;158.0;42.3;;;
122;Total;Age head of household: younger than 35;Own garden, grounds etc. : not included;Value;2018;688.0;528.0;160.0;42.4;;;
123;Total;Age head of household: younger than 35;Own garden, grounds etc. : not included;Value;2021;773.0;633.0;140.0;40.2;;;
124;Total;Age head of household: younger than 35;Own garden, grounds etc. : not included;Lower bound 95% confidence interval;2012;630.0;470.0;158.0;39.5;;;
125;Total;Age head of household: younger than 35;Own garden, grounds etc. : not included;Lower bound 95% confidence interval;2015;663.0;505.0;156.0;41.3;;;
126;Total;Age head of household: younger than 35;Own garden, grounds etc. : not included;Lower bound 95% confidence interval;2018;675.0;515.0;158.0;41.3;;;
127;Total;Age head of household: younger than 35;Own garden, grounds etc. : not included;Lower bound 95% confidence interval;2021;756.0;616.0;138.0;39.1;;;
128;Total;Age head of household: younger than 35;Own garden, grounds etc. : not included;Upper bound 95% confidence interval;2012;653.0;492.0;163.0;41.6;;;
129;Total;Age head of household: younger than 35;Own garden, grounds etc. : not included;Upper bound 95% confidence interval;2015;691.0;533.0;160.0;43.3;;;
