ID;Geslacht;Leeftijd;Generatie;Migratieachtergrond;Perioden;BevolkingOp1Januari_1
0;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2018;17182442.0
1;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2019;17262190.0
2;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2020;17333820.0
3;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2021;17400098.0
4;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2022;17463978.0
5;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2023;17526435.0
6;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2024;17588265.0
7;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2025;17649166.0
8;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2026;17709660.0
9;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2027;17768806.0
10;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2028;17826010.0
11;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2029;17881483.0
12;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2030;17934679.0
13;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2031;17985449.0
14;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2032;18033283.0
15;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2033;18077779.0
16;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2034;18118892.0
17;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2035;18156867.0
18;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2036;18191384.0
19;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2037;18222239.0
20;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2038;18249391.0
21;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2039;18272982.0
22;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2040;18293320.0
23;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2041;18310488.0
24;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2042;18324677.0
25;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2043;18336228.0
26;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2044;18345509.0
27;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2045;18352864.0
28;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2046;18358347.0
29;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2047;18362567.0
30;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2048;18365833.0
31;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2049;18368349.0
32;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2050;18370350.0
33;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2051;18372233.0
34;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2052;18374314.0
35;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2053;18377007.0
36;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2054;18380545.0
37;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2055;18385407.0
38;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2056;18391889.0
39;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2057;18400234.0
40;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2058;18410570.0
41;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2059;18423180.0
42;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2060;18438031.0
43;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Met migratieachtergrond;2018;3973333.0
44;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Met migratieachtergrond;2019;4064980.0
45;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Met migratieachtergrond;2020;4149660.0
46;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Met migratieachtergrond;2021;4229433.0
47;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Met migratieachtergrond;2022;4305755.0
48;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Met migratieachtergrond;2023;4379572.0
49;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Met migratieachtergrond;2024;4451110.0
50;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Met migratieachtergrond;2025;4520647.0
