ID;Geslacht;Leeftijdsklassen;VTVDiagnosen;Huishoudinkomensdecielen;Perioden;PersonenMet1OfMeerZiekenhuisopnamen_1;Steekproefaantallen_2
0;Mannen en vrouwen;Totaal alle leeftijden;Totaal alle diagnosen;Totaal huishoudinkomensdecielen;1997;988.2;4235851
1;Mannen en vrouwen;Totaal alle leeftijden;Totaal alle diagnosen;Totaal huishoudinkomensdecielen;2004;1127.5;4302501
2;Mannen en vrouwen;Totaal alle leeftijden;Totaal alle diagnosen;1e deciel (laagste);1997;907.1;331527
3;Mannen en vrouwen;Totaal alle leeftijden;Totaal alle diagnosen;1e deciel (laagste);2004;878.3;356204
4;Mannen en vrouwen;Totaal alle leeftijden;Totaal alle diagnosen;2e deciel;1997;1264.4;352603
5;Mannen en vrouwen;Totaal alle leeftijden;Totaal alle diagnosen;2e deciel;2004;1255.9;364422
6;Mannen en vrouwen;Totaal alle leeftijden;Totaal alle diagnosen;3e deciel;1997;1114.2;405890
7;Mannen en vrouwen;Totaal alle leeftijden;Totaal alle diagnosen;3e deciel;2004;1369.2;392503
8;Mannen en vrouwen;Totaal alle leeftijden;Totaal alle diagnosen;4e deciel;1997;1009.0;421437
9;Mannen en vrouwen;Totaal alle leeftijden;Totaal alle diagnosen;4e deciel;2004;1266.9;410332
10;Mannen en vrouwen;Totaal alle leeftijden;Totaal alle diagnosen;5e deciel;1997;955.2;432037
11;Mannen en vrouwen;Totaal alle leeftijden;Totaal alle diagnosen;5e deciel;2004;1136.4;428652
12;Mannen en vrouwen;Totaal alle leeftijden;Totaal alle diagnosen;6e deciel;1997;931.7;442662
13;Mannen en vrouwen;Totaal alle leeftijden;Totaal alle diagnosen;6e deciel;2004;1082.9;443799
14;Mannen en vrouwen;Totaal alle leeftijden;Totaal alle diagnosen;7e deciel;1997;916.0;452235
15;Mannen en vrouwen;Totaal alle leeftijden;Totaal alle diagnosen;7e deciel;2004;1072.1;459383
16;Mannen en vrouwen;Totaal alle leeftijden;Totaal alle diagnosen;8e deciel;1997;924.6;458850
17;Mannen en vrouwen;Totaal alle leeftijden;Totaal alle diagnosen;8e deciel;2004;1081.3;474677
18;Mannen en vrouwen;Totaal alle leeftijden;Totaal alle diagnosen;9e deciel;1997;945.7;468243
19;Mannen en vrouwen;Totaal alle leeftijden;Totaal alle diagnosen;9e deciel;2004;1070.7;489982
20;Mannen en vrouwen;Totaal alle leeftijden;Totaal alle diagnosen;10e deciel (hoogste);1997;916.3;470367
