ID;RegioS;Inkomensbron;AantalHuishoudens_1;GemiddBesteedbInkomenPerHuishouden_2
0;Nederland;Totaal particulier huishouden;6705.2;29.2
1;Nederland;Loon;3773.7;33.0
2;Nederland;Winst;665.6;36.6
3;Nederland;Werkloosheid,bijstand,arbeidsongeschikt;632.0;16.9
4;Nederland;Pensioen;1548.2;22.0
5;Noord-Nederland (LD);Totaal particulier huishouden;696.4;27.1
6;Noord-Nederland (LD);Loon;368.5;30.6
7;Noord-Nederland (LD);Winst;74.3;34.2
8;Noord-Nederland (LD);Werkloosheid,bijstand,arbeidsongeschikt;68.1;16.9
9;Noord-Nederland (LD);Pensioen;175.3;20.8
10;Oost-Nederland (LD);Totaal particulier huishouden;1342.2;29.1
11;Oost-Nederland (LD);Loon;768.4;32.6
12;Oost-Nederland (LD);Winst;136.3;36.4
13;Oost-Nederland (LD);Werkloosheid,bijstand,arbeidsongeschikt;113.4;17.7
14;Oost-Nederland (LD);Pensioen;307.4;21.8
15;West-Nederland (LD);Totaal particulier huishouden;3230.7;29.6
16;West-Nederland (LD);Loon;1828.9;33.5
17;West-Nederland (LD);Winst;317.2;37.4
18;West-Nederland (LD);Werkloosheid,bijstand,arbeidsongeschikt;317.0;16.3
19;West-Nederland (LD);Pensioen;725.8;22.4
20;Zuid-Nederland (LD);Totaal particulier huishouden;1435.8;29.4
21;Zuid-Nederland (LD);Loon;807.9;33.6
22;Zuid-Nederland (LD);Winst;137.8;36.1
23;Zuid-Nederland (LD);Werkloosheid,bijstand,arbeidsongeschikt;133.5;17.6
24;Zuid-Nederland (LD);Pensioen;339.7;21.8
25;Groningen (PV);Totaal particulier huishouden;239.7;26.3
26;Groningen (PV);Loon;128.4;29.9
27;Groningen (PV);Winst;22.6;34.1
28;Groningen (PV);Werkloosheid,bijstand,arbeidsongeschikt;27.0;16.1
29;Groningen (PV);Pensioen;57.9;20.2
30;Friesland (PV);Totaal particulier huishouden;261.3;27.0
31;Friesland (PV);Loon;136.8;30.1
32;Friesland (PV);Winst;31.5;34.8
33;Friesland (PV);Werkloosheid,bijstand,arbeidsongeschikt;23.8;16.9
34;Friesland (PV);Pensioen;65.4;20.7
35;Drenthe (PV);Totaal particulier huishouden;195.5;28.1
36;Drenthe (PV);Loon;103.3;32.0
37;Drenthe (PV);Winst;20.3;33.2
38;Drenthe (PV);Werkloosheid,bijstand,arbeidsongeschikt;17.3;18.3
39;Drenthe (PV);Pensioen;52.0;21.7
40;Overijssel (PV);Totaal particulier huishouden;430.8;28.2
41;Overijssel (PV);Loon;243.3;31.8
42;Overijssel (PV);Winst;42.2;35.6
43;Overijssel (PV);Werkloosheid,bijstand,arbeidsongeschikt;37.7;17.6
44;Overijssel (PV);Pensioen;102.2;21.1
45;Flevoland (PV);Totaal particulier huishouden;135.2;29.4
46;Flevoland (PV);Loon;85.7;32.4
47;Flevoland (PV);Winst;14.5;34.8
48;Flevoland (PV);Werkloosheid,bijstand,arbeidsongeschikt;12.0;17.7
49;Flevoland (PV);Pensioen;21.7;21.3
50;Gelderland (PV);Totaal particulier huishouden;776.2;29.5
51;Gelderland (PV);Loon;439.4;33.0
52;Gelderland (PV);Winst;79.6;37.1
53;Gelderland (PV);Werkloosheid,bijstand,arbeidsongeschikt;63.6;17.8
54;Gelderland (PV);Pensioen;183.5;22.3
55;Utrecht (PV);Totaal particulier huishouden;471.1;31.8
56;Utrecht (PV);Loon;281.7;35.1
57;Utrecht (PV);Winst;47.1;40.2
58;Utrecht (PV);Werkloosheid,bijstand,arbeidsongeschikt;36.9;17.5
59;Utrecht (PV);Pensioen;99.3;24.0
60;Noord-Holland (PV);Totaal particulier huishouden;1140.3;29.3
61;Noord-Holland (PV);Loon;633.3;33.3
62;Noord-Holland (PV);Winst;123.8;35.9
63;Noord-Holland (PV);Werkloosheid,bijstand,arbeidsongeschikt;122.5;16.4
64;Noord-Holland (PV);Pensioen;244.8;22.5
65;Zuid-Holland (PV);Totaal particulier huishouden;1462.2;29.2
66;Zuid-Holland (PV);Loon;831.2;33.2
67;Zuid-Holland (PV);Winst;128.6;37.9
68;Zuid-Holland (PV);Werkloosheid,bijstand,arbeidsongeschikt;146.3;15.9
