ID;Werkloosheidsduur;Persoonskenmerken;Perioden;WerklozeBeroepsbevolking_1
0;Totaal werkloosheidsduur;Totaal personen;2003 1e kwartaal;389
1;Totaal werkloosheidsduur;Totaal personen;2003 2e kwartaal;385
2;Totaal werkloosheidsduur;Totaal personen;2003 3e kwartaal;389
3;Totaal werkloosheidsduur;Totaal personen;2003 4e kwartaal;418
4;Totaal werkloosheidsduur;Totaal personen;2003;395
5;Totaal werkloosheidsduur;Totaal personen;2004 1e kwartaal;480
6;Totaal werkloosheidsduur;Totaal personen;2004 2e kwartaal;474
7;Totaal werkloosheidsduur;Totaal personen;2004 3e kwartaal;444
8;Totaal werkloosheidsduur;Totaal personen;2004 4e kwartaal;466
9;Totaal werkloosheidsduur;Totaal personen;2004;466
10;Totaal werkloosheidsduur;Totaal personen;2005 1e kwartaal;528
11;Totaal werkloosheidsduur;Totaal personen;2005 2e kwartaal;497
12;Totaal werkloosheidsduur;Totaal personen;2005 3e kwartaal;463
13;Totaal werkloosheidsduur;Totaal personen;2005 4e kwartaal;466
14;Totaal werkloosheidsduur;Totaal personen;2005;489
15;Totaal werkloosheidsduur;Totaal personen;2006 1e kwartaal;483
16;Totaal werkloosheidsduur;Totaal personen;2006 2e kwartaal;425
17;Totaal werkloosheidsduur;Totaal personen;2006 3e kwartaal;383
18;Totaal werkloosheidsduur;Totaal personen;2006 4e kwartaal;386
19;Totaal werkloosheidsduur;Totaal personen;2006;419
20;Totaal werkloosheidsduur;Totaal personen;2007 1e kwartaal;408
21;Totaal werkloosheidsduur;Totaal personen;2007 2e kwartaal;352
22;Totaal werkloosheidsduur;Totaal personen;2007 3e kwartaal;329
23;Totaal werkloosheidsduur;Totaal personen;2007 4e kwartaal;330
24;Totaal werkloosheidsduur;Totaal personen;2007;355
25;Totaal werkloosheidsduur;Totaal personen;2008 1e kwartaal;351
26;Totaal werkloosheidsduur;Totaal personen;2008 2e kwartaal;320
27;Totaal werkloosheidsduur;Totaal personen;2008 3e kwartaal;292
28;Totaal werkloosheidsduur;Totaal personen;2008 4e kwartaal;309
29;Totaal werkloosheidsduur;Totaal personen;2008;318
30;Totaal werkloosheidsduur;Totaal personen;2009 1e kwartaal;364
31;Totaal werkloosheidsduur;Totaal personen;2009 2e kwartaal;368
32;Totaal werkloosheidsduur;Totaal personen;2009 3e kwartaal;378
33;Totaal werkloosheidsduur;Totaal personen;2009 4e kwartaal;414
34;Totaal werkloosheidsduur;Totaal personen;2009;381
35;Totaal werkloosheidsduur;Totaal personen;2010 1e kwartaal;471
36;Totaal werkloosheidsduur;Totaal personen;2010 2e kwartaal;434
37;Totaal werkloosheidsduur;Totaal personen;2010 3e kwartaal;415
38;Totaal werkloosheidsduur;Totaal personen;2010 4e kwartaal;421
39;Totaal werkloosheidsduur;Totaal personen;2010;435
40;Totaal werkloosheidsduur;Totaal personen;2011 1e kwartaal;451
41;Totaal werkloosheidsduur;Totaal personen;2011 2e kwartaal;412
42;Totaal werkloosheidsduur;Totaal personen;2011 3e kwartaal;414
43;Totaal werkloosheidsduur;Totaal personen;2011 4e kwartaal;460
44;Totaal werkloosheidsduur;Totaal personen;2011;434
45;Totaal werkloosheidsduur;Totaal personen;2012 1e kwartaal;512
46;Totaal werkloosheidsduur;Totaal personen;2012 2e kwartaal;500
47;Totaal werkloosheidsduur;Totaal personen;2012 3e kwartaal;504
48;Totaal werkloosheidsduur;Totaal personen;2012 4e kwartaal;547
49;Totaal werkloosheidsduur;Totaal personen;2012;516
50;Totaal werkloosheidsduur;Totaal personen;2013 1e kwartaal;631
51;Totaal werkloosheidsduur;Totaal personen;2013 2e kwartaal;633
52;Totaal werkloosheidsduur;Totaal personen;2013 3e kwartaal;651
53;Totaal werkloosheidsduur;Totaal personen;2013 4e kwartaal;672
54;Totaal werkloosheidsduur;Totaal personen;2013;647
55;Totaal werkloosheidsduur;Totaal personen;2014 1e kwartaal;721
56;Totaal werkloosheidsduur;Totaal personen;2014 2e kwartaal;668
57;Totaal werkloosheidsduur;Totaal personen;2014 3e kwartaal;620
58;Totaal werkloosheidsduur;Totaal personen;2014 4e kwartaal;630
59;Totaal werkloosheidsduur;Totaal personen;2014;660
60;Totaal werkloosheidsduur;Totaal personen;2015 1e kwartaal;664
61;Totaal werkloosheidsduur;Totaal personen;2015 2e kwartaal;615
62;Totaal werkloosheidsduur;Totaal personen;2015 3e kwartaal;586
63;Totaal werkloosheidsduur;Totaal personen;2015 4e kwartaal;591
64;Totaal werkloosheidsduur;Totaal personen;2015;614
