ID;Onderwijsvolgend;KenmerkenArbeid;Uitkering;IngeschrevenUWVWerkbedrijf;RegioS;Perioden;Jongeren15Tot27Jaar_1
0;Totaal;Totaal;Totaal met of zonder uitkering;Totaal;Nederland;2005;2351600
1;Totaal;Totaal;Totaal met of zonder uitkering;Totaal;Nederland;2006;2363600
2;Totaal;Totaal;Totaal met of zonder uitkering;Totaal;Nederland;2007;2374000
3;Totaal;Totaal;Totaal met of zonder uitkering;Totaal;Nederland;2008;2392100
4;Totaal;Totaal;Totaal met of zonder uitkering;Totaal;Nederland;2009;2418600
5;Totaal;Totaal;Totaal met of zonder uitkering;Totaal;Nederland;2010;2442700
6;Totaal;Totaal;Totaal met of zonder uitkering;Totaal;Nederland;2011;2458600
7;Totaal;Totaal;Totaal met of zonder uitkering;Totaal;Nederland;2012;2468600
8;Totaal;Totaal;Totaal met of zonder uitkering;Totaal;Nederland;2013;2475500
9;Totaal;Totaal;Totaal met of zonder uitkering;Totaal;Nederland;2014;2488600
10;Totaal;Totaal;Totaal met of zonder uitkering;Totaal;Nederland;2015;2512000
11;Totaal;Totaal;Totaal met of zonder uitkering;Totaal;Nederland;2016;2542500
12;Totaal;Totaal;Totaal met of zonder uitkering;Totaal;Nederland;2017;2559500
13;Totaal;Totaal;Totaal met of zonder uitkering;Totaal;Nederland;2018;2574000
14;Totaal;Totaal;Totaal met of zonder uitkering;Totaal;Noord-Nederland (LD);2005;249200
15;Totaal;Totaal;Totaal met of zonder uitkering;Totaal;Noord-Nederland (LD);2006;249400
16;Totaal;Totaal;Totaal met of zonder uitkering;Totaal;Noord-Nederland (LD);2007;249400
17;Totaal;Totaal;Totaal met of zonder uitkering;Totaal;Noord-Nederland (LD);2008;250000
18;Totaal;Totaal;Totaal met of zonder uitkering;Totaal;Noord-Nederland (LD);2009;252300
19;Totaal;Totaal;Totaal met of zonder uitkering;Totaal;Noord-Nederland (LD);2010;254500
20;Totaal;Totaal;Totaal met of zonder uitkering;Totaal;Noord-Nederland (LD);2011;256200
21;Totaal;Totaal;Totaal met of zonder uitkering;Totaal;Noord-Nederland (LD);2012;256500
22;Totaal;Totaal;Totaal met of zonder uitkering;Totaal;Noord-Nederland (LD);2013;256700
23;Totaal;Totaal;Totaal met of zonder uitkering;Totaal;Noord-Nederland (LD);2014;258000
24;Totaal;Totaal;Totaal met of zonder uitkering;Totaal;Noord-Nederland (LD);2015;259100
25;Totaal;Totaal;Totaal met of zonder uitkering;Totaal;Noord-Nederland (LD);2016;261700
26;Totaal;Totaal;Totaal met of zonder uitkering;Totaal;Noord-Nederland (LD);2017;262300
27;Totaal;Totaal;Totaal met of zonder uitkering;Totaal;Noord-Nederland (LD);2018;263500
28;Totaal;Totaal;Totaal met of zonder uitkering;Totaal;Oost-Nederland (LD);2005;507300
29;Totaal;Totaal;Totaal met of zonder uitkering;Totaal;Oost-Nederland (LD);2006;508600
30;Totaal;Totaal;Totaal met of zonder uitkering;Totaal;Oost-Nederland (LD);2007;509200
31;Totaal;Totaal;Totaal met of zonder uitkering;Totaal;Oost-Nederland (LD);2008;512400
32;Totaal;Totaal;Totaal met of zonder uitkering;Totaal;Oost-Nederland (LD);2009;517200
33;Totaal;Totaal;Totaal met of zonder uitkering;Totaal;Oost-Nederland (LD);2010;521200
34;Totaal;Totaal;Totaal met of zonder uitkering;Totaal;Oost-Nederland (LD);2011;523400
35;Totaal;Totaal;Totaal met of zonder uitkering;Totaal;Oost-Nederland (LD);2012;525400
36;Totaal;Totaal;Totaal met of zonder uitkering;Totaal;Oost-Nederland (LD);2013;525800
37;Totaal;Totaal;Totaal met of zonder uitkering;Totaal;Oost-Nederland (LD);2014;527600
38;Totaal;Totaal;Totaal met of zonder uitkering;Totaal;Oost-Nederland (LD);2015;533800
39;Totaal;Totaal;Totaal met of zonder uitkering;Totaal;Oost-Nederland (LD);2016;542100
40;Totaal;Totaal;Totaal met of zonder uitkering;Totaal;Oost-Nederland (LD);2017;547200
41;Totaal;Totaal;Totaal met of zonder uitkering;Totaal;Oost-Nederland (LD);2018;552600
42;Totaal;Totaal;Totaal met of zonder uitkering;Totaal;West-Nederland (LD);2005;1104000
43;Totaal;Totaal;Totaal met of zonder uitkering;Totaal;West-Nederland (LD);2006;1113900
44;Totaal;Totaal;Totaal met of zonder uitkering;Totaal;West-Nederland (LD);2007;1122600
45;Totaal;Totaal;Totaal met of zonder uitkering;Totaal;West-Nederland (LD);2008;1134300
46;Totaal;Totaal;Totaal met of zonder uitkering;Totaal;West-Nederland (LD);2009;1148400
