ID;Geslacht;Onderwijssoort;Migratieachtergrond;WoonregioSchoolregio;Regiokenmerken;Perioden;Examenkandidaten_1;Gediplomeerden_2;GediplomeerdenRelatief_3
0;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Nederland;2005/'06;31633.0;29287.0;93.0
1;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Nederland;2006/'07;32961.0;30331.0;92.0
2;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Nederland;2007/'08;35150.0;32398.0;92.0
3;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Nederland;2008/'09;37434.0;34078.0;91.0
4;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Nederland;2009/'10;35385.0;31572.0;89.0
5;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Nederland;2010/'11;36763.0;32641.0;89.0
6;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Nederland;2011/'12;36755.0;32089.0;87.0
7;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Nederland;2012/'13;35733.0;32842.0;92.0
8;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Nederland;2013/'14;35450.0;31816.0;90.0
9;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Nederland;2014/'15;35946.0;33182.0;92.0
10;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Nederland;2015/'16;35844.0;32677.0;91.0
11;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Nederland;2016/'17;37899.0;34478.0;91.0
12;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Nederland;2017/'18;38488.0;35221.0;92.0
13;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Nederland;2018/'19;38690.0;35094.0;91.0
14;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Nederland;2019/'20;38871.0;38462.0;99.0
15;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Nederland;2020/'21;39149.0;36793.0;94.0
16;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Noord-Nederland (LD);2005/'06;2864.0;2653.0;93.0
17;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Noord-Nederland (LD);2006/'07;2959.0;2688.0;91.0
18;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Noord-Nederland (LD);2007/'08;3187.0;2914.0;91.0
19;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Noord-Nederland (LD);2008/'09;3370.0;3027.0;90.0
20;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Noord-Nederland (LD);2009/'10;3128.0;2751.0;88.0
21;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Noord-Nederland (LD);2010/'11;3410.0;2974.0;87.0
22;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Noord-Nederland (LD);2011/'12;3118.0;2698.0;87.0
23;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Noord-Nederland (LD);2012/'13;3062.0;2805.0;92.0
24;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Noord-Nederland (LD);2013/'14;2978.0;2692.0;90.0
25;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Noord-Nederland (LD);2014/'15;3044.0;2792.0;92.0
26;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Noord-Nederland (LD);2015/'16;2924.0;2644.0;90.0
27;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Noord-Nederland (LD);2016/'17;3217.0;2902.0;90.0
28;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Noord-Nederland (LD);2017/'18;3208.0;2895.0;90.0
29;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Noord-Nederland (LD);2018/'19;3245.0;2856.0;88.0
30;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Noord-Nederland (LD);2019/'20;3136.0;3086.0;98.0
31;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Noord-Nederland (LD);2020/'21;3293.0;3068.0;93.0
32;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Oost-Nederland (LD);2005/'06;6530.0;6049.0;93.0
33;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Oost-Nederland (LD);2006/'07;6856.0;6352.0;93.0
34;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Oost-Nederland (LD);2007/'08;7342.0;6769.0;92.0
35;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Oost-Nederland (LD);2008/'09;7802.0;7138.0;91.0
36;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Oost-Nederland (LD);2009/'10;7553.0;6719.0;89.0
37;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Oost-Nederland (LD);2010/'11;7747.0;6900.0;89.0
38;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Oost-Nederland (LD);2011/'12;7633.0;6660.0;87.0
39;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Oost-Nederland (LD);2012/'13;7634.0;6984.0;91.0
40;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Oost-Nederland (LD);2013/'14;7522.0;6774.0;90.0
41;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Oost-Nederland (LD);2014/'15;7365.0;6781.0;92.0
42;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Oost-Nederland (LD);2015/'16;7428.0;6794.0;91.0
43;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Oost-Nederland (LD);2016/'17;7832.0;7137.0;91.0
44;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Oost-Nederland (LD);2017/'18;8027.0;7389.0;92.0
45;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Oost-Nederland (LD);2018/'19;7960.0;7221.0;91.0
46;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Oost-Nederland (LD);2019/'20;7885.0;7806.0;99.0
