ID;VormenVanJeugdzorg;RegioS;Perioden;JongerenInJeugdzorg_1;ZorgduurJeugdzorg_2
0;Totaal alle vormen van jeugdzorg;Nederland;2011;104090.0;38277550.0
1;Totaal alle vormen van jeugdzorg;Nederland;2012;104345.0;38940920.0
2;Totaal alle vormen van jeugdzorg;Nederland;2013;104965.0;38713330.0
3;Totaal alle vormen van jeugdzorg;Nederland;2014;102175.0;37169200.0
4;Totaal alle vormen van jeugdzorg;Noord-Nederland (LD);2011;9405.0;3169640.0
5;Totaal alle vormen van jeugdzorg;Noord-Nederland (LD);2012;9655.0;3226140.0
6;Totaal alle vormen van jeugdzorg;Noord-Nederland (LD);2013;9875.0;3320280.0
7;Totaal alle vormen van jeugdzorg;Noord-Nederland (LD);2014;10050.0;3252690.0
8;Totaal alle vormen van jeugdzorg;Oost-Nederland (LD);2011;22850.0;8822060.0
9;Totaal alle vormen van jeugdzorg;Oost-Nederland (LD);2012;22555.0;8932220.0
10;Totaal alle vormen van jeugdzorg;Oost-Nederland (LD);2013;22035.0;8513040.0
11;Totaal alle vormen van jeugdzorg;Oost-Nederland (LD);2014;21120.0;8151900.0
12;Totaal alle vormen van jeugdzorg;West-Nederland (LD);2011;50720.0;18694940.0
13;Totaal alle vormen van jeugdzorg;West-Nederland (LD);2012;51295.0;19094600.0
14;Totaal alle vormen van jeugdzorg;West-Nederland (LD);2013;52340.0;19077330.0
15;Totaal alle vormen van jeugdzorg;West-Nederland (LD);2014;50515.0;18010270.0
16;Totaal alle vormen van jeugdzorg;Zuid-Nederland (LD);2011;21115.0;7590850.0
17;Totaal alle vormen van jeugdzorg;Zuid-Nederland (LD);2012;20845.0;7687960.0
18;Totaal alle vormen van jeugdzorg;Zuid-Nederland (LD);2013;20715.0;7802680.0
19;Totaal alle vormen van jeugdzorg;Zuid-Nederland (LD);2014;20490.0;7753980.0
20;Totaal alle vormen van jeugdzorg;Groningen (PV);2011;3505.0;1180720.0
21;Totaal alle vormen van jeugdzorg;Groningen (PV);2012;3700.0;1239560.0
22;Totaal alle vormen van jeugdzorg;Groningen (PV);2013;3675.0;1228310.0
23;Totaal alle vormen van jeugdzorg;Groningen (PV);2014;3585.0;1125650.0
24;Totaal alle vormen van jeugdzorg;Friesland (PV);2011;3575.0;1220310.0
25;Totaal alle vormen van jeugdzorg;Friesland (PV);2012;3715.0;1255790.0
26;Totaal alle vormen van jeugdzorg;Friesland (PV);2013;3870.0;1315160.0
27;Totaal alle vormen van jeugdzorg;Friesland (PV);2014;3905.0;1342000.0
28;Totaal alle vormen van jeugdzorg;Drenthe (PV);2011;2325.0;768610.0
29;Totaal alle vormen van jeugdzorg;Drenthe (PV);2012;2240.0;730790.0
30;Totaal alle vormen van jeugdzorg;Drenthe (PV);2013;2330.0;776810.0
31;Totaal alle vormen van jeugdzorg;Drenthe (PV);2014;2560.0;785040.0
32;Totaal alle vormen van jeugdzorg;Overijssel (PV);2011;6870.0;2849500.0
33;Totaal alle vormen van jeugdzorg;Overijssel (PV);2012;6735.0;2914460.0
34;Totaal alle vormen van jeugdzorg;Overijssel (PV);2013;6515.0;2748640.0
35;Totaal alle vormen van jeugdzorg;Overijssel (PV);2014;6270.0;2617700.0
36;Totaal alle vormen van jeugdzorg;Flevoland (PV);2011;3515.0;1289560.0
37;Totaal alle vormen van jeugdzorg;Flevoland (PV);2012;3565.0;1372590.0
38;Totaal alle vormen van jeugdzorg;Flevoland (PV);2013;3375.0;1253720.0
39;Totaal alle vormen van jeugdzorg;Flevoland (PV);2014;2900.0;1181560.0
40;Totaal alle vormen van jeugdzorg;Gelderland (PV);2011;12465.0;4683000.0
41;Totaal alle vormen van jeugdzorg;Gelderland (PV);2012;12250.0;4645170.0
42;Totaal alle vormen van jeugdzorg;Gelderland (PV);2013;12140.0;4510680.0
43;Totaal alle vormen van jeugdzorg;Gelderland (PV);2014;11950.0;4352630.0
44;Totaal alle vormen van jeugdzorg;Utrecht (PV);2011;6680.0;2371450.0
45;Totaal alle vormen van jeugdzorg;Utrecht (PV);2012;6920.0;2472190.0
46;Totaal alle vormen van jeugdzorg;Utrecht (PV);2013;7135.0;2507240.0
47;Totaal alle vormen van jeugdzorg;Utrecht (PV);2014;6725.0;2338990.0
48;Totaal alle vormen van jeugdzorg;Noord-Holland (PV);2011;17695.0;5963890.0
49;Totaal alle vormen van jeugdzorg;Noord-Holland (PV);2012;18050.0;6079970.0
50;Totaal alle vormen van jeugdzorg;Noord-Holland (PV);2013;17585.0;5794730.0
51;Totaal alle vormen van jeugdzorg;Noord-Holland (PV);2014;16290.0;5192270.0
52;Totaal alle vormen van jeugdzorg;Zuid-Holland (PV);2011;24050.0;9598160.0
53;Totaal alle vormen van jeugdzorg;Zuid-Holland (PV);2012;24035.0;9760060.0
54;Totaal alle vormen van jeugdzorg;Zuid-Holland (PV);2013;25325.0;9960220.0
55;Totaal alle vormen van jeugdzorg;Zuid-Holland (PV);2014;25060.0;9635920.0
56;Totaal alle vormen van jeugdzorg;Zeeland (PV);2011;2295.0;761430.0
57;Totaal alle vormen van jeugdzorg;Zeeland (PV);2012;2285.0;782390.0
58;Totaal alle vormen van jeugdzorg;Zeeland (PV);2013;2295.0;815140.0
59;Totaal alle vormen van jeugdzorg;Zeeland (PV);2014;2440.0;843090.0
60;Totaal alle vormen van jeugdzorg;Noord-Brabant (PV);2011;13750.0;4865710.0
61;Totaal alle vormen van jeugdzorg;Noord-Brabant (PV);2012;13520.0;4933910.0
62;Totaal alle vormen van jeugdzorg;Noord-Brabant (PV);2013;13595.0;5097190.0
63;Totaal alle vormen van jeugdzorg;Noord-Brabant (PV);2014;13565.0;5116800.0
64;Totaal alle vormen van jeugdzorg;Limburg (PV);2011;7370.0;2725140.0
65;Totaal alle vormen van jeugdzorg;Limburg (PV);2012;7325.0;2754060.0
66;Totaal alle vormen van jeugdzorg;Limburg (PV);2013;7120.0;2705490.0
67;Totaal alle vormen van jeugdzorg;Limburg (PV);2014;6925.0;2637180.0
68;Totaal alle vormen van jeugdzorg;Oost-Groningen (CR);2011;1035.0;370630.0
69;Totaal alle vormen van jeugdzorg;Oost-Groningen (CR);2012;1095.0;387660.0
70;Totaal alle vormen van jeugdzorg;Oost-Groningen (CR);2013;1095.0;395540.0
71;Totaal alle vormen van jeugdzorg;Oost-Groningen (CR);2014;1115.0;385000.0
72;Totaal alle vormen van jeugdzorg;Delfzijl en omgeving (CR);2011;330.0;101470.0
73;Totaal alle vormen van jeugdzorg;Delfzijl en omgeving (CR);2012;385.0;116070.0
74;Totaal alle vormen van jeugdzorg;Delfzijl en omgeving (CR);2013;360.0;102230.0
75;Totaal alle vormen van jeugdzorg;Delfzijl en omgeving (CR);2014;310.0;93190.0
76;Totaal alle vormen van jeugdzorg;Overig Groningen (CR);2011;2140.0;708620.0
77;Totaal alle vormen van jeugdzorg;Overig Groningen (CR);2012;2220.0;735820.0
78;Totaal alle vormen van jeugdzorg;Overig Groningen (CR);2013;2220.0;730540.0
79;Totaal alle vormen van jeugdzorg;Overig Groningen (CR);2014;2160.0;647460.0
80;Totaal alle vormen van jeugdzorg;Noord-Friesland (CR);2011;1895.0;649210.0
81;Totaal alle vormen van jeugdzorg;Noord-Friesland (CR);2012;2055.0;693540.0
82;Totaal alle vormen van jeugdzorg;Noord-Friesland (CR);2013;2115.0;718290.0
83;Totaal alle vormen van jeugdzorg;Noord-Friesland (CR);2014;2090.0;716820.0
84;Totaal alle vormen van jeugdzorg;Zuidwest-Friesland (CR);2011;500.0;171960.0
85;Totaal alle vormen van jeugdzorg;Zuidwest-Friesland (CR);2012;505.0;170840.0
86;Totaal alle vormen van jeugdzorg;Zuidwest-Friesland (CR);2013;525.0;175500.0
87;Totaal alle vormen van jeugdzorg;Zuidwest-Friesland (CR);2014;635.0;211990.0
88;Totaal alle vormen van jeugdzorg;Zuidoost-Friesland (CR);2011;1180.0;399140.0
89;Totaal alle vormen van jeugdzorg;Zuidoost-Friesland (CR);2012;1160.0;391410.0
90;Totaal alle vormen van jeugdzorg;Zuidoost-Friesland (CR);2013;1230.0;421360.0
91;Totaal alle vormen van jeugdzorg;Zuidoost-Friesland (CR);2014;1185.0;413190.0
92;Totaal alle vormen van jeugdzorg;Noord-Drenthe (CR);2011;810.0;274020.0
93;Totaal alle vormen van jeugdzorg;Noord-Drenthe (CR);2012;835.0;266620.0
94;Totaal alle vormen van jeugdzorg;Noord-Drenthe (CR);2013;895.0;293260.0
95;Totaal alle vormen van jeugdzorg;Noord-Drenthe (CR);2014;915.0;279890.0
96;Totaal alle vormen van jeugdzorg;Zuidoost-Drenthe (CR);2011;930.0;304770.0
97;Totaal alle vormen van jeugdzorg;Zuidoost-Drenthe (CR);2012;835.0;286710.0
98;Totaal alle vormen van jeugdzorg;Zuidoost-Drenthe (CR);2013;880.0;291170.0
99;Totaal alle vormen van jeugdzorg;Zuidoost-Drenthe (CR);2014;1025.0;302820.0
100;Totaal alle vormen van jeugdzorg;Zuidwest-Drenthe (CR);2011;585.0;189830.0
101;Totaal alle vormen van jeugdzorg;Zuidwest-Drenthe (CR);2012;570.0;177460.0
102;Totaal alle vormen van jeugdzorg;Zuidwest-Drenthe (CR);2013;555.0;192380.0
103;Totaal alle vormen van jeugdzorg;Zuidwest-Drenthe (CR);2014;620.0;202330.0
104;Totaal alle vormen van jeugdzorg;Noord-Overijssel (CR);2011;2180.0;956870.0
105;Totaal alle vormen van jeugdzorg;Noord-Overijssel (CR);2012;2175.0;953430.0
106;Totaal alle vormen van jeugdzorg;Noord-Overijssel (CR);2013;2145.0;941280.0
107;Totaal alle vormen van jeugdzorg;Noord-Overijssel (CR);2014;1990.0;888480.0
108;Totaal alle vormen van jeugdzorg;Zuidwest-Overijssel (CR);2011;940.0;352630.0
109;Totaal alle vormen van jeugdzorg;Zuidwest-Overijssel (CR);2012;890.0;343760.0
110;Totaal alle vormen van jeugdzorg;Zuidwest-Overijssel (CR);2013;870.0;341990.0
111;Totaal alle vormen van jeugdzorg;Zuidwest-Overijssel (CR);2014;870.0;319500.0
112;Totaal alle vormen van jeugdzorg;Twente (CR);2011;3750.0;1540000.0
