ID;Geslacht;Leeftijd;TypeReIntegratieParticipatievoorz;StatusPersoonEindeVerslagperiode;Migratieachtergrond;Perioden;PersonenMetVoorziening_1
0;Totaal mannen en vrouwen;Totaal leeftijd;Totaal re-integratie-/participatievoorz.;Totaal personen: Lopend en uitstroom;Totaal;2019 januari;175290
1;Totaal mannen en vrouwen;Totaal leeftijd;Totaal re-integratie-/participatievoorz.;Totaal personen: Lopend en uitstroom;Totaal;2019 februari;176050
2;Totaal mannen en vrouwen;Totaal leeftijd;Totaal re-integratie-/participatievoorz.;Totaal personen: Lopend en uitstroom;Totaal;2019 maart;177040
3;Totaal mannen en vrouwen;Totaal leeftijd;Totaal re-integratie-/participatievoorz.;Totaal personen: Lopend en uitstroom;Totaal;2019 april;178820
4;Totaal mannen en vrouwen;Totaal leeftijd;Totaal re-integratie-/participatievoorz.;Totaal personen: Lopend en uitstroom;Totaal;2019 mei;179630
5;Totaal mannen en vrouwen;Totaal leeftijd;Totaal re-integratie-/participatievoorz.;Totaal personen: Lopend en uitstroom;Totaal;2019 juni ;180430
6;Totaal mannen en vrouwen;Totaal leeftijd;Totaal re-integratie-/participatievoorz.;Totaal personen: Lopend en uitstroom;Totaal;2019 juli;181950
7;Totaal mannen en vrouwen;Totaal leeftijd;Totaal re-integratie-/participatievoorz.;Totaal personen: Lopend en uitstroom;Totaal;2019 augustus;180040
8;Totaal mannen en vrouwen;Totaal leeftijd;Totaal re-integratie-/participatievoorz.;Totaal personen: Lopend en uitstroom;Totaal;2019 september;180620
9;Totaal mannen en vrouwen;Totaal leeftijd;Totaal re-integratie-/participatievoorz.;Totaal personen: Lopend en uitstroom;Totaal;2019 oktober;182360
10;Totaal mannen en vrouwen;Totaal leeftijd;Totaal re-integratie-/participatievoorz.;Totaal personen: Lopend en uitstroom;Totaal;2019 november;182360
11;Totaal mannen en vrouwen;Totaal leeftijd;Totaal re-integratie-/participatievoorz.;Totaal personen: Lopend en uitstroom;Totaal;2019 december;181530
12;Totaal mannen en vrouwen;Totaal leeftijd;Totaal re-integratie-/participatievoorz.;Totaal personen: Lopend en uitstroom;Totaal;2020 januari;176090
13;Totaal mannen en vrouwen;Totaal leeftijd;Totaal re-integratie-/participatievoorz.;Totaal personen: Lopend en uitstroom;Totaal;2020 februari;174470
14;Totaal mannen en vrouwen;Totaal leeftijd;Totaal re-integratie-/participatievoorz.;Totaal personen: Lopend en uitstroom;Totaal;2020 maart;177000
15;Totaal mannen en vrouwen;Totaal leeftijd;Totaal re-integratie-/participatievoorz.;Totaal personen: Lopend en uitstroom;Totaal;2020 april;177560
16;Totaal mannen en vrouwen;Totaal leeftijd;Totaal re-integratie-/participatievoorz.;Totaal personen: Lopend en uitstroom;Totaal;2020 mei;177740
