ID;Kenmerken;Marges;Perioden;ScoreGeluk_1;Ongelukkig_2;NietGelukkigNietOngelukkig_3;Gelukkig_4;ScoreTevredenheidMetHetLeven_5;Ontevreden_6;NietTevredenNietOntevreden_7;Tevreden_8;ScoreTevredenheidOpleidingskansen_9;Ontevreden_10;NietTevredenNietOntevreden_11;Tevreden_12;ScoreTevredenheidMetWerk_13;Ontevreden_14;NietTevredenNietOntevreden_15;Tevreden_16;ScoreTevredenheidMetReistijd_17;Ontevreden_18;NietTevredenNietOntevreden_19;Tevreden_20;ScoreTevredenheidDagelijkseBezigheden_21;Ontevreden_22;NietTevredenNietOntevreden_23;Tevreden_24
0;Totaal personen;Waarde;2013;7.7;2.5;10.0;87.5;7.5;3.4;13.0;83.6;7.5;5.2;15.8;79.0;7.7;3.3;12.5;84.2;8.1;3.9;11.6;84.4;7.2;6.3;18.2;75.5
1;Totaal personen;Waarde;2014;7.7;2.4;9.7;87.9;7.6;3.3;12.1;84.6;7.5;5.0;15.4;79.6;7.6;3.6;13.3;83.1;8.1;4.9;11.2;83.8;7.3;6.0;16.9;77.1
2;Totaal personen;Waarde;2015;7.7;2.8;9.8;87.4;7.5;3.9;12.2;83.9;7.5;5.4;15.0;79.7;7.7;3.1;13.1;83.8;8.1;4.6;11.9;83.4;7.2;5.8;16.9;77.3
3;Totaal personen;Waarde;2016;7.7;2.6;9.1;88.3;7.6;3.0;11.8;85.2;7.5;4.8;14.8;80.4;7.7;3.6;11.3;85.1;8.0;4.8;12.0;83.2;7.3;4.6;18.3;77.1
4;Totaal personen;Waarde;2017;7.7;2.8;9.8;87.5;7.6;3.5;11.1;85.4;7.6;4.5;13.6;82.0;7.7;3.1;12.0;84.9;8.0;5.1;12.0;82.9;7.2;6.3;17.1;76.5
5;Totaal personen;Waarde;2018;7.7;2.8;9.4;87.7;7.6;2.4;11.8;85.7;7.6;5.4;13.1;81.5;7.7;3.1;12.7;84.2;8.0;6.2;12.4;81.5;7.3;4.7;16.3;79.0
6;Totaal personen;Waarde;2019;7.7;2.6;8.5;88.9;7.7;2.4;10.3;87.3;7.7;4.8;12.9;82.4;7.8;3.0;10.1;86.9;8.0;5.2;12.2;82.6;7.3;4.5;16.3;79.2
7;Totaal personen;Waarde;2020;7.7;2.7;10.5;86.8;7.6;2.7;12.4;84.8;7.7;4.7;12.6;82.7;7.8;2.5;11.3;86.2;8.1;5.1;10.6;84.3;7.3;5.7;16.7;77.6
8;Totaal personen;Waarde;2021;7.6;3.3;10.3;86.4;7.5;3.3;13.0;83.6;7.8;4.3;10.9;84.8;7.8;3.4;10.1;86.5;8.2;4.1;10.9;85.0;7.2;5.7;19.5;74.8
9;Totaal personen;Waarde;2022;7.6;2.8;11.1;86.1;7.5;3.1;13.5;83.4;7.8;4.3;12.2;83.4;7.7;2.9;11.8;85.3;;;;;7.3;5.0;17.2;77.8
10;Totaal personen;Waarde;2023;7.6;2.3;11.1;86.6;7.5;2.9;12.9;84.2;7.8;4.5;12.0;83.5;7.8;2.5;10.7;86.9;;;;;7.3;5.6;17.2;77.2
11;Totaal personen;Ondergrens 95%-interval;2013;7.7;2.1;9.2;86.6;7.5;3.0;12.1;82.6;7.4;4.7;14.9;77.9;7.6;2.7;11.5;83.0;8.1;3.3;10.6;83.2;7.1;5.4;16.7;73.8
12;Totaal personen;Ondergrens 95%-interval;2014;7.7;2.0;9.0;87.1;7.5;2.9;11.3;83.7;7.4;4.5;14.5;78.6;7.5;3.0;12.2;81.9;8.0;4.3;10.3;82.6;7.2;5.2;15.5;75.4
13;Totaal personen;Ondergrens 95%-interval;2015;7.7;2.4;9.1;86.6;7.5;3.4;11.4;83.0;7.5;4.8;14.1;78.7;7.6;2.6;12.1;82.6;8.0;4.0;10.9;82.2;7.2;5.0;15.5;75.7
14;Totaal personen;Ondergrens 95%-interval;2016;7.7;2.2;8.4;87.5;7.6;2.6;11.0;84.3;7.5;4.3;13.9;79.4;7.6;3.0;10.4;83.9;8.0;4.1;11.0;82.0;7.2;3.8;16.9;75.4
15;Totaal personen;Ondergrens 95%-interval;2017;7.7;2.4;9.0;86.6;7.6;3.1;10.3;84.5;7.6;4.0;12.7;81.0;7.6;2.6;11.0;83.7;8.0;4.5;11.0;81.6;7.2;5.4;15.7;74.9
16;Totaal personen;Ondergrens 95%-interval;2018;7.6;2.4;8.7;86.9;7.6;2.1;11.0;84.8;7.6;4.8;12.3;80.5;7.6;2.6;11.7;83.0;7.9;5.4;11.4;80.2;7.3;3.9;14.9;77.4
17;Totaal personen;Ondergrens 95%-interval;2019;7.7;2.2;7.8;88.1;7.6;2.0;9.6;86.4;7.6;4.2;12.0;81.4;7.7;2.5;9.2;85.8;8.0;4.5;11.2;81.4;7.3;3.7;14.9;77.5
18;Totaal personen;Ondergrens 95%-interval;2020;7.6;2.3;9.7;85.9;7.6;2.4;11.6;83.9;7.7;4.2;11.8;81.7;7.7;2.0;10.3;85.0;8.0;4.4;9.7;83.1;7.2;4.8;15.3;75.9
19;Totaal personen;Ondergrens 95%-interval;2021;7.6;2.8;9.5;85.4;7.5;2.8;12.2;82.6;7.8;3.8;10.1;83.8;7.7;2.8;9.1;85.3;8.1;3.4;9.9;83.8;7.1;4.7;17.9;73.0
20;Totaal personen;Ondergrens 95%-interval;2022;7.6;2.5;10.4;85.2;7.5;2.7;12.7;82.4;7.7;3.9;11.5;82.5;7.7;2.4;10.8;84.2;;;;;7.2;4.2;15.9;76.2
21;Totaal personen;Ondergrens 95%-interval;2023;7.6;1.9;10.4;85.7;7.5;2.5;12.1;83.2;7.7;4.0;11.2;82.5;7.7;2.0;9.8;85.8;;;;;7.2;4.7;15.8;75.6
22;Totaal personen;Bovengrens 95%-interval;2013;7.7;2.9;10.8;88.4;7.6;4.0;13.9;84.5;7.5;5.9;16.7;80.0;7.7;3.9;13.6;85.4;8.2;4.6;12.7;85.6;7.3;7.4;19.8;77.2
23;Totaal personen;Bovengrens 95%-interval;2014;7.7;2.8;10.5;88.7;7.6;3.8;12.9;85.5;7.5;5.6;16.3;80.6;7.6;4.3;14.4;84.3;8.1;5.7;12.3;85.0;7.3;7.0;18.4;78.6
24;Totaal personen;Bovengrens 95%-interval;2015;7.7;3.2;10.6;88.2;7.6;4.4;13.0;84.8;7.5;6.0;15.8;80.6;7.7;3.7;14.2;84.9;8.1;5.4;13.0;84.6;7.3;6.8;18.4;78.8
25;Totaal personen;Bovengrens 95%-interval;2016;7.8;3.1;9.8;89.1;7.6;3.5;12.6;86.0;7.6;5.4;15.7;81.4;7.7;4.3;12.4;86.2;8.1;5.5;13.1;84.3;7.3;5.5;19.9;78.7
26;Totaal personen;Bovengrens 95%-interval;2017;7.7;3.2;10.5;88.3;7.6;4.0;11.9;86.3;7.6;5.0;14.4;82.9;7.7;3.7;13.1;86.0;8.1;5.9;13.1;84.0;7.3;7.4;18.6;78.1
27;Totaal personen;Bovengrens 95%-interval;2018;7.7;3.3;10.2;88.5;7.6;2.9;12.7;86.6;7.7;6.0;14.0;82.5;7.7;3.7;13.8;85.4;8.0;7.0;13.4;82.7;7.4;5.6;17.8;80.6
28;Totaal personen;Bovengrens 95%-interval;2019;7.7;3.1;9.2;89.7;7.7;2.8;11.1;88.2;7.7;5.4;13.7;83.3;7.8;3.6;11.1;87.9;8.1;5.9;13.3;83.8;7.4;5.5;17.9;80.8
29;Totaal personen;Bovengrens 95%-interval;2020;7.7;3.2;11.3;87.6;7.6;3.2;13.3;85.7;7.8;5.3;13.5;83.6;7.8;3.0;12.4;87.3;8.2;5.9;11.6;85.5;7.4;6.7;18.2;79.2
30;Totaal personen;Bovengrens 95%-interval;2021;7.6;3.8;11.2;87.3;7.6;3.9;14.0;84.6;7.9;4.9;11.8;85.8;7.8;4.1;11.2;87.7;8.3;4.8;12.0;86.2;7.3;6.8;21.2;76.6
31;Totaal personen;Bovengrens 95%-interval;2022;7.6;3.3;11.9;86.9;7.5;3.6;14.4;84.2;7.8;4.9;13.0;84.3;7.8;3.5;12.8;86.4;;;;;7.3;5.9;18.6;79.3
32;Totaal personen;Bovengrens 95%-interval;2023;7.7;2.7;11.9;87.4;7.6;3.4;13.8;85.0;7.8;5.1;12.8;84.4;7.8;3.0;11.7;87.9;;;;;7.3;6.5;18.7;78.8
33;Arb.pos.: werkzame beroepsbevolking;Waarde;2013;7.8;1.5;7.5;91.0;7.7;2.1;10.7;87.3;7.7;3.3;12.4;84.3;7.7;3.3;12.5;84.2;8.1;3.9;11.6;84.4;7.3;4.9;15.0;80.1
34;Arb.pos.: werkzame beroepsbevolking;Waarde;2014;7.8;1.6;6.7;91.7;7.7;2.0;9.5;88.5;7.7;2.9;12.6;84.5;7.6;3.6;13.3;83.1;8.1;4.9;11.2;83.8;7.4;3.6;14.8;81.6
35;Arb.pos.: werkzame beroepsbevolking;Waarde;2015;7.8;1.8;7.1;91.1;7.7;2.2;10.0;87.8;7.7;3.2;12.0;84.8;7.7;3.1;13.1;83.8;8.1;4.6;11.9;83.4;7.4;3.9;13.6;82.5
36;Arb.pos.: werkzame beroepsbevolking;Waarde;2016;7.8;1.7;7.3;91.0;7.7;1.8;9.6;88.6;7.7;3.3;11.8;84.9;7.7;3.6;11.3;85.1;8.0;4.8;12.0;83.2;7.4;2.0;17.3;80.7
37;Arb.pos.: werkzame beroepsbevolking;Waarde;2017;7.8;1.5;7.6;90.9;7.7;1.7;9.3;89.0;7.8;2.6;11.0;86.4;7.7;3.1;12.0;84.9;8.0;5.1;12.0;82.9;7.4;3.3;14.8;81.9
38;Arb.pos.: werkzame beroepsbevolking;Waarde;2018;7.8;2.0;7.7;90.3;7.7;1.5;10.2;88.2;7.8;3.9;10.0;86.0;7.7;3.1;12.7;84.2;8.0;6.2;12.4;81.5;7.4;4.7;13.2;82.1
