ID;Perioden;CPI_1;JaarmutatieCPI_2
0;1900;100.0;
1;1901;106.1;6.1
2;1902;103.0;-2.9
3;1903;103.0;0.0
4;1904;106.1;2.9
5;1905;106.1;0.0
6;1906;106.1;0.0
7;1907;107.6;1.4
8;1908;110.6;2.8
9;1909;109.1;-1.4
10;1910;112.1;2.8
11;1911;113.6;1.4
12;1912;115.2;1.3
13;1913;116.7;1.3
14;1914;116.7;0.0
15;1915;133.3;14.3
16;1916;148.5;11.4
17;1917;157.6;6.1
18;1918;187.9;19.2
19;1919;204.5;8.9
20;1920;225.8;10.4
21;1921;195.5;-13.4
22;1922;174.2;-10.9
23;1923;166.7;-4.3
24;1924;168.2;0.9
25;1925;166.7;-0.9
26;1926;160.6;-3.6
27;1927;160.6;0.0
28;1928;162.1;0.9
29;1929;160.6;-0.9
30;1930;154.5;-3.8
31;1931;145.5;-5.9
32;1932;134.8;-7.3
33;1933;133.3;-1.1
34;1934;133.3;0.0
35;1935;128.8;-3.4
36;1936;125.8;-2.4
37;1937;128.8;2.4
38;1938;131.8;2.4
39;1939;133.3;1.1
40;1940;152.9;14.7
41;1941;175.2;14.5
42;1942;188.2;7.5
43;1943;194.8;3.5
44;1944;200.0;2.7
45;1945;230.1;15.0
46;1946;251.0;9.1
47;1947;260.1;3.6
48;1948;269.3;3.5
49;1949;286.3;6.3
50;1950;312.4;9.1
51;1951;342.5;9.6
52;1952;342.5;0.0
53;1953;342.5;0.0
54;1954;356.2;4.0
55;1955;363.0;1.9
56;1956;369.9;1.9
57;1957;393.9;6.5
58;1958;400.7;1.7
59;1959;404.1;0.9
60;1960;414.4;2.5
61;1961;421.3;1.7
62;1962;429.4;1.9
63;1963;445.8;3.8
64;1964;470.3;5.5
65;1965;494.9;5.2
66;1966;523.5;5.8
67;1967;539.9;3.1
68;1968;559.8;3.7
69;1969;601.5;7.5
70;1970;628.1;4.4
71;1971;675.5;7.6
72;1972;728.3;7.8
73;1973;786.5;8.0
74;1974;862.3;9.6
75;1975;950.2;10.2
76;1976;1033.9;8.8
77;1977;1103.1;6.7
78;1978;1147.8;4.1
79;1979;1196.4;4.2
80;1980;1274.5;6.5
81;1981;1360.2;6.7
82;1982;1441.2;6.0
83;1983;1482.0;2.8
84;1984;1530.5;3.3
85;1985;1564.9;2.3
86;1986;1567.5;0.2
87;1987;1559.8;-0.5
88;1988;1570.8;0.7
89;1989;1588.1;1.1
90;1990;1627.3;2.5
91;1991;1690.1;3.9
92;1992;1752.8;3.7
93;1993;1788.9;2.1
94;1994;1838.2;2.8
95;1995;1871.0;1.8
96;1996;1910.4;2.1
97;1997;1951.6;2.2
98;1998;1989.1;1.9
99;1999;2032.2;2.2
100;2000;2082.9;2.5
101;2001;2178.5;4.6
102;2002;2251.6;3.4
103;2003;2299.7;2.1
104;2004;2326.9;1.2
105;2005;2366.7;1.7
106;2006;2393.9;1.1
107;2007;2432.4;1.6
108;2008;2493.0;2.5
109;2009;2522.7;1.2
110;2010;2554.8;1.3
111;2011;2614.6;2.3
112;2012;2678.8;2.5
113;2013;2746.0;2.5
114;2014;2772.8;1.0
115;2015;2790.8;0.6
116;2016;2799.7;0.3
117;2017;2838.2;1.4
118;2018;2886.8;1.7
119;2019;2962.7;2.6
120;2020;3000.4;1.3
121;2021;3080.8;2.7
122;2022;3388.9;10.0
123;2023;3518.9;3.8
124;2024;3636.7;3.3
