ID;Populatie;Geslacht;Persoonskenmerken;Perioden;ParticipatiegraadVerkeersdeelnemers_1;AandeelOVGebruikers_2
0;Hele bevolking;1;Totaal persoonskenmerken;1985;;
1;Hele bevolking;1;Totaal persoonskenmerken;1986;;
2;Hele bevolking;1;Totaal persoonskenmerken;1987;;
3;Hele bevolking;1;Totaal persoonskenmerken;1988;;
4;Hele bevolking;1;Totaal persoonskenmerken;1989;;
5;Hele bevolking;1;Totaal persoonskenmerken;1990;;
6;Hele bevolking;1;Totaal persoonskenmerken;1991;;
7;Hele bevolking;1;Totaal persoonskenmerken;1992;;
8;Hele bevolking;1;Totaal persoonskenmerken;1993;;
9;Hele bevolking;1;Totaal persoonskenmerken;1994;82.82;7.52
10;Hele bevolking;1;Totaal persoonskenmerken;1995;82.62;7.24
11;Hele bevolking;1;Totaal persoonskenmerken;1996;82.79;7.33
12;Hele bevolking;1;Totaal persoonskenmerken;1997;83.29;7.37
13;Hele bevolking;1;Totaal persoonskenmerken;1998;83.37;7.36
14;Hele bevolking;1;Totaal persoonskenmerken;1999;83.19;7.57
15;Hele bevolking;1;Totaal persoonskenmerken;2000;82.92;7.51
16;Hele bevolking;1;Totaal persoonskenmerken;2001;82.58;7.43
17;Hele bevolking;1;Totaal persoonskenmerken;2002;82.25;6.98
18;Hele bevolking;1;Totaal persoonskenmerken;2003;82.8;6.84
19;Hele bevolking;1;Totaal persoonskenmerken;2004;84.0;7.22
20;Hele bevolking;1;Totaal persoonskenmerken;2005;83.25;7.09
21;Hele bevolking;1;Totaal persoonskenmerken;2006;82.79;7.01
22;Hele bevolking;1;Totaal persoonskenmerken;2007;83.1;7.19
23;Hele bevolking;1;Jonger dan 12 jaar - geen eigen inkomen;1985;;
24;Hele bevolking;1;Jonger dan 12 jaar - geen eigen inkomen;1986;;
25;Hele bevolking;1;Jonger dan 12 jaar - geen eigen inkomen;1987;;
26;Hele bevolking;1;Jonger dan 12 jaar - geen eigen inkomen;1988;;
27;Hele bevolking;1;Jonger dan 12 jaar - geen eigen inkomen;1989;;
28;Hele bevolking;1;Jonger dan 12 jaar - geen eigen inkomen;1990;;
29;Hele bevolking;1;Jonger dan 12 jaar - geen eigen inkomen;1991;;
30;Hele bevolking;1;Jonger dan 12 jaar - geen eigen inkomen;1992;;
31;Hele bevolking;1;Jonger dan 12 jaar - geen eigen inkomen;1993;;
32;Hele bevolking;1;Jonger dan 12 jaar - geen eigen inkomen;1994;86.49;2.21
33;Hele bevolking;1;Jonger dan 12 jaar - geen eigen inkomen;1995;85.98;1.43
34;Hele bevolking;1;Jonger dan 12 jaar - geen eigen inkomen;1996;85.69;1.57
35;Hele bevolking;1;Jonger dan 12 jaar - geen eigen inkomen;1997;86.15;1.74
36;Hele bevolking;1;Jonger dan 12 jaar - geen eigen inkomen;1998;86.5;1.73
37;Hele bevolking;1;Jonger dan 12 jaar - geen eigen inkomen;1999;84.77;1.61
38;Hele bevolking;1;Jonger dan 12 jaar - geen eigen inkomen;2000;84.45;1.75
39;Hele bevolking;1;Jonger dan 12 jaar - geen eigen inkomen;2001;83.44;1.57
40;Hele bevolking;1;Jonger dan 12 jaar - geen eigen inkomen;2002;83.08;1.47
41;Hele bevolking;1;Jonger dan 12 jaar - geen eigen inkomen;2003;84.28;1.35
42;Hele bevolking;1;Jonger dan 12 jaar - geen eigen inkomen;2004;84.84;1.54
43;Hele bevolking;1;Jonger dan 12 jaar - geen eigen inkomen;2005;83.25;1.51
44;Hele bevolking;1;Jonger dan 12 jaar - geen eigen inkomen;2006;82.94;1.84
45;Hele bevolking;1;Jonger dan 12 jaar - geen eigen inkomen;2007;83.26;2.04
46;Hele bevolking;1;Jaarinkomen: geen;1985;80.71;7.09
47;Hele bevolking;1;Jaarinkomen: geen;1986;80.89;6.82
48;Hele bevolking;1;Jaarinkomen: geen;1987;81.59;6.82
49;Hele bevolking;1;Jaarinkomen: geen;1988;81.33;6.89
50;Hele bevolking;1;Jaarinkomen: geen;1989;83.7;7.16
51;Hele bevolking;1;Jaarinkomen: geen;1990;83.45;6.85
52;Hele bevolking;1;Jaarinkomen: geen;1991;81.12;8.72
53;Hele bevolking;1;Jaarinkomen: geen;1992;81.82;9.16
54;Hele bevolking;1;Jaarinkomen: geen;1993;81.73;8.81
55;Hele bevolking;1;Jaarinkomen: geen;1994;81.76;7.42
56;Hele bevolking;1;Jaarinkomen: geen;1995;81.49;7.52
57;Hele bevolking;1;Jaarinkomen: geen;1996;81.34;7.67
58;Hele bevolking;1;Jaarinkomen: geen;1997;81.92;7.58
59;Hele bevolking;1;Jaarinkomen: geen;1998;81.79;7.22
60;Hele bevolking;1;Jaarinkomen: geen;1999;82.31;10.13
61;Hele bevolking;1;Jaarinkomen: geen;2000;81.87;9.43
62;Hele bevolking;1;Jaarinkomen: geen;2001;81.46;9.98
63;Hele bevolking;1;Jaarinkomen: geen;2002;80.12;8.87
64;Hele bevolking;1;Jaarinkomen: geen;2003;79.72;10.53
65;Hele bevolking;1;Jaarinkomen: geen;2004;82.63;10.0
66;Hele bevolking;1;Jaarinkomen: geen;2005;80.83;10.13
67;Hele bevolking;1;Jaarinkomen: geen;2006;80.47;10.19
68;Hele bevolking;1;Jaarinkomen: geen;2007;80.46;10.6
69;Hele bevolking;1;Jaarinkomen: minder dan 7 500 euro;1985;83.13;8.84
70;Hele bevolking;1;Jaarinkomen: minder dan 7 500 euro;1986;83.2;8.72
71;Hele bevolking;1;Jaarinkomen: minder dan 7 500 euro;1987;84.93;10.3
72;Hele bevolking;1;Jaarinkomen: minder dan 7 500 euro;1988;83.83;13.59
73;Hele bevolking;1;Jaarinkomen: minder dan 7 500 euro;1989;86.22;11.64
74;Hele bevolking;1;Jaarinkomen: minder dan 7 500 euro;1990;82.54;10.76
75;Hele bevolking;1;Jaarinkomen: minder dan 7 500 euro;1991;81.83;13.95
76;Hele bevolking;1;Jaarinkomen: minder dan 7 500 euro;1992;80.6;15.9
77;Hele bevolking;1;Jaarinkomen: minder dan 7 500 euro;1993;77.81;15.82
78;Hele bevolking;1;Jaarinkomen: minder dan 7 500 euro;1994;79.32;14.33
79;Hele bevolking;1;Jaarinkomen: minder dan 7 500 euro;1995;79.13;13.58
80;Hele bevolking;1;Jaarinkomen: minder dan 7 500 euro;1996;79.78;13.01
81;Hele bevolking;1;Jaarinkomen: minder dan 7 500 euro;1997;80.35;12.89
82;Hele bevolking;1;Jaarinkomen: minder dan 7 500 euro;1998;79.88;12.44
83;Hele bevolking;1;Jaarinkomen: minder dan 7 500 euro;1999;81.56;13.1
84;Hele bevolking;1;Jaarinkomen: minder dan 7 500 euro;2000;81.74;13.29
85;Hele bevolking;1;Jaarinkomen: minder dan 7 500 euro;2001;81.07;13.35
86;Hele bevolking;1;Jaarinkomen: minder dan 7 500 euro;2002;81.78;13.52
87;Hele bevolking;1;Jaarinkomen: minder dan 7 500 euro;2003;79.74;12.54
88;Hele bevolking;1;Jaarinkomen: minder dan 7 500 euro;2004;82.46;11.62
89;Hele bevolking;1;Jaarinkomen: minder dan 7 500 euro;2005;81.42;13.96
90;Hele bevolking;1;Jaarinkomen: minder dan 7 500 euro;2006;81.26;14.24
91;Hele bevolking;1;Jaarinkomen: minder dan 7 500 euro;2007;80.6;16.23
92;Hele bevolking;1;Jaarinkomen: 7 500 tot 15 000 euro;1985;75.63;9.7
93;Hele bevolking;1;Jaarinkomen: 7 500 tot 15 000 euro;1986;75.44;9.56
94;Hele bevolking;1;Jaarinkomen: 7 500 tot 15 000 euro;1987;76.83;11.08
95;Hele bevolking;1;Jaarinkomen: 7 500 tot 15 000 euro;1988;77.14;10.05
96;Hele bevolking;1;Jaarinkomen: 7 500 tot 15 000 euro;1989;78.11;9.86
