ID;Geslacht;Studierichting;Herkomstgroepering;Perioden;Gediplomeerden_1
0;Totaal mannen en vrouwen;0;0;1995/'96;71542
1;Totaal mannen en vrouwen;0;0;1996/'97;68659
2;Totaal mannen en vrouwen;0;0;1997/'98;65725
3;Totaal mannen en vrouwen;0;0;1998/'99;64809
4;Totaal mannen en vrouwen;0;0;1999/'00;66628
5;Totaal mannen en vrouwen;0;0;2000/'01;67434
6;Totaal mannen en vrouwen;0;0;2001/'02;70599
7;Totaal mannen en vrouwen;0;0;2002/'03;73376
8;Totaal mannen en vrouwen;0;0;2003/'04;77195
9;Totaal mannen en vrouwen;0;0;2004/'05;81953
10;Totaal mannen en vrouwen;0;0;2005/'06;86106
11;Totaal mannen en vrouwen;0;0;2006/'07;85467
12;Totaal mannen en vrouwen;0;0;2007/'08;82801
13;Totaal mannen en vrouwen;0;0;2008/'09;84222
14;Totaal mannen en vrouwen;0;0;2009/'10;85630
15;Totaal mannen en vrouwen;0;0;2010/'11;87387
16;Totaal mannen en vrouwen;0;0;2011/'12;95277
17;Totaal mannen en vrouwen;0;0;2012/'13;87709
18;Totaal mannen en vrouwen;0;0;2013/'14;89166
19;Totaal mannen en vrouwen;0;0;2014/'15;94655
20;Totaal mannen en vrouwen;0;0;2015/'16;95257
21;Totaal mannen en vrouwen;0;Autochtoon;1995/'96;61543
22;Totaal mannen en vrouwen;0;Autochtoon;1996/'97;58501
23;Totaal mannen en vrouwen;0;Autochtoon;1997/'98;55331
24;Totaal mannen en vrouwen;0;Autochtoon;1998/'99;53783
25;Totaal mannen en vrouwen;0;Autochtoon;1999/'00;54636
26;Totaal mannen en vrouwen;0;Autochtoon;2000/'01;54332
27;Totaal mannen en vrouwen;0;Autochtoon;2001/'02;56081
28;Totaal mannen en vrouwen;0;Autochtoon;2002/'03;57634
29;Totaal mannen en vrouwen;0;Autochtoon;2003/'04;61228
30;Totaal mannen en vrouwen;0;Autochtoon;2004/'05;64563
31;Totaal mannen en vrouwen;0;Autochtoon;2005/'06;67010
32;Totaal mannen en vrouwen;0;Autochtoon;2006/'07;66569
33;Totaal mannen en vrouwen;0;Autochtoon;2007/'08;64070
34;Totaal mannen en vrouwen;0;Autochtoon;2008/'09;64742
35;Totaal mannen en vrouwen;0;Autochtoon;2009/'10;65205
36;Totaal mannen en vrouwen;0;Autochtoon;2010/'11;66050
37;Totaal mannen en vrouwen;0;Autochtoon;2011/'12;71870
38;Totaal mannen en vrouwen;0;Autochtoon;2012/'13;66074
39;Totaal mannen en vrouwen;0;Autochtoon;2013/'14;66915
40;Totaal mannen en vrouwen;0;Autochtoon;2014/'15;70887
41;Totaal mannen en vrouwen;0;Autochtoon;2015/'16;70950
42;Totaal mannen en vrouwen;0;Westerse allochtoon;1995/'96;5578
43;Totaal mannen en vrouwen;0;Westerse allochtoon;1996/'97;5320
44;Totaal mannen en vrouwen;0;Westerse allochtoon;1997/'98;5037
45;Totaal mannen en vrouwen;0;Westerse allochtoon;1998/'99;4840
46;Totaal mannen en vrouwen;0;Westerse allochtoon;1999/'00;4745
47;Totaal mannen en vrouwen;0;Westerse allochtoon;2000/'01;4824
48;Totaal mannen en vrouwen;0;Westerse allochtoon;2001/'02;5195
49;Totaal mannen en vrouwen;0;Westerse allochtoon;2002/'03;5551
50;Totaal mannen en vrouwen;0;Westerse allochtoon;2003/'04;6549
51;Totaal mannen en vrouwen;0;Westerse allochtoon;2004/'05;7262
52;Totaal mannen en vrouwen;0;Westerse allochtoon;2005/'06;8020
53;Totaal mannen en vrouwen;0;Westerse allochtoon;2006/'07;7888
54;Totaal mannen en vrouwen;0;Westerse allochtoon;2007/'08;7835
55;Totaal mannen en vrouwen;0;Westerse allochtoon;2008/'09;8849
56;Totaal mannen en vrouwen;0;Westerse allochtoon;2009/'10;9706
57;Totaal mannen en vrouwen;0;Westerse allochtoon;2010/'11;10119
58;Totaal mannen en vrouwen;0;Westerse allochtoon;2011/'12;11548
59;Totaal mannen en vrouwen;0;Westerse allochtoon;2012/'13;11156
60;Totaal mannen en vrouwen;0;Westerse allochtoon;2013/'14;11413
61;Totaal mannen en vrouwen;0;Westerse allochtoon;2014/'15;12974
62;Totaal mannen en vrouwen;0;Westerse allochtoon;2015/'16;13112
63;Totaal mannen en vrouwen;0;Westerse allochtoon, 1e generatie;1995/'96;1333
64;Totaal mannen en vrouwen;0;Westerse allochtoon, 1e generatie;1996/'97;1363
65;Totaal mannen en vrouwen;0;Westerse allochtoon, 1e generatie;1997/'98;1384
66;Totaal mannen en vrouwen;0;Westerse allochtoon, 1e generatie;1998/'99;1220
