ID;Sex;PersonCharacteristics;Periods;NumberOfPersons_1;MeanEquivalisedIncome_2;NumberOfPersonsWithIncome_3;MeanPersonalIncome_4;MedianDevelopmentPurchasingPower_5;PersonsEconomicallyIndependent_6;LowIncomePersons_7
0;Total male and female;Total persons;2011;16309.8;26.9;12807.3;28.8;;67.7;5.8
1;Total male and female;Total persons;2012;16378.0;27.1;12891.6;29.1;-1.1;67.6;6.7
2;Total male and female;Total persons;2013;16429.5;27.3;12951.4;29.4;-1.1;67.1;7.4
3;Total male and female;Total persons;2014;16454.5;28.9;13005.8;29.9;1.9;67.3;7.2
4;Total male and female;Total persons;2015;16528.1;28.7;13115.5;30.4;1.3;68.1;6.9
5;Total male and female;Total persons;2016;16595.2;30.0;13225.4;31.0;3.0;69.2;6.5
6;Total male and female;Total persons;2017;16707.3;31.1;13396.7;32.0;0.7;70.3;6.3
7;Total male and female;Total persons;2018;16806.3;31.5;13551.8;32.3;0.6;71.7;6.3
8;Total male and female;Total persons;2019;16909.9;33.9;13702.3;33.4;1.5;72.8;5.9
9;Total male and female;Total persons;2020;17018.5;34.5;13805.8;34.3;2.5;72.4;5.4
10;Total male and female;Total persons;2021;17098.8;36.1;13960.8;35.7;1.4;74.1;5.0
11;Total male and female;Total persons;2022;17203.8;38.2;14179.3;37.4;-1.1;76.2;3.6
12;Total male and female;Total persons;2023;17389.9;41.2;14348.7;39.7;0.3;76.2;3.3
13;Total male and female;Age: 0 to 14 years;2011;2881.1;25.3;98.6;0.8;;;8.6
14;Total male and female;Age: 0 to 14 years;2012;2869.0;25.4;93.2;0.9;-0.8;;9.7
15;Total male and female;Age: 0 to 14 years;2013;2849.3;25.8;88.4;0.9;-0.1;;10.6
16;Total male and female;Age: 0 to 14 years;2014;2822.8;27.3;87.2;0.9;2.6;;10.3
17;Total male and female;Age: 0 to 14 years;2015;2799.9;27.3;93.7;0.9;2.5;;9.9
18;Total male and female;Age: 0 to 14 years;2016;2771.3;28.7;97.9;0.9;4.9;;9.2
19;Total male and female;Age: 0 to 14 years;2017;2752.4;29.7;107.8;0.8;1.7;;8.8
20;Total male and female;Age: 0 to 14 years;2018;2734.2;30.4;121.5;0.8;1.8;;8.7
21;Total male and female;Age: 0 to 14 years;2019;2713.4;32.6;128.0;0.9;2.4;;8.1
22;Total male and female;Age: 0 to 14 years;2020;2700.0;33.3;111.6;0.9;4.2;;7.5
23;Total male and female;Age: 0 to 14 years;2021;2686.6;34.9;134.6;0.9;2.7;;6.7
24;Total male and female;Age: 0 to 14 years;2022;2686.0;37.0;166.7;1.0;0.0;;5.3
25;Total male and female;Age: 0 to 14 years;2023;2696.7;39.5;179.1;1.1;1.2;;4.6
26;Total male and female;Age: 15 to 24 years;2011;1989.0;25.1;1833.1;10.6;;64.9;5.9
27;Total male and female;Age: 15 to 24 years;2012;1991.2;25.1;1823.4;10.4;-0.3;62.6;6.9
28;Total male and female;Age: 15 to 24 years;2013;1991.1;25.3;1813.9;10.2;0.8;60.3;7.5
29;Total male and female;Age: 15 to 24 years;2014;1998.9;26.7;1817.9;10.1;3.6;60.4;7.2
30;Total male and female;Age: 15 to 24 years;2015;2009.9;26.6;1828.9;10.2;3.8;61.5;6.7
31;Total male and female;Age: 15 to 24 years;2016;2019.7;28.0;1832.9;10.3;6.0;64.2;6.1
32;Total male and female;Age: 15 to 24 years;2017;2034.1;29.5;1852.7;10.7;3.8;66.6;5.8
33;Total male and female;Age: 15 to 24 years;2018;2052.2;30.2;1874.6;11.2;4.0;69.7;5.5
34;Total male and female;Age: 15 to 24 years;2019;2067.4;33.1;1893.7;11.8;4.9;71.9;5.0
35;Total male and female;Age: 15 to 24 years;2020;2072.3;33.9;1875.5;12.4;5.7;71.7;4.5
