ID;Leeftijd;OpleidingsrichtingEnSector;Maandinkomsten;Arbeidsmarktpositie;Regiokenmerken;Perioden;TotaalMboGediplomeerdeSchoolverlaters_1;BolVoltijd_2;Bbl_3;Niveau1_4;Niveau2_5;Niveau3_6;Niveau4_7;BolVoltijdNiveau1_8;BolVoltijdNiveau2_9;BolVoltijdNiveau3_10;BolVoltijdNiveau4_11;BblNiveau1_12;BblNiveau2_13;BblNiveau3_14;BblNiveau4_15
0;Totaal leeftijd;0;0;Totaal arbeidsmarktpositie;Totale populatie;2007/'08;74740.0;38060.0;36680.0;5000.0;20620.0;21040.0;28080.0;1720.0;7300.0;8670.0;20370.0;3280.0;13320.0;12370.0;7710.0
1;Totaal leeftijd;0;0;Totaal arbeidsmarktpositie;Totale populatie;2008/'09;76980.0;36160.0;40820.0;4700.0;21640.0;22230.0;28410.0;1300.0;7150.0;8010.0;19710.0;3410.0;14490.0;14220.0;8710.0
2;Totaal leeftijd;0;0;Totaal arbeidsmarktpositie;Vier grootste gemeenten (G4);2007/'08;7600.0;3990.0;3610.0;660.0;2550.0;1780.0;2610.0;360.0;960.0;830.0;1850.0;300.0;1590.0;960.0;760.0
3;Totaal leeftijd;0;0;Totaal arbeidsmarktpositie;Vier grootste gemeenten (G4);2008/'09;7530.0;3860.0;3670.0;520.0;2400.0;1960.0;2650.0;210.0;920.0;830.0;1900.0;300.0;1480.0;1130.0;750.0
4;Totaal leeftijd;0;0;Totaal arbeidsmarktpositie;Gemeenten: >=100 000 inwoners (excl. G4);2007/'08;13390.0;7120.0;6270.0;1000.0;3780.0;3360.0;5250.0;430.0;1400.0;1500.0;3790.0;580.0;2380.0;1850.0;1460.0
5;Totaal leeftijd;0;0;Totaal arbeidsmarktpositie;Gemeenten: >=100 000 inwoners (excl. G4);2008/'09;13930.0;6450.0;7480.0;1160.0;4060.0;3690.0;5020.0;340.0;1320.0;1340.0;3460.0;830.0;2750.0;2350.0;1560.0
6;Totaal leeftijd;0;0;Totaal arbeidsmarktpositie;Gemeenten: <100 000 inwoners;2007/'08;53400.0;26840.0;26560.0;3310.0;14190.0;15780.0;20120.0;930.0;4920.0;6320.0;14670.0;2380.0;9270.0;9470.0;5450.0
7;Totaal leeftijd;0;0;Totaal arbeidsmarktpositie;Gemeenten: <100 000 inwoners;2008/'09;55100.0;25720.0;29380.0;2980.0;15050.0;16440.0;20620.0;740.0;4880.0;5810.0;14290.0;2240.0;10170.0;10640.0;6330.0
8;Totaal leeftijd;0;0;Totaal arbeidsmarktpositie;Woongemeente onbekend;2007/'08;360.0;120.0;240.0;30.0;110.0;120.0;100.0;10.0;20.0;30.0;60.0;30.0;80.0;90.0;40.0
9;Totaal leeftijd;0;0;Totaal arbeidsmarktpositie;Woongemeente onbekend;2008/'09;420.0;130.0;300.0;40.0;130.0;130.0;120.0;10.0;30.0;30.0;60.0;40.0;100.0;100.0;60.0
10;Totaal leeftijd;0;0;Totaal arbeidsmarktpositie;Noord-Nederland (LD);2007/'08;8630.0;4780.0;3860.0;640.0;2290.0;2490.0;3210.0;140.0;1020.0;1150.0;2460.0;500.0;1260.0;1340.0;750.0
11;Totaal leeftijd;0;0;Totaal arbeidsmarktpositie;Noord-Nederland (LD);2008/'09;9050.0;4550.0;4500.0;590.0;2710.0;2650.0;3110.0;120.0;1010.0;1070.0;2350.0;470.0;1690.0;1570.0;760.0
12;Totaal leeftijd;0;0;Totaal arbeidsmarktpositie;Oost-Nederland (LD);2007/'08;17100.0;9160.0;7940.0;900.0;4430.0;5040.0;6730.0;350.0;1660.0;2060.0;5090.0;560.0;2770.0;2980.0;1640.0
13;Totaal leeftijd;0;0;Totaal arbeidsmarktpositie;Oost-Nederland (LD);2008/'09;18030.0;8470.0;9560.0;1110.0;4860.0;5350.0;6700.0;290.0;1560.0;1920.0;4700.0;820.0;3310.0;3430.0;1990.0
