ID;Bedrijfsgrootte;BedrijfstakkenBranchesSBI2008;Perioden;Onderzoekspopulatie_1;Innovatoren_2;BedrijvenMetProductinnovaties_3;Goederen_4;DoorHetEigenBedrijf_5;InEenSamenwerkingsverband_6;DoorAanpassing_7;UitsluitendDoorDerden_8;Diensten_9;DoorHetEigenBedrijf_10;InEenSamenwerkingsverband_11;DoorAanpassing_12;UitsluitendDoorDerden_13;NieuwVoorDeMarkt_14;AlleenNieuwVoorHetBedrijf_15;BedrijvenMetProcesinnovaties_16;ProductieVanGoederenEnDiensten_17;Logistiek_18;InformatieverwerkingOfCommunicatie_19;Administratie_20;ProceduresOfExterneRelaties_21;BesluitvormingOfPersoneelsbeheer_22;MarketingOfService_23;DoorHetEigenBedrijf_24;InEenSamenwerkingsverband_25;DoorAanpassing_26;UitsluitendDoorDerden_27;NieuwVoorDeMarkt_28;AlleenNieuweVoorHetBedrijf_29;Onbekend_30;AfgebrokenInnovaties_31;OnafgerondeInnovaties_32
0;10 of meer werkzame personen;A-N Business economy en landbouw;2016 - 2018;54920.0;20285.0;9480.0;6365.0;67.0;39.0;19.0;18.0;5875.0;67.0;38.0;22.0;16.0;5560.0;6650.0;16770.0;6000.0;4150.0;8360.0;9385.0;4710.0;5540.0;5135.0;55.0;43.0;15.0;25.0;1950.0;11455.0;3365.0;2825.0;8210.0
1;10 of meer werkzame personen;A-N Business economy en landbouw;2018 - 2020;57440.0;24785.0;10770.0;6965.0;69.0;45.0;17.0;13.0;6915.0;67.0;36.0;19.0;18.0;6160.0;7765.0;20150.0;7155.0;4980.0;10500.0;11200.0;5285.0;6880.0;7400.0;55.0;45.0;15.0;20.0;3130.0;13990.0;3030.0;2850.0;8390.0
2;10 of meer werkzame personen;A-N Business economy en landbouw;2020 - 2022;59130.0;27880.0;11985.0;7605.0;75.0;40.0;18.0;12.0;7690.0;76.0;35.0;17.0;13.0;6685.0;8645.0;22710.0;8155.0;5565.0;10225.0;12180.0;6440.0;7905.0;8020.0;58.0;47.0;16.0;14.0;2755.0;16005.0;3950.0;3300.0;10925.0
3;10 of meer werkzame personen;A Landbouw, bosbouw en visserij;2016 - 2018;2075.0;445.0;30.0;30.0;100.0;51.0;15.0;0.0;10.0;49.0;41.0;22.0;41.0;30.0;15.0;435.0;55.0;15.0;385.0;385.0;5.0;40.0;15.0;14.0;6.0;1.0;85.0;15.0;375.0;45.0;15.0;60.0
4;10 of meer werkzame personen;A Landbouw, bosbouw en visserij;2018 - 2020;2195.0;260.0;45.0;45.0;72.0;61.0;16.0;13.0;15.0;71.0;44.0;7.0;0.0;40.0;20.0;255.0;80.0;50.0;230.0;70.0;10.0;65.0;65.0;95.0;95.0;3.0;1.0;55.0;195.0;5.0;25.0;40.0
5;10 of meer werkzame personen;A Landbouw, bosbouw en visserij;2020 - 2022;2225.0;1025.0;350.0;335.0;74.0;47.0;14.0;20.0;130.0;39.0;57.0;33.0;25.0;240.0;190.0;820.0;535.0;240.0;240.0;380.0;145.0;240.0;250.0;43.0;49.0;18.0;25.0;145.0;545.0;130.0;155.0;415.0
6;10 of meer werkzame personen;B-E Nijverheid (geen bouw) en energie;2016 - 2018;8855.0;4830.0;2800.0;2585.0;84.0;44.0;18.0;7.0;975.0;54.0;43.0;27.0;24.0;1690.0;1755.0;3800.0;2325.0;935.0;1440.0;1735.0;1105.0;1315.0;1175.0;65.0;48.0;16.0;15.0;655.0;2215.0;930.0;1100.0;2635.0
7;10 of meer werkzame personen;B-E Nijverheid (geen bouw) en energie;2018 - 2020;8900.0;5290.0;2675.0;2530.0;80.0;48.0;16.0;6.0;820.0;69.0;44.0;19.0;13.0;1735.0;1675.0;3970.0;2470.0;1065.0;1700.0;1840.0;1100.0;1495.0;1295.0;63.0;47.0;14.0;13.0;630.0;2675.0;670.0;1055.0;2485.0
8;10 of meer werkzame personen;B-E Nijverheid (geen bouw) en energie;2020 - 2022;9020.0;5505.0;3005.0;2715.0;85.0;44.0;14.0;5.0;1090.0;71.0;40.0;19.0;16.0;1680.0;1790.0;4095.0;2550.0;1050.0;1615.0;1705.0;1015.0;1405.0;1230.0;64.0;47.0;14.0;13.0;605.0;2725.0;770.0;880.0;2730.0
9;10 of meer werkzame personen;B Delfstoffenwinning;2016 - 2018;70.0;30.0;15.0;10.0;73.0;59.0;0.0;18.0;5.0;56.0;100.0;78.0;56.0;10.0;5.0;20.0;10.0;5.0;5.0;10.0;5.0;5.0;0.0;43.0;69.0;5.0;13.0;5.0;10.0;5.0;5.0;20.0
