ID;Geslacht;Leeftijd;Migratieachtergrond;Perioden;BeroepsEnNietBeroepsbevolking_1;Beroepsbevolking_2;WerkzameBeroepsbevolking_3;Werknemer_4;WerknemerMetVasteArbeidsrelatie_5;WerknemerMetFlexibeleArbeidsrelatie_6;Zelfstandige_7;ZelfstandigeZonderPersoneelZzp_8;ZelfstandigeMetPersoneel_9;MeewerkendGezinslid_10;PositieInDeWerkkringOnbekend_11;Deeltijd_12;MinderDan20UurPerWeek_13;MinderDan12UurPerWeek_14;k_12Tot20UurPerWeek_15;k_20Tot35UurPerWeek_16;k_20Tot28UurPerWeek_17;k_28Tot35UurPerWeek_18;Voltijd_19;WerklozeBeroepsbevolking_20;Werkloosheidspercentage_21;NietBeroepsbevolking_22;BrutoArbeidsparticipatie_23;NettoArbeidsparticipatie_24
0;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal ;2003 1e kwartaal;12100;8160;7771;6753;5656;1097;1018;641;323;54;0;3333;1518;864;655;1815;916;898;4437;389;4.8;3941;67.4;64.2
1;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal ;2003 2e kwartaal;12111;8167;7782;6786;5698;1088;995;630;318;48;0;3376;1542;867;675;1834;927;907;4406;385;4.7;3944;67.4;64.3
2;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal ;2003 3e kwartaal;12121;8198;7809;6817;5703;1114;992;631;318;43;0;3389;1507;824;683;1882;948;934;4420;389;4.7;3923;67.6;64.4
3;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal ;2003 4e kwartaal;12132;8188;7770;6774;5704;1070;996;633;319;44;0;3395;1532;859;674;1863;932;931;4375;418;5.1;3944;67.5;64.0
4;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal ;2003;12116;8178;7783;6782;5690;1092;1000;634;319;47;0;3373;1525;853;671;1849;931;918;4409;395;4.8;3938;67.5;64.2
5;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal ;2004 1e kwartaal;12142;8199;7719;6702;5676;1026;1017;648;326;44;0;3386;1527;861;666;1858;927;931;4333;480;5.9;3943;67.5;63.6
6;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal ;2004 2e kwartaal;12151;8228;7754;6726;5664;1062;1028;657;329;43;0;3415;1541;853;687;1875;950;924;4339;474;5.8;3923;67.7;63.8
7;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal ;2004 3e kwartaal;12160;8237;7793;6770;5645;1125;1023;654;324;45;0;3400;1517;820;697;1883;958;925;4393;444;5.4;3923;67.7;64.1
8;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal ;2004 4e kwartaal;12169;8243;7777;6755;5652;1103;1022;654;325;44;0;3423;1561;875;686;1863;949;914;4354;466;5.7;3926;67.7;63.9
9;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal ;2004;12155;8227;7761;6738;5659;1079;1022;653;326;44;0;3406;1536;852;684;1870;946;923;4355;466;5.7;3929;67.7;63.8
10;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal ;2005 1e kwartaal;12177;8267;7739;6691;5615;1076;1047;676;324;47;1;3429;1572;886;686;1857;950;907;4310;528;6.4;3911;67.9;63.6
