ID;Kenmerken;Perioden;OverledenenDoorToedienenMiddel_1;TotaalToedieningen_2;ToegediendDoorPatientZelf_3;ToegediendDoorArts_4;ToegediendDoorVerpleegkundige_5;ToegediendDoorAndereZorgverlener_6;ToegediendDoorAnderePersoon_7;ToegediendDoorOnbekendePersoon_8;TotaalToedieningen_9;ToegediendDoorPatientZelf_10;ToegediendDoorArts_11;ToegediendDoorVerpleegkundige_12;ToegediendDoorAndereZorgverlener_13;ToegediendDoorAnderePersoon_14;ToegediendDoorOnbekendePersoon_15
0;1;1990;1125.0;1267.0;131.0;775.0;229.0;;115.0;17.0;100;10.3;61.2;18.1;;9.1;1.3
1;1;1995;1401.0;1583.0;117.0;1090.0;353.0;;23.0;0.0;100;7.4;68.9;22.3;;1.5;0.0
2;1;2001;1541.0;1685.0;126.0;1251.0;232.0;47.0;29.0;0.0;100;7.5;74.2;13.8;2.8;1.7;0.0
3;2;1990;;995.0;82.0;704.0;154.0;;38.0;17.0;100;8.2;70.8;15.5;;3.8;1.7
4;2;1995;;1229.0;80.0;928.0;209.0;;12.0;0.0;100;6.5;75.5;17.0;;1.0;0.0
5;2;2001;;1382.0;94.0;1114.0;145.0;16.0;13.0;0.0;100;6.8;80.6;10.5;1.2;0.9;0.0
6;3;1990;;272.0;49.0;71.0;75.0;;77.0;0.0;100;18.0;26.1;27.6;;28.3;0.0
7;3;1995;;354.0;37.0;162.0;144.0;;11.0;0.0;100;10.5;45.8;40.7;;3.1;0.0
8;3;2001;;303.0;32.0;137.0;87.0;31.0;16.0;0.0;100;10.6;45.2;28.7;10.2;5.3;0.0
9;5;1990;718.0;;;;;;;;100;;;;;;
10;5;1995;1020.0;;;;;;;;100;;;;;;
11;5;2001;1147.0;1214.0;32.0;1069.0;74.0;16.0;24.0;0.0;100;2.6;88.1;6.1;1.3;2.0;0.0
12;6;1990;82.0;;;;;;;;100;;;;;;
13;6;1995;80.0;;;;;;;;100;;;;;;
14;6;2001;94.0;94.0;94.0;;;;;;100;100.0;;;;;
15;7;1990;325.0;;;;;;;;100;;;;;;
16;7;1995;301.0;;;;;;;;100;;;;;;
17;7;2001;300.0;377.0;;183.0;158.0;31.0;6.0;0.0;100;;48.5;41.9;8.2;1.6;0.0
