ID;Sex;Age;PositionInHousehold;Periods;LabourForceAndNotInTheLabourForce_1;LabourForce_2;EmployedLabourForce_3;Employee_4;PermanentEmployee_5;FlexibleEmployee_6;SelfEmployedPerson_7;SelfEmployedWithoutEmployees_8;SelfEmployedWithEmployees_9;ContributingFamilyWorker_10;ProfessionalStatusIsUnknown_11;PartTime_12;LessThan20WorkingHoursAWeek_13;LessThan12WorkingHoursAWeek_14;k_12To19WorkingHoursAWeek_15;k_20To34WorkingHoursAWeek_16;k_20To27WorkingHoursAWeek_17;k_28To34WorkingHoursAWeek_18;FullTime_19;UnemployedLabourForce_20;UnemploymentRate_21;NotInTheLabourForce_22;GrossLabourParticipationRate_23;NetLabourParticipationRate_24
0;Total male and female;15 to 74 years;Total persons;2013 1st quarter;12617.0;9162.0;8427.0;7205.0;4782.0;2423.0;1222.0;886.0;300.0;36.0;0.0;3962.0;1651.0;1059.0;592.0;2311.0;1224.0;1087.0;4465.0;735.0;8.0;3454.0;72.6;66.8
1;Total male and female;15 to 74 years;Total persons;2013 2nd quarter;12631.0;9182.0;8436.0;7215.0;4753.0;2462.0;1221.0;883.0;300.0;37.0;0.0;3972.0;1651.0;1053.0;599.0;2321.0;1210.0;1111.0;4464.0;747.0;8.1;3448.0;72.7;66.8
2;Total male and female;15 to 74 years;Total persons;2013 3rd quarter;12645.0;9208.0;8443.0;7204.0;4706.0;2497.0;1239.0;898.0;300.0;41.0;0.0;3952.0;1621.0;1029.0;592.0;2331.0;1215.0;1117.0;4491.0;764.0;8.3;3437.0;72.8;66.8
3;Total male and female;15 to 74 years;Total persons;2013 4th quarter;12659.0;9195.0;8426.0;7171.0;4651.0;2520.0;1256.0;911.0;307.0;38.0;0.0;3982.0;1667.0;1080.0;587.0;2315.0;1184.0;1131.0;4444.0;768.0;8.4;3464.0;72.6;66.6
4;Total male and female;15 to 74 years;Total persons;2013;12638.0;9187.0;8433.0;7199.0;4723.0;2476.0;1234.0;894.0;302.0;38.0;0.0;3967.0;1648.0;1055.0;592.0;2320.0;1208.0;1111.0;4466.0;754.0;8.2;3451.0;72.7;66.7
5;Total male and female;15 to 74 years;Total persons;2014 1st quarter;12665.0;9138.0;8320.0;7073.0;4613.0;2460.0;1247.0;906.0;306.0;35.0;0.0;3929.0;1638.0;1082.0;556.0;2291.0;1182.0;1109.0;4392.0;817.0;8.9;3528.0;72.1;65.7
6;Total male and female;15 to 74 years;Total persons;2014 2nd quarter;12665.0;9130.0;8360.0;7120.0;4605.0;2515.0;1240.0;907.0;299.0;34.0;0.0;3953.0;1643.0;1060.0;583.0;2310.0;1197.0;1113.0;4407.0;770.0;8.4;3535.0;72.1;66.0
7;Total male and female;15 to 74 years;Total persons;2014 3rd quarter;12664.0;9141.0;8417.0;7171.0;4613.0;2557.0;1246.0;913.0;297.0;37.0;0.0;3945.0;1609.0;1017.0;592.0;2336.0;1189.0;1147.0;4472.0;724.0;7.9;3524.0;72.2;66.5
8;Total male and female;15 to 74 years;Total persons;2014 4th quarter;12664.0;9171.0;8433.0;7164.0;4620.0;2545.0;1269.0;937.0;294.0;38.0;0.0;3979.0;1648.0;1071.0;578.0;2330.0;1190.0;1140.0;4454.0;738.0;8.1;3493.0;72.4;66.6
9;Total male and female;15 to 74 years;Total persons;2014;12665.0;9145.0;8382.0;7132.0;4613.0;2519.0;1251.0;916.0;299.0;36.0;0.0;3951.0;1635.0;1057.0;577.0;2317.0;1189.0;1127.0;4431.0;762.0;8.3;3520.0;72.2;66.2
10;Total male and female;15 to 74 years;Total persons;2015 1st quarter;12669.0;9172.0;8395.0;7136.0;4627.0;2509.0;1259.0;930.0;289.0;40.0;0.0;3988.0;1650.0;1082.0;569.0;2338.0;1189.0;1149.0;4407.0;777.0;8.5;3497.0;72.4;66.3
11;Total male and female;15 to 74 years;Total persons;2015 2nd quarter;12680.0;9186.0;8457.0;7201.0;4611.0;2590.0;1256.0;926.0;290.0;39.0;0.0;4024.0;1661.0;1071.0;591.0;2363.0;1216.0;1147.0;4432.0;730.0;7.9;3493.0;72.4;66.7
12;Total male and female;15 to 74 years;Total persons;2015 3rd quarter;12691.0;9191.0;8499.0;7233.0;4595.0;2638.0;1266.0;937.0;288.0;41.0;0.0;4005.0;1625.0;1012.0;614.0;2380.0;1237.0;1143.0;4494.0;692.0;7.5;3500.0;72.4;67.0
13;Total male and female;15 to 74 years;Total persons;2015 4th quarter;12701.0;9178.0;8480.0;7193.0;4600.0;2593.0;1286.0;951.0;294.0;42.0;0.0;4000.0;1643.0;1045.0;598.0;2357.0;1212.0;1146.0;4479.0;698.0;7.6;3523.0;72.3;66.8
14;Total male and female;15 to 74 years;Total persons;2015;12685.0;9182.0;8458.0;7191.0;4608.0;2583.0;1267.0;936.0;290.0;40.0;0.0;4005.0;1645.0;1052.0;593.0;2360.0;1213.0;1146.0;4453.0;724.0;7.9;3503.0;72.4;66.7
15;Total male and female;15 to 74 years;Total persons;2016 1st quarter;12722.0;9167.0;8456.0;7165.0;4604.0;2561.0;1291.0;953.0;300.0;39.0;0.0;3999.0;1634.0;1050.0;583.0;2365.0;1192.0;1173.0;4457.0;711.0;7.8;3555.0;72.1;66.5
16;Total male and female;15 to 74 years;Total persons;2016 2nd quarter;12753.0;9216.0;8552.0;7266.0;4624.0;2642.0;1285.0;950.0;299.0;36.0;0.0;4032.0;1639.0;1044.0;595.0;2393.0;1211.0;1182.0;4520.0;665.0;7.2;3536.0;72.3;67.1
17;Total male and female;15 to 74 years;Total persons;2016 3rd quarter;12783.0;9240.0;8628.0;7332.0;4637.0;2696.0;1296.0;957.0;307.0;31.0;0.0;4039.0;1597.0;996.0;601.0;2442.0;1217.0;1225.0;4589.0;612.0;6.6;3543.0;72.3;67.5
