ID;Geslacht;Leeftijd;Migratieachtergrond;Verblijfstitel;Strafduur;Perioden;GedetineerdenOp30September_1
0;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2005;15200.0
1;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2006;13710.0
2;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2007;12770.0
3;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2008;11930.0
4;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2009;11680.0
5;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2010;11740.0
6;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2011;11550.0
7;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2012;11160.0
8;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2013;10540.0
9;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2014;9910.0
10;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2015;8980.0
11;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2016;8810.0
12;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2017;9140.0
13;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2018;9540.0
14;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2019;9920.0
15;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2020;9140.0
16;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2021;9330.0
17;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2022;9200.0
18;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Minder dan 1 maand;2005;920.0
19;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Minder dan 1 maand;2006;830.0
20;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Minder dan 1 maand;2007;730.0
21;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Minder dan 1 maand;2008;670.0
